Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NLE1-N1,Intensity NLE1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.18694249382544,4.30484830045098,24.3376289790479,22.7906436078291
Q96MT8;D6R9Q4;A0A3B3IT05;D6RAY6,Q96MT8;D6R9Q4;A0A3B3IT05;D6RAY6,2;2;2;2,2;2;2;2,2;2;2;2,Centrosomal protein of 63 kDa,CEP63,sp|Q96MT8|CEP63_HUMAN Centrosomal protein of 63 kDa OS=Homo sapiens OX=9606 GN=CEP63 PE=1 SV=1;tr|D6R9Q4|D6R9Q4_HUMAN Centrosomal protein of 63 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP63 PE=1 SV=1;tr|A0A3B3IT05|A0A3B3IT05_HUMAN Centrosomal protein of,2,2,5.5,4.18694249382544,4.30484830045098,22.4306363071638,21.5724670899671
Q8WVB6;A0A0D9SF58;E7EXA6,Q8WVB6;A0A0D9SF58;E7EXA6,2;2;2,2;2;2,2;2;2,Chromosome transmission fidelity protein 18 homolog,CHTF18,sp|Q8WVB6|CTF18_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens OX=9606 GN=CHTF18 PE=1 SV=1;tr|A0A0D9SF58|A0A0D9SF58_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens OX=9606 GN=CHTF18 PE=1 SV=1;tr|E7EXA6|E,2,2,3.2,23.178280669856,22.3900030723445,22.6084452476391,24.065953815792
O14578;H7BYJ3,O14578;H7BYJ3,2;2,2;2,2;2,Citron Rho-interacting kinase,CIT,sp|O14578|CTRO_HUMAN Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2;tr|H7BYJ3|H7BYJ3_HUMAN Citron Rho-interacting kinase (Fragment) OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=1,2,2,1.1,4.18694249382544,4.30484830045098,24.0806653135036,24.2403042165603
E7ERI8;E7EW49;A0A0U1RQI6;B3KR06;E7ENG2;H7C4X8;D6RBU8,E7ERI8;E7EW49;A0A0U1RQI6,9;9;7;2;2;1;1,5;5;3;2;2;1;1,2;2;0;0;0;0;0,,CLASP2,tr|E7ERI8|E7ERI8_HUMAN CLIP-associating protein 2 OS=Homo sapiens OX=9606 GN=CLASP2 PE=1 SV=1;tr|E7EW49|E7EW49_HUMAN CLIP-associating protein 2 OS=Homo sapiens OX=9606 GN=CLASP2 PE=1 SV=1;tr|A0A0U1RQI6|A0A0U1RQI6_HUMAN CLIP-associating protein 2 OS=Homo sa,9,2,7.9,23.3413667971526,24.4525850963173,24.039005367772,22.6496780785746
Q7Z7A1;Q5JVD5;Q5JVD6;Q5JVD1,Q7Z7A1;Q5JVD5;Q5JVD6;Q5JVD1,2;1;1;1,2;1;1;1,2;1;1;1,Centriolin,CNTRL,sp|Q7Z7A1|CNTRL_HUMAN Centriolin OS=Homo sapiens OX=9606 GN=CNTRL PE=1 SV=2;tr|Q5JVD5|Q5JVD5_HUMAN Centriolin OS=Homo sapiens OX=9606 GN=CNTRL PE=1 SV=1;tr|Q5JVD6|Q5JVD6_HUMAN Centriolin (Fragment) OS=Homo sapiens OX=9606 GN=CNTRL PE=1 SV=1;tr|Q5JVD1|Q5JVD,2,2,1.4,23.5542646974918,23.0858115105575,23.3172384187491,21.9974165726903
Q99715;D6RGG3;H0Y4P7;A0A087X0A8,Q99715;D6RGG3;H0Y4P7;A0A087X0A8,2;2;1;1,2;2;1;1,2;2;1;1,Collagen alpha-1(XII) chain,COL12A1,sp|Q99715|COCA1_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2;tr|D6RGG3|D6RGG3_HUMAN Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=1;tr|H0Y4P7|H0Y4P7_HUMAN Collagen alpha-1(XII) chain (Fragment) OS=,2,2,0.6,4.18694249382544,4.30484830045098,25.8843214628414,25.6297200642942
Q5TZA2;B1AKD8;A0A087WW81,Q5TZA2;B1AKD8;A0A087WW81,2;2;1,2;2;1,2;2;1,Rootletin,CROCC,sp|Q5TZA2|CROCC_HUMAN Rootletin OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=1;tr|B1AKD8|B1AKD8_HUMAN Rootletin (Fragment) OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=2;tr|A0A087WW81|A0A087WW81_HUMAN Rootletin (Fragment) OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=6,2,2,1.0,23.6579638609746,27.1145587494336,25.5081511709835,25.2228405876449
A0A0C4DGI3;O75390;F8W642;F8VZK9;F8VX07;F8VRP1;F8VX68;H0YIC4;F8VPF9;F8VPA1;B4DJV2,A0A0C4DGI3;O75390;F8W642;F8VZK9;F8VX07;F8VRP1;F8VX68;H0YIC4;F8VPF9;F8VPA1;B4DJV2,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,"Citrate synthase;Citrate synthase, mitochondrial",CS,"tr|A0A0C4DGI3|A0A0C4DGI3_HUMAN Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 SV=1;sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2;tr|F8W642|F8W642_HUMAN Citrate synthase, mitochondrial (Fragment) OS=Homo s",2,2,5.2,20.6782253054815,21.8483509180679,4.42893354222385,4.39608992622293
P04080;A0A1W2PS52,P04080;A0A1W2PS52,2;1,2;1,2;1,Cystatin-B,CSTB,sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2;tr|A0A1W2PS52|A0A1W2PS52_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=1,2,2,24.5,22.4196560210793,23.4375864912677,24.402300643813,24.1044560668272
P56545;Q13363;E9PGB1;E7EUB3;E7ESU7;D6RAX2;E7EPF8,P56545;Q13363;E9PGB1;E7EUB3;E7ESU7;D6RAX2;E7EPF8,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,C-terminal-binding protein 2;C-terminal-binding protein 1,CTBP2;CTBP1,sp|P56545|CTBP2_HUMAN C-terminal-binding protein 2 OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1;sp|Q13363|CTBP1_HUMAN C-terminal-binding protein 1 OS=Homo sapiens OX=9606 GN=CTBP1 PE=1 SV=2;tr|E9PGB1|E9PGB1_HUMAN C-terminal-binding protein 1 (Fragment) OS=Ho,2,2,4.5,21.7411888041661,23.4831197743392,24.8300401544219,23.9908373103337
P07858;R4GMQ5;E9PR54;E9PJ67;E9PCB3;E9PKQ7;E9PNL5;E9PHZ5;E9PLY3;E9PSG5;E9PQM1,P07858;R4GMQ5;E9PR54;E9PJ67;E9PCB3;E9PKQ7;E9PNL5;E9PHZ5;E9PLY3;E9PSG5;E9PQM1,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,sp|P07858|CATB_HUMAN Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3;tr|R4GMQ5|R4GMQ5_HUMAN Cathepsin B (Fragment) OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=1;tr|E9PR54|E9PR54_HUMAN Cathepsin B (Fragment) OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=1;tr|E9,2,2,8.3,4.18694249382544,4.30484830045098,25.1872958859938,24.6084001253472
Q9H467,Q9H467,2,2,2,CUE domain-containing protein 2,CUEDC2,sp|Q9H467|CUED2_HUMAN CUE domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CUEDC2 PE=1 SV=1,2,2,7.0,4.18694249382544,4.30484830045098,23.6549086895753,22.1812262789066
Q6UX04;D6REK3,Q6UX04;D6REK3,2;2,2;2,2;2,Peptidyl-prolyl cis-trans isomerase CWC27 homolog,CWC27,sp|Q6UX04|CWC27_HUMAN Spliceosome-associated protein CWC27 homolog OS=Homo sapiens OX=9606 GN=CWC27 PE=1 SV=1;tr|D6REK3|D6REK3_HUMAN Spliceosome-associated protein CWC27 homolog OS=Homo sapiens OX=9606 GN=CWC27 PE=1 SV=1,2,2,5.9,24.8746459677805,25.3473610317177,25.4682431868939,25.3817240666834
Q96F07;E7EVJ5;E7EW33;H7C229;A0A087WVE1;A0A087WTQ3;A0A087WWZ1,Q96F07;E7EVJ5;E7EW33;H7C229,4;4;3;3;1;1;1,2;2;2;2;0;0;0,2;2;2;2;0;0;0,Cytoplasmic FMR1-interacting protein 2,CYFIP2,sp|Q96F07|CYFP2_HUMAN Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2;tr|E7EVJ5|E7EVJ5_HUMAN Cytoplasmic FMR1-interacting protein OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=1;tr|E7EW33|E7EW33_HUMAN Cytoplasmic FMR1-interac,4,2,3.6,4.18694249382544,4.30484830045098,21.6644889514324,23.2702782144449
P61803;F5GXX5;F5H895;A0A0B4J239,P61803;F5GXX5;F5H895;A0A0B4J239,2;2;1;1,2;2;1;1,2;2;1;1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,DAD1,sp|P61803|DAD1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens OX=9606 GN=DAD1 PE=1 SV=3;tr|F5GXX5|F5GXX5_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens OX,2,2,18.6,22.4037607108524,22.6990538780124,25.8068325899092,25.5610324502916
Q9NXZ2,Q9NXZ2,2,2,2,Probable ATP-dependent RNA helicase DDX43,DDX43,sp|Q9NXZ2|DDX43_HUMAN Probable ATP-dependent RNA helicase DDX43 OS=Homo sapiens OX=9606 GN=DDX43 PE=1 SV=2,2,2,3.5,4.18694249382544,4.30484830045098,23.0243105922543,22.85918062675
Q8NHQ9;E7EX41;F5H5U2,Q8NHQ9;E7EX41;F5H5U2,2;2;2,2;2;2,2;2;2,ATP-dependent RNA helicase DDX55,DDX55,sp|Q8NHQ9|DDX55_HUMAN ATP-dependent RNA helicase DDX55 OS=Homo sapiens OX=9606 GN=DDX55 PE=1 SV=3;tr|E7EX41|E7EX41_HUMAN ATP-dependent RNA helicase DDX55 OS=Homo sapiens OX=9606 GN=DDX55 PE=1 SV=2;tr|F5H5U2|F5H5U2_HUMAN RNA helicase OS=Homo sapiens OX=9606,2,2,4.0,22.04413408945,22.3903705109132,4.42893354222385,4.39608992622293
P35659;D6R9L5;H0Y8X0;A0A494C198;H0Y993;B4DFG0;A0A494C028,P35659;D6R9L5;H0Y8X0;A0A494C198;H0Y993;B4DFG0;A0A494C028,2;2;2;2;2;1;1,2;2;2;2;2;1;1,2;2;2;2;2;1;1,Protein DEK,DEK,sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|D6R9L5|D6R9L5_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|H0Y8X0|H0Y8X0_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|A0A494C198|A0A494C198_HUMAN,2,2,8.3,26.7756779906926,28.7950424784136,23.1100262481002,22.8914870660134
Q13268;H0YJG9;H0YJP4;C9JZP6,Q13268;H0YJG9;H0YJP4;C9JZP6,2;2;2;2,2;2;2;2,2;2;2;2,"Dehydrogenase/reductase SDR family member 2, mitochondrial",DHRS2,"sp|Q13268|DHRS2_HUMAN Dehydrogenase/reductase SDR family member 2, mitochondrial OS=Homo sapiens OX=9606 GN=DHRS2 PE=1 SV=4;tr|H0YJG9|H0YJG9_HUMAN Dehydrogenase/reductase SDR family member 2, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=DHRS2 PE=1 S",2,2,6.1,22.0835896963445,24.1428923263658,23.8213341258308,23.6058032171179
P11532;A0A087WV90;A0A5H1ZRP8;A0A087WTU7;A0A075B6G3;H0Y3E8;A0A5H1ZRP7;A0A5H1ZRR9;A0A5H1ZRQ1;A0A5H1ZRP9;A0A5H1ZRQ8;H0Y304,P11532;A0A087WV90;A0A5H1ZRP8;A0A087WTU7;A0A075B6G3,3;3;3;3;3;1;1;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1;1;1,Dystrophin,DMD,sp|P11532|DMD_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3;tr|A0A087WV90|A0A087WV90_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A5H1ZRP8|A0A5H1ZRP8_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A087WTU7|A0A0,3,2,0.9,4.18694249382544,4.30484830045098,25.4061811404184,25.1990669137645
Q9NVM6,Q9NVM6,2,2,2,DnaJ homolog subfamily C member 17,DNAJC17,sp|Q9NVM6|DJC17_HUMAN DnaJ homolog subfamily C member 17 OS=Homo sapiens OX=9606 GN=DNAJC17 PE=1 SV=1,2,2,6.9,22.1255529789349,22.2194840660363,24.0638163676226,23.3751752207998
Q8N4W6,Q8N4W6,2,2,2,DnaJ homolog subfamily C member 22,DNAJC22,sp|Q8N4W6|DJC22_HUMAN DnaJ homolog subfamily C member 22 OS=Homo sapiens OX=9606 GN=DNAJC22 PE=1 SV=1,2,2,8.2,4.18694249382544,4.30484830045098,25.0808685872898,24.5563110519157
P55039;A8MZF9;J3QL90;J3KRL5;J3QR71;J3QKV7;J3QRI9;J3QKW7,P55039;A8MZF9;J3QL90;J3KRL5;J3QR71;J3QKV7;J3QRI9;J3QKW7,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1,Developmentally-regulated GTP-binding protein 2,DRG2,sp|P55039|DRG2_HUMAN Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1;tr|A8MZF9|A8MZF9_HUMAN Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1;tr|J3QL90|J3QL90_HUMAN Developme,2,2,5.8,22.6839971828166,21.4415177156285,23.0084183631855,23.8900400855633
Q08554,Q08554,2,2,2,Desmocollin-1,DSC1,sp|Q08554|DSC1_HUMAN Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2,2,2,3.2,23.9551787845068,25.1796034884382,4.42893354222385,4.39608992622293
Q02413,Q02413,2,2,2,Desmoglein-1,DSG1,sp|Q02413|DSG1_HUMAN Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,2,2,2.5,22.0941003000517,22.6499630770261,24.9064961313091,23.618853261242
P51452;K7ES89,P51452;K7ES89,2;1,2;1,2;1,Dual specificity protein phosphatase 3,DUSP3,sp|P51452|DUS3_HUMAN Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1;tr|K7ES89|K7ES89_HUMAN Dual specificity protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1,2,2,14.6,4.18694249382544,4.30484830045098,23.7209848377199,24.3778909763675
Q96F86;H3BPN4,Q96F86;H3BPN4,2;1,2;1,2;1,Enhancer of mRNA-decapping protein 3,EDC3,sp|Q96F86|EDC3_HUMAN Enhancer of mRNA-decapping protein 3 OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1;tr|H3BPN4|H3BPN4_HUMAN Enhancer of mRNA-decapping protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1,2,2,4.3,4.18694249382544,4.30484830045098,23.9500247098922,24.2256010933299
O60869,O60869,2,2,2,Endothelial differentiation-related factor 1,EDF1,sp|O60869|EDF1_HUMAN Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1,2,2,18.2,23.3515118980805,24.3538015700072,25.6716866121573,25.631481052565
Q9GZT9;Q9H6Z9;G3V3M1;A0A590UJK7;F8W1G2;A0A590UJT7;A0A590UJ78,Q9GZT9;Q9H6Z9;G3V3M1;A0A590UJK7;F8W1G2;A0A590UJT7;A0A590UJ78,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Egl nine homolog 1;Egl nine homolog 3,EGLN1;EGLN3,sp|Q9GZT9|EGLN1_HUMAN Egl nine homolog 1 OS=Homo sapiens OX=9606 GN=EGLN1 PE=1 SV=1;sp|Q9H6Z9|EGLN3_HUMAN Prolyl hydroxylase EGLN3 OS=Homo sapiens OX=9606 GN=EGLN3 PE=1 SV=1;tr|G3V3M1|G3V3M1_HUMAN Egl nine homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=EG,2,2,7.5,4.18694249382544,4.30484830045098,23.4909380113479,22.4899586680496
Q7L2H7;E9PRI2;E9PN86;E7ESM3;J3KNJ2,Q7L2H7;E9PRI2;E9PN86;E7ESM3;J3KNJ2,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Eukaryotic translation initiation factor 3 subunit M,EIF3M,sp|Q7L2H7|EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1;tr|E9PRI2|E9PRI2_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1;tr|E9PN86|E9PN86_HU,2,2,8.3,4.18694249382544,4.30484830045098,24.2185975266551,23.9590765261506
Q9HCM4;Q9H329,Q9HCM4;Q9H329,2;1,2;1,2;1,Band 4.1-like protein 5;Band 4.1-like protein 4B,EPB41L5;EPB41L4B,sp|Q9HCM4|E41L5_HUMAN Band 4.1-like protein 5 OS=Homo sapiens OX=9606 GN=EPB41L5 PE=1 SV=3;sp|Q9H329|E41LB_HUMAN Band 4.1-like protein 4B OS=Homo sapiens OX=9606 GN=EPB41L4B PE=2 SV=2,2,2,2.2,4.18694249382544,4.30484830045098,23.018657958821,23.631786317307
O95208;F6PQP6;E9PBC1;I3L2B2;I3L356;I3L2H1,O95208;F6PQP6;E9PBC1;I3L2B2;I3L356;I3L2H1,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,Epsin-2,EPN2,sp|O95208|EPN2_HUMAN Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=3;tr|F6PQP6|F6PQP6_HUMAN Epsin-2 (Fragment) OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=8;tr|E9PBC1|E9PBC1_HUMAN Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=1;tr|I3L2B2|I3L2B2_HUMAN Epsin,2,2,3.1,4.18694249382544,4.30484830045098,24.3993291898116,23.7462215261033
Q12929;A0A2R8YE63;A0A2R8Y4W2,Q12929;A0A2R8YE63;A0A2R8Y4W2,2;2;2,2;2;2,2;2;2,Epidermal growth factor receptor kinase substrate 8,EPS8,sp|Q12929|EPS8_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1;tr|A0A2R8YE63|A0A2R8YE63_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1;tr|A0A2R8Y4W2|A0,2,2,4.5,4.18694249382544,4.30484830045098,24.8186551160885,23.6346692689283
G3V279;P84090,G3V279;P84090,2;1,2;1,2;1,Enhancer of rudimentary homolog,ERH,tr|G3V279|G3V279_HUMAN Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1;sp|P84090|ERH_HUMAN Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,2,2,57.7,23.6770210524559,24.8708421702443,25.1032958134005,28.9088484928241
Q9NPD3;E9PPI9;E9PI41,Q9NPD3;E9PPI9;E9PI41,2;1;1,2;1;1,2;1;1,Exosome complex component RRP41,EXOSC4,sp|Q9NPD3|EXOS4_HUMAN Exosome complex component RRP41 OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=3;tr|E9PPI9|E9PPI9_HUMAN Exosome complex component RRP41 OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=1;tr|E9PI41|E9PI41_HUMAN Exosome complex component RRP41 (Fra,2,2,9.0,20.3701808014251,20.7814877880102,4.42893354222385,4.39608992622293
Q6P995,Q6P995,2,2,2,Protein FAM171B,FAM171B,sp|Q6P995|F171B_HUMAN Protein FAM171B OS=Homo sapiens OX=9606 GN=FAM171B PE=2 SV=3,2,2,3.6,4.18694249382544,4.30484830045098,24.8962906394933,23.7827679079175
A0A0A0MR12;Q15884,A0A0A0MR12;Q15884,2;1,2;1,2;1,Protein FAM189A2,FAM189A2,tr|A0A0A0MR12|A0A0A0MR12_HUMAN Protein FAM189A2 OS=Homo sapiens OX=9606 GN=FAM189A2 PE=1 SV=2;sp|Q15884|F1892_HUMAN Protein FAM189A2 OS=Homo sapiens OX=9606 GN=FAM189A2 PE=1 SV=3,2,2,8.8,24.3342225384757,23.5562543798496,22.5551077214977,22.113656969413
C9JLW8;I3L2L5;I3L317;I3L4Q0,C9JLW8;I3L2L5;I3L317;I3L4Q0,2;2;2;2,2;2;2;2,2;2;2;2,Protein FAM195B,FAM195B,sp|C9JLW8|MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1;tr|I3L2L5|I3L2L5_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1;tr|I3L317|I3L317_HUMAN Ma,2,2,20.6,4.18694249382544,4.30484830045098,23.1742472853396,23.0292764706075
Q9Y421;K7EIY1;K7ENN5;K7ELZ8,Q9Y421;K7EIY1;K7ENN5;K7ELZ8,2;2;2;1,2;2;2;1,2;2;2;1,Protein FAM32A,FAM32A,sp|Q9Y421|FA32A_HUMAN Protein FAM32A OS=Homo sapiens OX=9606 GN=FAM32A PE=1 SV=2;tr|K7EIY1|K7EIY1_HUMAN Protein FAM32A OS=Homo sapiens OX=9606 GN=FAM32A PE=1 SV=1;tr|K7ENN5|K7ENN5_HUMAN Protein FAM32A OS=Homo sapiens OX=9606 GN=FAM32A PE=1 SV=1;tr|K7ELZ8|K,2,2,16.1,24.1724171312287,24.8526239905465,4.42893354222385,4.39608992622293
Q6V0I7,Q6V0I7,2,2,2,Protocadherin Fat 4,FAT4,sp|Q6V0I7|FAT4_HUMAN Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2,2,2,0.9,4.18694249382544,4.30484830045098,29.7632083389711,23.5493372151286
Q0JRZ9;H0YAE2;H7BXJ4,Q0JRZ9;H0YAE2;H7BXJ4,2;1;1,2;1;1,2;1;1,F-BAR domain only protein 2,FCHO2,sp|Q0JRZ9|FCHO2_HUMAN F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2;tr|H0YAE2|H0YAE2_HUMAN F-BAR domain only protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=9;tr|H7BXJ4|H7BXJ4_HUMAN F-BAR domain only protein 2 OS=Homo,2,2,3.1,4.18694249382544,4.30484830045098,23.1259866214458,22.9616220848894
Q60FE5;A0A087WWY3,Q60FE5;A0A087WWY3,149;124,2;2,2;2,,FLNA,tr|Q60FE5|Q60FE5_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1;tr|A0A087WWY3|A0A087WWY3_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1,149,2,70.6,25.6169761562818,26.6320082874653,30.4711151495626,30.9903720871198
Q06787;R9WNI0;A8MQB8;G3V0J0;Q8IXW7;A0A087WXI3;A0A087WWR6;A0A087WY29;A0A087X1M7;A0A087WWU4,Q06787;R9WNI0;A8MQB8;G3V0J0;Q8IXW7;A0A087WXI3;A0A087WWR6;A0A087WY29,4;4;4;4;3;3;2;2;1;1,2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;1;1;1;1,Fragile X mental retardation protein 1,FMR1,sp|Q06787|FMR1_HUMAN Synaptic functional regulator FMR1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|R9WNI0|R9WNI0_HUMAN Fragile X mental retardation 1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|A8MQB8|A8MQB8_HUMAN Synaptic functional regulator FMR1 OS=H,4,2,7.9,4.18694249382544,4.30484830045098,23.6332285132463,22.2837903616895
Q5T0N5;A0A075B6Q2;S4R347,Q5T0N5;A0A075B6Q2;S4R347,2;2;2,2;2;2,2;2;2,Formin-binding protein 1-like,FNBP1L,sp|Q5T0N5|FBP1L_HUMAN Formin-binding protein 1-like OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=3;tr|A0A075B6Q2|A0A075B6Q2_HUMAN Formin-binding protein 1-like (Fragment) OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=1;tr|S4R347|S4R347_HUMAN Formin-binding protei,2,2,5.1,4.18694249382544,4.30484830045098,23.8538615791625,22.1381180275846
P15407,P15407,2,2,2,Fos-related antigen 1,FOSL1,sp|P15407|FOSL1_HUMAN Fos-related antigen 1 OS=Homo sapiens OX=9606 GN=FOSL1 PE=1 SV=1,2,2,11.4,4.18694249382544,4.30484830045098,24.9711456723848,23.1471229241958
Q08050;A0A0D9SFF0;H0YG99,Q08050;A0A0D9SFF0;H0YG99,2;2;1,2;2;1,2;2;1,Forkhead box protein M1,FOXM1,sp|Q08050|FOXM1_HUMAN Forkhead box protein M1 OS=Homo sapiens OX=9606 GN=FOXM1 PE=1 SV=3;tr|A0A0D9SFF0|A0A0D9SFF0_HUMAN Forkhead box protein M1 OS=Homo sapiens OX=9606 GN=FOXM1 PE=1 SV=1;tr|H0YG99|H0YG99_HUMAN Forkhead box protein M1 (Fragment) OS=Homo sap,2,2,3.8,24.62491153057,25.1291587909849,23.7940199606498,24.0587675250838
P51116,P51116,5,3,2,Fragile X mental retardation syndrome-related protein 2,FXR2,sp|P51116|FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,5,2,9.8,4.18694249382544,4.30484830045098,24.9732058203012,23.1876583456248
