Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SMU1-N1,Intensity SMU1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q9NXV6;J3KNE1;D6RGD2,Q9NXV6;J3KNE1;D6RGD2,2;1;1,2;1;1,2;1;1,CDKN2A-interacting protein,CDKN2AIP,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=3;tr|J3KNE1|J3KNE1_HUMAN CDKN2A-interacting protein OS=Homo sapiens OX=9606 GN=CDKN2AIP PE=1 SV=1;tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens,2,2,5.9,4.17608450057973,4.06670010289021,24.086022162004,24.2216242897802
P17676,P17676,2,2,2,CCAAT/enhancer-binding protein beta,CEBPB,sp|P17676|CEBPB_HUMAN CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,2,2,8.7,4.17608450057973,4.06670010289021,24.6521206609293,24.3198270014465
Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,Q96BT3;H3BUW2;H3BTR4;H3BQJ0;I3L4F8,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Centromere protein T,CENPT,sp|Q96BT3|CENPT_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=2;tr|H3BUW2|H3BUW2_HUMAN Centromere protein T (Fragment) OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=1;tr|H3BTR4|H3BTR4_HUMAN Centromere protein T OS=Homo sapiens OX=9606 GN=C,2,2,4.5,4.17608450057973,4.06670010289021,23.6792476900557,22.0052517229406
Q53EZ4;H0Y432,Q53EZ4;H0Y432,2;2,2;2,2;2,Centrosomal protein of 55 kDa,CEP55,sp|Q53EZ4|CEP55_HUMAN Centrosomal protein of 55 kDa OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=3;tr|H0Y432|H0Y432_HUMAN Centrosomal protein of 55 kDa (Fragment) OS=Homo sapiens OX=9606 GN=CEP55 PE=1 SV=1,2,2,6.5,4.17608450057973,4.06670010289021,24.3376289790479,24.3331990359089
Q96G28;B5MC35;B5MD16;B5MCA1,Q96G28;B5MC35;B5MD16;B5MCA1,2;1;1;1,2;1;1;1,2;1;1;1,Cilia- and flagella-associated protein 36,CFAP36,sp|Q96G28|CFA36_HUMAN Cilia- and flagella-associated protein 36 OS=Homo sapiens OX=9606 GN=CFAP36 PE=1 SV=2;tr|B5MC35|B5MC35_HUMAN Cilia- and flagella-associated protein 36 OS=Homo sapiens OX=9606 GN=CFAP36 PE=1 SV=1;tr|B5MD16|B5MD16_HUMAN Cilia- and flage,2,2,9.9,4.17608450057973,4.06670010289021,23.6499849976521,23.5138837016405
Q8WUX9;E5RFR8;E5RJI3;E5RIU9,Q8WUX9;E5RFR8;E5RJI3;E5RIU9,2;1;1;1,2;1;1;1,2;1;1;1,Charged multivesicular body protein 7,CHMP7,sp|Q8WUX9|CHMP7_HUMAN Charged multivesicular body protein 7 OS=Homo sapiens OX=9606 GN=CHMP7 PE=1 SV=1;tr|E5RFR8|E5RFR8_HUMAN Charged multivesicular body protein 7 OS=Homo sapiens OX=9606 GN=CHMP7 PE=1 SV=1;tr|E5RJI3|E5RJI3_HUMAN Charged multivesicular bod,2,2,4.2,4.17608450057973,4.06670010289021,23.9933447669109,23.6787411063596
Q8WVB6;A0A0D9SF58;E7EXA6,Q8WVB6;A0A0D9SF58;E7EXA6,2;2;2,2;2;2,2;2;2,Chromosome transmission fidelity protein 18 homolog,CHTF18,sp|Q8WVB6|CTF18_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens OX=9606 GN=CHTF18 PE=1 SV=1;tr|A0A0D9SF58|A0A0D9SF58_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens OX=9606 GN=CHTF18 PE=1 SV=1;tr|E7EXA6|E,2,2,2.8,24.1584623828956,22.3226444153401,22.6335389514538,24.1737137301738
Q9Y696,Q9Y696,2,2,2,Chloride intracellular channel protein 4,CLIC4,sp|Q9Y696|CLIC4_HUMAN Chloride intracellular channel protein 4 OS=Homo sapiens OX=9606 GN=CLIC4 PE=1 SV=4,2,2,14.2,4.17608450057973,4.06670010289021,25.0270288899621,24.6329196637411
Q9NXG0,Q9NXG0,2,2,2,Centlein,CNTLN,sp|Q9NXG0|CNTLN_HUMAN Centlein OS=Homo sapiens OX=9606 GN=CNTLN PE=1 SV=6,2,2,1.4,22.2107723992838,22.0850011115178,23.7761602112132,22.2334195642101
Q02246;A0A1B0GTL7;A0A1W2PQ11;A0A1W2PQJ4;A0A1W2PR60;A0A1W2PQ86,Q02246;A0A1B0GTL7;A0A1W2PQ11;A0A1W2PQJ4;A0A1W2PR60;A0A1W2PQ86,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Contactin-2,CNTN2,sp|Q02246|CNTN2_HUMAN Contactin-2 OS=Homo sapiens OX=9606 GN=CNTN2 PE=1 SV=1;tr|A0A1B0GTL7|A0A1B0GTL7_HUMAN Contactin-2 (Fragment) OS=Homo sapiens OX=9606 GN=CNTN2 PE=1 SV=2;tr|A0A1W2PQ11|A0A1W2PQ11_HUMAN Contactin-2 OS=Homo sapiens OX=9606 GN=CNTN2 PE=1 S,2,2,3.8,24.7627322211582,20.7757935121739,24.7729882471924,24.5870445051014
Q9BZ76;Q96NU0;A0A087WZ03;B1AMA2;A6NC89;A0A087X119;A0A2P0CT92;A0A1B0GTE1;F2Z2X6;F2Z2X5;A0A087WUG9;B1AM99;A0A087WXL9,Q9BZ76;Q96NU0;A0A087WZ03;B1AMA2;A6NC89;A0A087X119;A0A2P0CT92;A0A1B0GTE1;F2Z2X6;F2Z2X5;A0A087WUG9;B1AM99;A0A087WXL9,2;2;2;2;2;2;1;1;1;1;1;1;1,2;2;2;2;2;2;1;1;1;1;1;1;1,2;2;2;2;2;2;1;1;1;1;1;1;1,Contactin-associated protein-like 3;Contactin-associated protein-like 3B,CNTNAP3;CNTNAP3B,sp|Q9BZ76|CNTP3_HUMAN Contactin-associated protein-like 3 OS=Homo sapiens OX=9606 GN=CNTNAP3 PE=2 SV=3;sp|Q96NU0|CNT3B_HUMAN Contactin-associated protein-like 3B OS=Homo sapiens OX=9606 GN=CNTNAP3B PE=2 SV=3;tr|A0A087WZ03|A0A087WZ03_HUMAN Contactin-associa,2,2,3.3,23.4887335533014,22.5704665584084,4.45881916663448,4.39209895775669
Q9UNS2;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5;H7C3P9,Q9UNS2;J3QL22;J3QS85;J3KTQ1;J3QKR0;C9JLV5;H7C3P9,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,COP9 signalosome complex subunit 3,COPS3,sp|Q9UNS2|CSN3_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3;tr|J3QL22|J3QL22_HUMAN COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=1;tr|J3QS85|J3QS85_HUMAN COP9 signalosome complex subunit,2,2,6.6,4.17608450057973,4.06670010289021,23.6817462749172,22.8277435246804
Q96A23,Q96A23,3,2,2,Copine-4,CPNE4,sp|Q96A23|CPNE4_HUMAN Copine-4 OS=Homo sapiens OX=9606 GN=CPNE4 PE=1 SV=1,3,2,6.3,22.5300052405977,22.0500238871831,4.45881916663448,4.39209895775669
O95741;H0YNV2;H0YNV6;H0YM67;H0YNP2;H0YNX4;H0YNM7;H0YKJ0;H0YLM2;H0YKP1;H0YLV2,O95741;H0YNV2;H0YNV6;H0YM67;H0YNP2;H0YNX4;H0YNM7;H0YKJ0;H0YLM2;H0YKP1;H0YLV2,3;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2,Copine-6,CPNE6,sp|O95741|CPNE6_HUMAN Copine-6 OS=Homo sapiens OX=9606 GN=CPNE6 PE=1 SV=3;tr|H0YNV2|H0YNV2_HUMAN Copine-6 (Fragment) OS=Homo sapiens OX=9606 GN=CPNE6 PE=1 SV=1;tr|H0YNV6|H0YNV6_HUMAN Copine-6 OS=Homo sapiens OX=9606 GN=CPNE6 PE=1 SV=1;tr|H0YM67|H0YM67_HUMA,3,2,5.4,24.7617224631096,23.671632628171,26.6308980949973,28.5553037710551
Q5HYN5;Q5DJT8;P0DMU8;Q8NHU0;P0DMV2;P0DMV1;P0DMV0;P0DMU9;P0DMU7,Q5HYN5;Q5DJT8;P0DMU8;Q8NHU0;P0DMV2;P0DMV1;P0DMV0;P0DMU9;P0DMU7,2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2,Cancer/testis antigen family 45 member A1;Cancer/testis antigen family 45 member A2;Cancer/testis antigen family 45 member A5;Cancer/testis antigen family 45 member A3;Cancer/testis antigen family 45 member A9;Cancer/testis antigen family 45 member A8;Cancer/testis antigen family 45 member A7;Cancer/testis antigen family 45 member A10;Cancer/testis antigen family 45 member A6,CT45A1;CT45A2;CT45A5;CT45A3;CT45A9;CT45A8;CT45A7;CT45A10;CT45A6,sp|Q5HYN5|CT451_HUMAN Cancer/testis antigen family 45 member A1 OS=Homo sapiens OX=9606 GN=CT45A1 PE=1 SV=1;sp|Q5DJT8|CT452_HUMAN Cancer/testis antigen family 45 member A2 OS=Homo sapiens OX=9606 GN=CT45A2 PE=2 SV=3;sp|P0DMU8|CT455_HUMAN Cancer/testis anti,2,2,11.6,4.17608450057973,4.06670010289021,23.8013412925756,24.5952547492903
Q9H467,Q9H467,2,2,2,CUE domain-containing protein 2,CUEDC2,sp|Q9H467|CUED2_HUMAN CUE domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CUEDC2 PE=1 SV=1,2,2,7.0,4.17608450057973,4.06670010289021,23.6549086895753,22.1812262789066
Q13948;A0A2R8YDI1;A0A2R8Y852;P39880;O14529,Q13948;A0A2R8YDI1;A0A2R8Y852;P39880;O14529,2;2;2;1;1,2;2;2;1;1,2;2;2;1;1,Protein CASP;Homeobox protein cut-like 1;Homeobox protein cut-like 2,CUX1;CUX2,sp|Q13948|CASP_HUMAN Protein CASP OS=Homo sapiens OX=9606 GN=CUX1 PE=1 SV=2;tr|A0A2R8YDI1|A0A2R8YDI1_HUMAN Homeobox protein cut-like OS=Homo sapiens OX=9606 GN=CUX1 PE=1 SV=1;tr|A0A2R8Y852|A0A2R8Y852_HUMAN Homeobox protein cut-like OS=Homo sapiens OX=9606,2,2,4.7,4.17608450057973,4.06670010289021,24.2064265703813,24.5001479672112
P78310,P78310,2,2,2,Coxsackievirus and adenovirus receptor,CXADR,sp|P78310|CXAR_HUMAN Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR PE=1 SV=1,2,2,7.9,4.17608450057973,4.06670010289021,24.5744433927687,23.4850519545676
Q96F07;E7EVJ5;H7C229;E7EW33;A0A087WVE1;A0A087WTQ3;A0A087WWZ1;A0A087WZL7;A0A0G2JRX2;A0A087WU52;A0A0G2JRV9;A0A087WWL1,Q96F07;E7EVJ5;H7C229;E7EW33,12;12;11;10;2;2;2;1;1;1;1;1,2;2;2;2;0;0;0;0;0;0;0;0,2;2;2;2;0;0;0;0;0;0;0;0,Cytoplasmic FMR1-interacting protein 2,CYFIP2,sp|Q96F07|CYFP2_HUMAN Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2;tr|E7EVJ5|E7EVJ5_HUMAN Cytoplasmic FMR1-interacting protein OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=1;tr|H7C229|H7C229_HUMAN Cytoplasmic FMR1-interac,12,2,10.3,21.6742646935478,22.3484623437473,21.6644889514324,23.2702782144449
Q9NVP1,Q9NVP1,2,2,2,ATP-dependent RNA helicase DDX18,DDX18,sp|Q9NVP1|DDX18_HUMAN ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,2,2,3.7,22.6092797555849,22.1055230755315,23.1702794775791,22.9491342123385
Q9NXZ2,Q9NXZ2,2,2,2,Probable ATP-dependent RNA helicase DDX43,DDX43,sp|Q9NXZ2|DDX43_HUMAN Probable ATP-dependent RNA helicase DDX43 OS=Homo sapiens OX=9606 GN=DDX43 PE=1 SV=2,2,2,3.5,4.17608450057973,4.06670010289021,23.7103459710992,22.85918062675
Q9BUN8;B4E1G1;E5RGY0,Q9BUN8;B4E1G1;E5RGY0,2;2;1,2;2;1,2;2;1,Derlin-1,DERL1,sp|Q9BUN8|DERL1_HUMAN Derlin-1 OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1;tr|B4E1G1|B4E1G1_HUMAN Derlin OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1;tr|E5RGY0|E5RGY0_HUMAN Derlin OS=Homo sapiens OX=9606 GN=DERL1 PE=1 SV=1,2,2,10.0,25.0899459939723,22.5938843225425,4.45881916663448,4.39209895775669
A0A3B3ISW2;Q15700;F8VYC1;E9PIW2;B7Z2T4;E9PN83;A0A3B3ITF1,A0A3B3ISW2;Q15700;F8VYC1;E9PIW2;B7Z2T4;E9PN83;A0A3B3ITF1,3;2;2;2;2;2;2,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Disks large homolog 2,DLG2,tr|A0A3B3ISW2|A0A3B3ISW2_HUMAN Disks large homolog 2 OS=Homo sapiens OX=9606 GN=DLG2 PE=1 SV=1;sp|Q15700|DLG2_HUMAN Disks large homolog 2 OS=Homo sapiens OX=9606 GN=DLG2 PE=1 SV=3;tr|F8VYC1|F8VYC1_HUMAN Disks large homolog 2 (Fragment) OS=Homo sapiens OX=9,3,2,6.6,4.17608450057973,4.06670010289021,25.317551728622,23.3390572890842
P11532;A0A087WV90;A0A5H1ZRP8;A0A087WTU7;A0A075B6G3;Q4G0X0;H0Y3E8;A0A5H1ZRP7;A0A5H1ZRR9;A0A5H1ZRQ1;A0A5H1ZRP9;A0A5H1ZRQ8;H0Y304,P11532;A0A087WV90;A0A5H1ZRP8;A0A087WTU7;A0A075B6G3;Q4G0X0,3;3;3;3;3;2;1;1;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1;1;1;1,Dystrophin,DMD,sp|P11532|DMD_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3;tr|A0A087WV90|A0A087WV90_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A5H1ZRP8|A0A5H1ZRP8_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A087WTU7|A0A0,3,2,0.9,22.8486374570351,22.1818104952251,24.8367711454612,24.0174180849729
Q0VDD8,Q0VDD8,2,2,2,"Dynein heavy chain 14, axonemal",DNAH14,"sp|Q0VDD8|DYH14_HUMAN Dynein heavy chain 14, axonemal OS=Homo sapiens OX=9606 GN=DNAH14 PE=2 SV=3",2,2,0.7,4.17608450057973,4.06670010289021,24.8021843272894,24.084319866773
Q8N4W6,Q8N4W6,2,2,2,DnaJ homolog subfamily C member 22,DNAJC22,sp|Q8N4W6|DJC22_HUMAN DnaJ homolog subfamily C member 22 OS=Homo sapiens OX=9606 GN=DNAJC22 PE=1 SV=1,2,2,8.2,4.17608450057973,4.06670010289021,25.0808685872898,24.505703032872
Q05193;A0A1B0GUX5;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;P50570;A0A1B0GU67,Q05193;A0A1B0GUX5;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;P50570;A0A1B0GU67,2;2;2;2;2;1;1,2;2;2;2;2;1;1,2;2;2;2;2;1;1,Dynamin-1;Dynamin-2,DNM1;DNM2,sp|Q05193|DYN1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2;tr|A0A1B0GUX5|A0A1B0GUX5_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0U1RQP1|A0A,2,2,2.9,4.17608450057973,4.06670010289021,22.7722332125255,23.9810389396664
Q08554,Q08554,2,2,2,Desmocollin-1,DSC1,sp|Q08554|DSC1_HUMAN Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2,2,2,3.9,24.3015235462335,22.442259514493,4.45881916663448,4.39209895775669
P51452;K7ES89,P51452;K7ES89,2;1,2;1,2;1,Dual specificity protein phosphatase 3,DUSP3,sp|P51452|DUS3_HUMAN Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1;tr|K7ES89|K7ES89_HUMAN Dual specificity protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1,2,2,14.6,22.9281561698041,22.248097702401,23.7209848377199,24.3778909763675
P63167;Q96FJ2,P63167;Q96FJ2,2;2,2;2,2;2,"Dynein light chain 1, cytoplasmic;Dynein light chain 2, cytoplasmic",DYNLL1;DYNLL2,"sp|P63167|DYL1_HUMAN Dynein light chain 1, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL1 PE=1 SV=1;sp|Q96FJ2|DYL2_HUMAN Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1",2,2,24.7,24.9944673860398,23.5043870566486,4.45881916663448,4.39209895775669
Q96F86;H3BPN4,Q96F86;H3BPN4,2;1,2;1,2;1,Enhancer of mRNA-decapping protein 3,EDC3,sp|Q96F86|EDC3_HUMAN Enhancer of mRNA-decapping protein 3 OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1;tr|H3BPN4|H3BPN4_HUMAN Enhancer of mRNA-decapping protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1,2,2,4.3,4.17608450057973,4.06670010289021,23.9500247098922,24.2256010933299
O60869,O60869,2,2,2,Endothelial differentiation-related factor 1,EDF1,sp|O60869|EDF1_HUMAN Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1,2,2,18.2,4.17608450057973,4.06670010289021,25.6716866121573,25.631481052565
Q9GZT9;Q9H6Z9;G3V3M1;A0A590UJK7;F8W1G2;A0A590UJT7;A0A590UJ78,Q9GZT9;Q9H6Z9;G3V3M1;A0A590UJK7;F8W1G2;A0A590UJT7;A0A590UJ78,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Egl nine homolog 1;Egl nine homolog 3,EGLN1;EGLN3,sp|Q9GZT9|EGLN1_HUMAN Egl nine homolog 1 OS=Homo sapiens OX=9606 GN=EGLN1 PE=1 SV=1;sp|Q9H6Z9|EGLN3_HUMAN Prolyl hydroxylase EGLN3 OS=Homo sapiens OX=9606 GN=EGLN3 PE=1 SV=1;tr|G3V3M1|G3V3M1_HUMAN Egl nine homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=EG,2,2,7.5,4.17608450057973,4.06670010289021,23.4909380113479,23.5206150036125
Q7L2H7;E9PRI2;E9PN86;E7ESM3;J3KNJ2,Q7L2H7;E9PRI2;E9PN86;E7ESM3;J3KNJ2,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Eukaryotic translation initiation factor 3 subunit M,EIF3M,sp|Q7L2H7|EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1;tr|E9PRI2|E9PRI2_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1;tr|E9PN86|E9PN86_HU,2,2,8.3,4.17608450057973,4.06670010289021,24.2185975266551,23.9590765261506
P56537;B7ZBH1,P56537;B7ZBH1,2;2,2;2,2;2,Eukaryotic translation initiation factor 6,EIF6,sp|P56537|IF6_HUMAN Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1;tr|B7ZBH1|B7ZBH1_HUMAN Eukaryotic translation initiation factor 6 (Fragment) OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,2,2,11.4,23.6651398402505,22.7433274205863,4.45881916663448,4.39209895775669
Q9NYP7;A0A0A0MTI6,Q9NYP7;A0A0A0MTI6,2;2,2;2,2;2,Elongation of very long chain fatty acids protein 5;Elongation of very long chain fatty acids protein,ELOVL5,sp|Q9NYP7|ELOV5_HUMAN Elongation of very long chain fatty acids protein 5 OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1;tr|A0A0A0MTI6|A0A0A0MTI6_HUMAN Elongation of very long chain fatty acids protein OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1,2,2,8.7,4.17608450057973,4.06670010289021,23.3899505734802,23.6232143936251
Q9HCM4;Q9H329,Q9HCM4;Q9H329,2;1,2;1,2;1,Band 4.1-like protein 5;Band 4.1-like protein 4B,EPB41L5;EPB41L4B,sp|Q9HCM4|E41L5_HUMAN Band 4.1-like protein 5 OS=Homo sapiens OX=9606 GN=EPB41L5 PE=1 SV=3;sp|Q9H329|E41LB_HUMAN Band 4.1-like protein 4B OS=Homo sapiens OX=9606 GN=EPB41L4B PE=2 SV=2,2,2,2.2,4.17608450057973,4.06670010289021,23.018657958821,23.631786317307
B1AKC9;P29323,B1AKC9;P29323,3;2,2;1,2;1,Receptor protein-tyrosine kinase;Ephrin type-B receptor 2,EPHB2,tr|B1AKC9|B1AKC9_HUMAN Ephrin type-B receptor 2 OS=Homo sapiens OX=9606 GN=EPHB2 PE=1 SV=1;sp|P29323|EPHB2_HUMAN Ephrin type-B receptor 2 OS=Homo sapiens OX=9606 GN=EPHB2 PE=1 SV=5,3,2,6.2,26.4660085181115,23.5865768582183,24.4003031315279,24.7971905025005
O95208;F6PQP6;E9PBC1;I3L2B2;I3L356;I3L2H1,O95208;F6PQP6;E9PBC1;I3L2B2;I3L356;I3L2H1,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,Epsin-2,EPN2,sp|O95208|EPN2_HUMAN Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=3;tr|F6PQP6|F6PQP6_HUMAN Epsin-2 (Fragment) OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=8;tr|E9PBC1|E9PBC1_HUMAN Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=1;tr|I3L2B2|I3L2B2_HUMAN Epsin,2,2,3.1,4.17608450057973,4.06670010289021,24.1761174984938,23.7462215261033
P58107;A0A075B730,P58107;A0A075B730,7;7,2;2,2;2,Epiplakin,EPPK1,sp|P58107|EPIPL_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3;tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=2,7,2,9.9,4.17608450057973,4.06670010289021,23.2684232084496,23.9475299302967
Q12929;A0A2R8YE63;A0A2R8Y4W2,Q12929;A0A2R8YE63;A0A2R8Y4W2,2;2;2,2;2;2,2;2;2,Epidermal growth factor receptor kinase substrate 8,EPS8,sp|Q12929|EPS8_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1;tr|A0A2R8YE63|A0A2R8YE63_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1;tr|A0A2R8Y4W2|A0,2,2,4.5,4.17608450057973,4.06670010289021,24.8186551160885,23.6346692689283
O15083;H7C4G9,O15083;H7C4G9,8;6,2;2,2;2,ERC protein 2,ERC2,sp|O15083|ERC2_HUMAN ERC protein 2 OS=Homo sapiens OX=9606 GN=ERC2 PE=1 SV=3;tr|H7C4G9|H7C4G9_HUMAN ERC protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ERC2 PE=1 SV=1,8,2,6.5,21.8250472783485,21.806656973211,24.8815703184077,24.2416177946756
P28715;A0A494C0S2;A0A1W2PS85;R4GMW8;A0A494C113;A0A090HNM7,P28715;A0A494C0S2;A0A1W2PS85;R4GMW8;A0A494C113;A0A090HNM7,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,DNA repair protein complementing XP-G cells,ERCC5;BIVM-ERCC5;ERCC5-201,sp|P28715|ERCC5_HUMAN DNA repair protein complementing XP-G cells OS=Homo sapiens OX=9606 GN=ERCC5 PE=1 SV=3;tr|A0A494C0S2|A0A494C0S2_HUMAN DNA repair protein-complementing XP-G cells OS=Homo sapiens OX=9606 GN=ERCC5 PE=1 SV=1;tr|A0A1W2PS85|A0A1W2PS85_HUMA,2,2,2.3,4.17608450057973,4.06670010289021,24.2994288381303,23.999809430637
G3V279;P84090,G3V279;P84090,2;1,2;1,2;1,Enhancer of rudimentary homolog,ERH,tr|G3V279|G3V279_HUMAN Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1;sp|P84090|ERH_HUMAN Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,2,2,57.7,4.17608450057973,4.06670010289021,25.1032958134005,25.3850532249545
C9JLW8;I3L2L5;I3L317;I3L4Q0,C9JLW8;I3L2L5;I3L317;I3L4Q0,2;2;2;2,2;2;2;2,2;2;2;2,Protein FAM195B,FAM195B,sp|C9JLW8|MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1;tr|I3L2L5|I3L2L5_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1;tr|I3L317|I3L317_HUMAN Ma,2,2,20.6,4.17608450057973,4.06670010289021,23.1742472853396,23.1286765097058
Q6ZRV2;A0A494C1T9;J3KPS2,Q6ZRV2;A0A494C1T9;J3KPS2,2;2;1,2;2;1,2;2;1,Protein FAM83H,FAM83H,sp|Q6ZRV2|FA83H_HUMAN Protein FAM83H OS=Homo sapiens OX=9606 GN=FAM83H PE=1 SV=3;tr|A0A494C1T9|A0A494C1T9_HUMAN Protein FAM83H OS=Homo sapiens OX=9606 GN=FAM83H PE=1 SV=1;tr|J3KPS2|J3KPS2_HUMAN Protein FAM83H (Fragment) OS=Homo sapiens OX=9606 GN=FAM83H PE,2,2,3.4,4.17608450057973,4.06670010289021,26.4631321754686,26.1516856645443
Q0JRZ9;H0YAE2;H7BXJ4,Q0JRZ9;H0YAE2;H7BXJ4,2;1;1,2;1;1,2;1;1,F-BAR domain only protein 2,FCHO2,sp|Q0JRZ9|FCHO2_HUMAN F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2;tr|H0YAE2|H0YAE2_HUMAN F-BAR domain only protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=9;tr|H7BXJ4|H7BXJ4_HUMAN F-BAR domain only protein 2 OS=Homo,2,2,3.1,4.17608450057973,4.06670010289021,23.1259866214458,22.9616220848894
