Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
O43823;M0QYL4,O43823,10;3,10;3,10;3,A-kinase anchor protein 8,AKAP8,sp|O43823|AKAP8_HUMAN A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1,10.0,10.0,27.2,27.4906779381188,28.5197210064032,26.3116226352723,26.0978828593511
P54886,P54886,2,2,2,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,sp|P54886|P5CS_HUMAN Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,2.0,2.0,5.5,24.7648101428801,24.6374359154267,21.9534035965864,23.1218107547041
P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;A0A5K1VW72;I3L1M4;A0A5F9ZHP6;I3L2W1;A0A0D9SGC3;J3QS00;A0A5F9ZHZ9,P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;A0A5K1VW72,5;5;5;5;5;5;4;2;2;1;1;1;1,5;5;5;5;5;5;4;2;2;1;1;1;1,5;5;5;5;5;5;4;2;2;1;1;1;1,Fatty aldehyde dehydrogenase,ALDH3A2,sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|J3QRD1|J3QRD1_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZI12|A0A5F9ZI12_HUMAN Aldehy,5.0,5.0,14.0,23.4617641931802,23.7390406972271,26.281287682802,26.0213209320886
P04075;H3BPS8;H3BQN4;J3KPS3;H3BUH7;H3BR04;H3BMQ8;H3BU78,P04075;H3BPS8;H3BQN4;J3KPS3;H3BUH7;H3BR04;H3BMQ8;H3BU78,4;4;4;4;3;3;2;2,4;4;4;4;3;3;2;2,4;4;4;4;3;3;2;2,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,sp|P04075|ALDOA_HUMAN Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2;tr|H3BPS8|H3BPS8_HUMAN Fructose-bisphosphate aldolase A (Fragment) OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=1;tr|H3BQN4|H3BQN4_HUMAN Fructose-bisphosphate ald,4.0,4.0,16.8,26.8773635260642,26.3542390271955,4.38176407895191,4.39969772430431
Q8TCU4;A0A087WV20;A0A087WTU9;H7C1D9;A0A494BZW1,Q8TCU4;A0A087WV20;A0A087WTU9,54;54;54;22;7,54;54;54;22;7,54;54;54;22;7,Alstrom syndrome protein 1,ALMS1,sp|Q8TCU4|ALMS1_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=4;tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;tr|A0A087WTU9|A0A087WTU9_HUMAN Alstrom syndrome protein 1 OS=Ho,54.0,54.0,21.0,26.0943626886305,24.8689129614744,30.1806820220379,29.4236821287451
Q86V81;E9PB61,Q86V81;E9PB61,5;4,5;4,5;4,THO complex subunit 4,ALYREF,sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3;tr|E9PB61|E9PB61_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1,5.0,5.0,22.2,27.0577567798463,26.3660967221577,25.9082071524975,24.9272339790603
Q4VCS5;A6NP16;E7ERM3,Q4VCS5;A6NP16;E7ERM3,2;2;2,2;2;2,2;2;2,Angiomotin,AMOT,sp|Q4VCS5|AMOT_HUMAN Angiomotin OS=Homo sapiens OX=9606 GN=AMOT PE=1 SV=1;tr|A6NP16|A6NP16_HUMAN Angiomotin OS=Homo sapiens OX=9606 GN=AMOT PE=1 SV=1;tr|E7ERM3|E7ERM3_HUMAN Angiomotin OS=Homo sapiens OX=9606 GN=AMOT PE=1 SV=1,2.0,2.0,2.3,24.8266941477515,24.7616210255957,4.38176407895191,4.39969772430431
Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1;H0YF16,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,10.0,10.0,13.7,4.3500727725963,4.5358450090929,27.355146740306,27.163653668047
Q9H1A4;H0Y564;A0A2R8YF63;F8WAS1,Q9H1A4;H0Y564,14;9;3;1,14;9;3;1,14;9;3;1,Anaphase-promoting complex subunit 1,ANAPC1,sp|Q9H1A4|APC1_HUMAN Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1;tr|H0Y564|H0Y564_HUMAN Anaphase-promoting complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1,14.0,14.0,9.1,23.0723962955323,23.4162913290846,27.1205035214227,26.0072937181229
Q9UJX5;D6RAP6;D6RFM7,Q9UJX5,18;4;2,18;4;2,18;4;2,Anaphase-promoting complex subunit 4,ANAPC4,sp|Q9UJX5|APC4_HUMAN Anaphase-promoting complex subunit 4 OS=Homo sapiens OX=9606 GN=ANAPC4 PE=1 SV=2,18.0,18.0,26.5,28.0067267870948,27.9841366201283,27.4883811401795,27.519608540408
E9PKF7;Q86XS5,E9PKF7;Q86XS5,3;2,3;2,3;2,Angiopoietin-related protein 5,ANGPTL5,tr|E9PKF7|E9PKF7_HUMAN Angiopoietin-related protein 5 (Fragment) OS=Homo sapiens OX=9606 GN=ANGPTL5 PE=4 SV=1;sp|Q86XS5|ANGL5_HUMAN Angiopoietin-related protein 5 OS=Homo sapiens OX=9606 GN=ANGPTL5 PE=1 SV=3,3.0,3.0,25.5,4.3500727725963,4.5358450090929,22.931099617227,22.7766972740009
A0A5F9ZH58;A0A5F9ZHC9;A0A5F9ZH70;A0A5F9ZI65;A0A5F9ZGY3;A0A5F9ZHA1;A0A5F9ZH30;A0A5F9ZI30;A0A5F9ZH35;A0A5F9ZHY6;A0A5F9ZHQ5;A0A5F9ZGY4;A0A5F9ZGZ1;A0A5F9ZHL9;A0A5F9ZHJ4;A0A5F9ZI73;A0A5F9ZGS7;A0A5F9ZGX8;A0A5F9ZI81;A0A5F9ZHR2;A0A5F9ZI69;A0A5F9ZI53;A0A5F9ZH38;A0A5F9ZI56;A0A5F9ZHG3;A0A5F9ZHE4;D6RHE1;A0A5F9ZHR8;A0A5F9ZI18;I6L894;A0A5F9ZI40;A0A5F9ZHN5;A0A5F9ZH19;A0A5F9ZHL5;A0A5F9ZGS5;A0A5F9ZH34;A0A5F9ZGZ5;A0A5F9ZHJ6;Q01484;A0A5F9ZI15;A0A5F9ZGY1;A0A5F9ZHD2;A0A5F9ZGX3;A0A5F9ZHS1;A0A5F9ZH39;A0A5F9ZHT4;A0A5F9ZI46;A0A5F9ZHT8;A0A5F9ZI36;A0A5F9ZH17;A0A5F9ZH03;A0A5F9ZHF7;A0A5F9ZHL3;A0A5F9ZHQ3;A0A5F9ZHE2;A0A5F9ZI08;A0A5F9ZHN0;A0A5F9ZHM6;A0A5F9ZI45;E9PHW9;A0A5F9ZH10;A0A0U1RQN6;A0A5F9ZH18;A0A5F9ZH99;A0A5F9ZI16;E9PCH6;A0A669KB19;H0Y931;A0A5F9ZHV4;B7Z651;H0Y8Y2;A0A5F9ZI41;A0A5K1VW73;H0YAG3;D6RIY9,A0A5F9ZH58;A0A5F9ZHC9;A0A5F9ZH70;A0A5F9ZI65;A0A5F9ZGY3;A0A5F9ZHA1;A0A5F9ZH30;A0A5F9ZI30;A0A5F9ZH35;A0A5F9ZHY6;A0A5F9ZHQ5;A0A5F9ZGY4;A0A5F9ZGZ1;A0A5F9ZHL9;A0A5F9ZHJ4;A0A5F9ZI73;A0A5F9ZGS7;A0A5F9ZGX8;A0A5F9ZI81;A0A5F9ZHR2;A0A5F9ZI69;A0A5F9ZI53;A0A5F9ZH38;A0A5F9ZI56;A0A5F9ZHG3;A0A5F9ZHE4;D6RHE1;A0A5F9ZHR8;A0A5F9ZI18;I6L894;A0A5F9ZI40;A0A5F9ZHN5;A0A5F9ZH19;A0A5F9ZHL5;A0A5F9ZGS5;A0A5F9ZH34;A0A5F9ZGZ5;A0A5F9ZHJ6;Q01484;A0A5F9ZI15;A0A5F9ZGY1;A0A5F9ZHD2;A0A5F9ZGX3;A0A5F9ZHS1;A0A5F9ZH39;A0A5F9ZHT4;A0A5F9ZI46;A0A5F9ZHT8;A0A5F9ZI36;A0A5F9ZH17;A0A5F9ZH03;A0A5F9ZHF7;A0A5F9ZHL3;A0A5F9ZHQ3;A0A5F9ZHE2;A0A5F9ZI08;A0A5F9ZHN0;A0A5F9ZHM6;A0A5F9ZI45;E9PHW9;A0A5F9ZH10;A0A0U1RQN6;A0A5F9ZH18;A0A5F9ZH99;A0A5F9ZI16;E9PCH6;A0A669KB19;H0Y931;A0A5F9ZHV4;B7Z651;H0Y8Y2,29;28;28;28;28;28;28;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;26;26;26;26;26;26;26;26;25;25;25;25;25;25;25;25;25;25;25;25;24;21;20;17;17;17;17;17;17;16;15;15;15;15;11;7;3;2,29;28;28;28;28;28;28;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;26;26;26;26;26;26;26;26;25;25;25;25;25;25;25;25;25;25;25;25;24;21;20;17;17;17;17;17;17;16;15;15;15;15;11;7;3;2,24;23;23;23;23;23;23;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;20;16;15;15;12;15;15;15;15;12;14;14;11;14;9;7;3;2,Ankyrin-2,ANK2,tr|A0A5F9ZH58|A0A5F9ZH58_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|A0A5F9ZHC9|A0A5F9ZHC9_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|A0A5F9ZH70|A0A5F9ZH70_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|A0A5,29.0,24.0,26.9,25.506922749625,25.9046057749459,29.0531020866642,29.0582988504346
Q12955;A0A087WTF3;D6RHY3;A0A087X0B4;A0A087WZ65,Q12955,6;2;1;1;1,2;1;0;0;0,2;1;0;0;0,Ankyrin-3,ANK3,sp|Q12955|ANK3_HUMAN Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3,6.0,2.0,2.2,26.7904198937138,26.1604449664676,4.38176407895191,4.39969772430431
Q8IWZ3;H0Y4P6;A0A0A0MQZ8;H0Y7Y3;H0Y785;H0Y472;H7C2E1,Q8IWZ3,36;9;7;7;7;7;1,21;8;7;7;7;7;1,5;5;5;5;4;4;1,Ankyrin repeat and KH domain-containing protein 1,ANKHD1,sp|Q8IWZ3|ANKH1_HUMAN Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,36.0,5.0,20.4,24.9915306972936,24.8151405129988,28.7476242188934,28.3651122833335
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5.0,2.0,12.6,4.3500727725963,4.5358450090929,22.7074829937707,24.4367608419954
Q86XL3;F5H1D4,Q86XL3;F5H1D4,3;2,3;2,3;2,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4;tr|F5H1D4|F5H1D4_HUMAN Ankyrin repeat and LEM domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=1,3.0,3.0,5.1,4.3500727725963,4.5358450090929,24.3336085240731,22.8641211411291
Q6UB99;A0A2R8Y438,Q6UB99,3;1,3;1,3;1,Ankyrin repeat domain-containing protein 11,ANKRD11,sp|Q6UB99|ANR11_HUMAN Ankyrin repeat domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ANKRD11 PE=1 SV=3,3.0,3.0,2.1,28.5909936907499,27.4139328618796,4.38176407895191,4.39969772430431
O75179;H0YM23;A0A1W2PQ15;H0YLQ3,O75179;H0YM23,47;44;19;17,47;44;19;17,32;29;10;11,Ankyrin repeat domain-containing protein 17,ANKRD17,sp|O75179|ANR17_HUMAN Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3;tr|H0YM23|H0YM23_HUMAN Ankyrin repeat domain-containing protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=1,47.0,32.0,23.7,24.0322098852976,26.3510737526161,31.4887450435844,30.3933549403517
Q8NF67,Q8NF67,4,4,4,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,ANKRD20A12P,sp|Q8NF67|A2012_HUMAN Putative ankyrin repeat domain-containing protein 20A12 pseudogene OS=Homo sapiens OX=9606 GN=ANKRD20A12P PE=5 SV=3,4.0,4.0,11.8,26.4020397205971,25.1487605028988,26.3755895383239,25.4749097816117
O15084;B4DIW9;Q8N8A2;H7C4A0;H7C209;A0A2R8Y7Y4,O15084;B4DIW9,8;7;1;1;1;1,8;7;1;1;1;1,8;7;1;1;1;1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,sp|O15084|ANR28_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5;tr|B4DIW9|B4DIW9_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens,8.0,8.0,11.7,4.3500727725963,4.5358450090929,26.9492678220172,26.0547174148817
Q8NB46,Q8NB46,6,6,6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52,sp|Q8NB46|ANR52_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Homo sapiens OX=9606 GN=ANKRD52 PE=1 SV=3,6.0,6.0,8.7,4.3500727725963,4.5358450090929,25.915724955076,25.0229722186525
Q92625;A0A3B3ISP1;A0A3B3ITU5,Q92625;A0A3B3ISP1,22;21;8,22;21;8,22;21;8,Ankyrin repeat and SAM domain-containing protein 1A,ANKS1A,sp|Q92625|ANS1A_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=4;tr|A0A3B3ISP1|A0A3B3ISP1_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=1,22.0,22.0,28.6,4.3500727725963,4.5358450090929,29.0798417616539,29.1521161891028
Q9NQW6;H7C1K5;H7C3S1;H7C1C2;C9JJT6;H7C0Y6;H7C167,Q9NQW6,49;12;10;8;7;1;1,49;12;10;8;7;1;1,49;12;10;8;7;1;1,Actin-binding protein anillin,ANLN,sp|Q9NQW6|ANLN_HUMAN Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,49.0,49.0,46.9,30.4655795756526,30.4554245229451,30.2006952484736,29.9465653886188
Q9BTT0;E9PPH5;Q5TB19;E9PLC4,Q9BTT0;E9PPH5,5;4;2;2,5;4;2;2,5;4;2;2,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1;tr|E9PPH5|E9PPH5_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens OX=9606 GN=ANP32,5.0,5.0,23.1,29.3772663085857,29.1452317705679,26.6500671970334,25.5374184365192
P04083;Q5T3N1;Q5T3N0,P04083;Q5T3N1,21;11;7,21;11;7,21;11;7,Annexin A1;Annexin,ANXA1,sp|P04083|ANXA1_HUMAN Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2;tr|Q5T3N1|Q5T3N1_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=1,21.0,21.0,63.9,30.3051950321978,29.2725090867576,29.5569121268972,29.5700587869993
P07355;H0YN42;A6NMY6;H0YMU9;H0YMD0;H0YM50;H0YKS4;H0YNP5;H0YL33;H0YN28;H0YMM1;H0YLV6;H0YKX9;H0YKZ7;H0YNA0;H0YMW4;H0YKL9;H0YKV8;H0YN52;H0YMD9;H0YNB8;H0YKN4;H0YLE2,P07355;H0YN42;A6NMY6;H0YMU9;H0YMD0;H0YM50;H0YKS4;H0YNP5,30;25;23;23;23;19;19;16;14;14;13;11;11;11;10;9;9;8;8;7;5;5;2,30;25;23;23;23;19;19;16;14;14;13;11;11;11;10;9;9;8;8;7;5;5;2,19;14;15;12;12;15;8;12;14;14;2;0;0;0;10;0;0;0;8;0;0;0;2,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;tr|H0YN42|H0YN42_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;sp|A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5,30.0,19.0,75.5,31.7804653141733,30.2917572393869,32.9992382059857,33.1444144906163
P08758;E9PHT9;D6RBL5;D6RBE9,P08758;E9PHT9;D6RBL5,4;3;2;1,4;3;2;1,4;3;2;1,Annexin A5;Annexin,ANXA5,sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;tr|E9PHT9|E9PHT9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|D6RBL5|D6RBL5_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1,4.0,4.0,14.7,24.6356658729798,25.3335064683032,24.7476050131339,25.0764714887988
O00203;F5GWU4;F5GYB0;A0A590UK30;A0A590UJ44;A0A590UK69;H0YBD0,O00203,20;2;1;1;1;1;1,20;2;1;1;1;1;1,17;0;0;0;0;0;1,AP-3 complex subunit beta-1,AP3B1,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,20.0,17.0,22.7,23.4026259341215,23.5199382408131,27.9656521959396,27.4970895873912
Q13367;A0A590UJ60;A0A5F9UJV3;A0A2R8Y2A8;A0A590UKC4;A0A590UJW5;A0A590UK04;A0A590UKD3;A0A590UJU7;A0A590UJU0;A0A590UJE5,Q13367;A0A590UJ60;A0A5F9UJV3;A0A2R8Y2A8;A0A590UKC4;A0A590UJW5;A0A590UK04;A0A590UKD3;A0A590UJU7;A0A590UJU0,5;5;5;5;5;4;4;3;3;3;2,2;2;2;2;2;1;2;1;2;1;1,2;2;2;2;2;1;2;1;2;1;1,AP-3 complex subunit beta-2,AP3B2,sp|Q13367|AP3B2_HUMAN AP-3 complex subunit beta-2 OS=Homo sapiens OX=9606 GN=AP3B2 PE=1 SV=2;tr|A0A590UJ60|A0A590UJ60_HUMAN AP-3 complex subunit beta OS=Homo sapiens OX=9606 GN=AP3B2 PE=1 SV=1;tr|A0A5F9UJV3|A0A5F9UJV3_HUMAN AP-3 complex subunit beta OS=Hom,5.0,2.0,10.4,25.7549369017497,25.389097199071,23.012841253914,22.2143048896005
O14617;A0A2R8Y611;A0A2R8Y4J3;A0A087WYN6,O14617;A0A2R8Y611;A0A2R8Y4J3,15;11;9;3,15;11;9;3,15;11;9;3,AP-3 complex subunit delta-1,AP3D1,sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y611|A0A2R8Y611_HUMAN AP-3 complex subunit delta-1 (Fragment) OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y4J3|A0A2R8Y4J3_HUMAN AP-3 complex subu,15.0,15.0,17.2,4.3500727725963,4.5358450090929,28.1783091678173,27.5967623420646
O00213;A0A075B7G8;J3KPL8;A0A087X0V7;A0A087WYH9;V9GYR7;V9GY97;V9GYD5,O00213;A0A075B7G8;J3KPL8;A0A087X0V7;A0A087WYH9,12;12;12;8;8;5;4;1,12;12;12;8;8;5;4;1,12;12;12;8;8;5;4;1,Amyloid beta A4 precursor protein-binding family B member 1,APBB1,sp|O00213|APBB1_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV=2;tr|A0A075B7G8|A0A075B7G8_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV,12.0,12.0,27.0,26.1885791875302,27.2240742663062,26.3792634677559,26.1567470797613
Q92870;G5E9Y1;H0YAJ5;D6RB00;H0Y9U9;H0YA92,Q92870;G5E9Y1;H0YAJ5,5;5;4;1;1;1,5;5;4;1;1;1,5;5;4;1;1;1,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,"sp|Q92870|APBB2_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 OS=Homo sapiens OX=9606 GN=APBB2 PE=1 SV=3;tr|G5E9Y1|G5E9Y1_HUMAN Amyloid beta (A4) protein-binding, family B, member 2 (Fe65-like), isoform CRA_c OS=Homo sapiens OX=9606 GN=",5.0,5.0,9.8,4.3500727725963,4.5358450090929,24.4466375833564,25.3485433887186
P25054;E9PFT7;A0A2Q2SV78;R4GMU6;D6RFL6;E7EMH9,P25054;E9PFT7;A0A2Q2SV78,7;6;5;2;1;1,7;6;5;2;1;1,7;6;5;2;1;1,Adenomatous polyposis coli protein,APC,sp|P25054|APC_HUMAN Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2;tr|E9PFT7|E9PFT7_HUMAN Adenomatous polyposis coli protein (Fragment) OS=Homo sapiens OX=9606 GN=APC PE=1 SV=8;tr|A0A2Q2SV78|A0A2Q2SV78_HUMAN Adenomatous polypos,7.0,7.0,4.3,26.9955028750783,27.1949878479169,24.7812176175879,24.842445109861
Q9BZZ5;G3V1C3;H0YER7;E9PQK6,Q9BZZ5;G3V1C3;H0YER7,14;14;7;5,14;14;7;5,14;14;7;5,Apoptosis inhibitor 5,API5,sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3;tr|G3V1C3|G3V1C3_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=1;tr|H0YER7|H0YER7_HUMAN Apoptosis inhibitor 5 (Fragment) OS=Homo sapiens OX=9606 GN=A,14.0,14.0,27.7,28.1151047078283,27.7423972315096,26.8047665721425,26.6374082752079
O60306;H0YH15,O60306,3;1,3;1,3;1,Intron-binding protein aquarius,AQR,sp|O60306|AQR_HUMAN RNA helicase aquarius OS=Homo sapiens OX=9606 GN=AQR PE=1 SV=4,3.0,3.0,3.4,24.7995638446617,24.3421132000782,4.38176407895191,4.39969772430431
Q96P48;E7EU13,Q96P48;E7EU13,2;1,2;1,2;1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",ARAP1,"sp|Q96P48|ARAP1_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ARAP1 PE=1 SV=3;tr|E7EU13|E7EU13_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX",2.0,2.0,2.6,22.8863046259092,23.231382240964,24.7377359623986,24.7645092034795
P48444;B0YIW6;Q6P1Q5;E9PK34,P48444;B0YIW6;Q6P1Q5,12;12;7;2,12;12;7;2,12;12;7;2,Coatomer subunit delta,ARCN1,sp|P48444|COPD_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|B0YIW6|B0YIW6_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|Q6P1Q5|Q6P1Q5_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 P,12.0,12.0,24.9,4.3500727725963,4.5358450090929,27.5778032442053,27.4769964441479
P61204;P84077;F5H423;P84085;C9J1Z8;P18085;F5H0C7;C9JPM4;H0YGG7;F5H1V1;F5H6T5;F8WDB3;C9JAK5,P61204;P84077;F5H423;P84085;C9J1Z8,8;8;6;4;4;3;3;3;2;1;1;1;1,8;8;6;4;4;3;3;3;2;1;1;1;1,8;8;6;4;4;3;3;3;2;1;1;1;1,ADP-ribosylation factor 3;ADP-ribosylation factor 1;ADP-ribosylation factor 5,ARF3;ARF1;ARF5,sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2;sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens OX=9606 GN=ARF1 PE=1 SV=2;tr|F5H423|F5H423_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV,8.0,8.0,50.8,26.8729096748095,26.2002649478623,27.1316334308385,27.082432836852
P62330,P62330,2,2,2,ADP-ribosylation factor 6,ARF6,sp|P62330|ARF6_HUMAN ADP-ribosylation factor 6 OS=Homo sapiens OX=9606 GN=ARF6 PE=1 SV=2,2.0,2.0,13.1,24.6949270244422,24.9478296312669,22.4012461991414,22.7036653615199
