Gene_names,CIAO1_vs_BirA_logFC,CIAO1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_CIAO1_N1,Peptides_CIAO1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_CIAO1_N1,Razor___unique_peptides_CIAO1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_CIAO1_N1,Unique_peptides_CIAO1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_CIAO1_N1,Identification_type_CIAO1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_CIAO1_N1,Ratio_H_L_CIAO1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_CIAO1_N1,Ratio_H_L_normalized_CIAO1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____CIAO1_N1,Ratio_H_L_variability_____CIAO1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_CIAO1_N1,Ratio_H_L_count_CIAO1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_CIAO1_N1,Ratio_H_L_iso_count_CIAO1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_CIAO1_N1,Ratio_H_L_type_CIAO1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_CIAO1_N1____,Sequence_coverage_CIAO1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_CIAO1_N1,Intensity_L_CIAO1_N1,Intensity_H_CIAO1_N1,Intensity_CIAO1_N2,Intensity_L_CIAO1_N2,Intensity_H_CIAO1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_CIAO1_N1,metacell_Intensity_L_CIAO1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
NAA15,0.659732108210797,0.0837952604146226,Q9BXJ9;A0A0B4J1W3;Q6N069,Q9BXJ9;A0A0B4J1W3,7;7;2,7;7;2,7;7;2,"N-alpha-acetyltransferase 15, NatA auxiliary subunit","sp|Q9BXJ9|NAA15_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1;tr|A0A0B4J1W3|A0A0B4J1W3_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1",3,7,7,7,3,2,4,4,3,2,4,4,3,2,4,4,9.9,9.9,9.9,101.27,866,866;865;864,0.0,16.457,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34288,0.96015,7.3851,11,7,Leave out requantified,0.33232,0.3416,0.13064,0.10434,1.0169,0.89877,0.1407,0.11055,8.6562,13.551,84.04,52.335,3,2,3,3,1,0,3,3,Median,Median,Median,Median,4.5,3.3,5.7,5.0,410050000,340710000,69338000,89073000,66212000,22862000,82780000,61555000,21225000,112740000,100000000,12739000,125450000,112940000,12512000,,,,141,798;1150;2578;10724;12526;16169;16735,True;True;True;True;True;True;True,962;1423;3164;13110;15214;19591;20249,2310;3372;7504;7505;30245;35053;35054;45483;45484;46940;46941;46942;46943,3899;5677;12705;12706;49514;57332;57333;75003;77278;77279;77280;77281;77282,3899;5677;12705;49514;57333;75003;77280,,,,,-1;-1;-1,protein_142,quanti,quanti,quanti,quanti
SRSF7,2.78934000130729,0.000501998031394561,Q16629;A0A0B4J1Z1;C9JAB2,Q16629;A0A0B4J1Z1;C9JAB2,5;5;5,5;5;5,5;5;5,Serine/arginine-rich splicing factor 7,sp|Q16629|SRSF7_HUMAN Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN Serine/arginine-rich-splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|C9JAB2|C9JAB2_HUMAN Serine/arginine-,3,5,5,5,1,1,3,5,1,1,3,5,1,1,3,5,20.2,20.2,20.2,27.366,238,238;137;235,0.0,80.059,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.15022,0.17438,111.04,12,9,Median,0.21037,0.34509,0.07382,0.14326,0.77145,1.0022,0.11017,0.15918,,,88.488,105.23,1,1,4,6,0,1,3,5,Median,Median,Median,Median,3.8,7.1,14.7,20.2,1302100000,1178000000,124040000,94768000,76237000,18531000,88730000,66263000,22467000,542590000,514190000,28397000,575970000,521330000,54645000,,,,143,559;4792;14806;15693;16063,True;True;True;True;True,663;664;5901;17891;18998;19470,1553;1554;1555;1556;1557;13632;41386;41387;44087;45191;45192;45193,2611;2612;2613;2614;2615;2616;2617;2618;2619;2620;2621;2622;2623;22604;68178;72692;74528;74529;74530;74531,2614;22604;68178;72692;74529,54,,70,,-1;-1;-1,protein_144,quanti,quanti,quanti,quanti
DAD1,20.2562085631508,4.77159618504957e-08,P61803;F5H895;A0A0B4J239;F5GXX5,P61803;F5H895;A0A0B4J239;F5GXX5,2;2;2;2,2;2;2;2,2;2;2;2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,sp|P61803|DAD1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens OX=9606 GN=DAD1 PE=1 SV=3;tr|F5H895|F5H895_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens OX,4,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,19.5,19.5,19.5,12.497,113,113;65;78;85,0.0,5.3565,,,By MS/MS,By MS/MS,0.29834,0.31195,24.707,3,3,Median,,,0.35011,0.25862,,,0.36712,0.2661,,,23.033,,0,0,2,1,0,0,2,1,Median,Median,Median,Median,0.0,0.0,19.5,8.8,80088000,59913000,20175000,0,0,0,0,0,0,49195000,33550000,15646000,30893000,26364000,4529000,,,,146,3798;12167,True;True,4639;14806,10720;34063;34064,17793;55762;55763,17793;55763,,,,,-1;-1;-1;-1,protein_147,quanti,quanti,imputed MEC,imputed MEC
TCEB2,-1.72450006702538,0.050332935823432,Q15370;A0A0B4J296;B8ZZU8;I3L0M9,Q15370;A0A0B4J296,3;3;1;1,3;3;1;1,3;3;1;1,Transcription elongation factor B polypeptide 2,sp|Q15370|ELOB_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1;tr|A0A0B4J296|A0A0B4J296_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1,4,3,3,3,3,3,1,2,3,3,1,2,3,3,1,2,13.6,13.6,13.6,13.133,118,118;66;113;140,0.0,4.2907,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.84442,1.7998,34.496,7,1,Leave out requantified,0.72711,0.96665,,0.047513,1.8079,1.7918,,0.054525,34.821,36.231,,,3,3,0,1,0,0,0,1,Leave out requantified,Leave out requantified,Median,Median,13.6,13.6,6.8,12.7,242660000,144770000,97894000,79853000,45944000,33909000,124290000,60794000,63501000,10207000,10207000,0,28307000,27822000,484720,,,,147,6920;9963;9964,True;True;True,8543;12232;12233,19730;19731;19732;28220;28221;28222;28223;28224;28225,32647;32648;32649;32650;32651;46247;46248;46249;46250;46251;46252;46253;46254;46255;46256;46257;46258,32649;46252;46253,,,,,-1;-1;-1;-1,protein_148,quanti,quanti,quanti,quanti
TPT1,1.78216326045541,0.00274174813363046,P13693;Q5W0H4;A0A0B4J2C3;J3KPG2;E9PJF7;Q56UQ5;Q9HAU6;H0YCX0,P13693;Q5W0H4;A0A0B4J2C3;J3KPG2;E9PJF7,9;9;9;5;5;2;1;1,9;9;9;5;5;2;1;1,9;9;9;5;5;2;1;1,Translationally-controlled tumor protein,sp|P13693|TCTP_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;tr|Q5W0H4|Q5W0H4_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;tr|A0A0B4J2C3|A0A0B4J2C3_HUMAN Translationally,8,9,9,9,6,7,6,3,6,7,6,3,6,7,6,3,35.5,35.5,35.5,19.595,172,172;188;197;160;162;140;139;77,0.0,82.773,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28564,0.73502,30.965,28,18,Leave out requantified,0.3009,0.23706,0.097026,0.044247,1.0034,0.61641,0.13534,0.086105,13.063,14.931,96.773,34.769,6,9,8,5,2,4,8,4,Leave out requantified,Leave out requantified,Median,Median,31.4,27.3,32.6,19.8,3530300000,3180900000,349400000,474330000,357050000,117270000,427140000,330880000,96259000,1285800000,1201500000,84353000,1343000000,1291500000,51510000,,,,148,2538;2539;2998;5531;6669;10162;10163;15201;16491,True;True;True;True;True;True;True;True;True,3118;3119;3120;3677;6858;8253;12450;12451;18401;18402;19958;19959,7400;7401;7402;7403;7404;7405;7406;7407;7408;8619;8620;8621;15837;15838;19074;19075;19076;19077;28726;28727;28728;28729;28730;42648;42649;42650;42651;42652;46304;46305,12554;12555;12556;12557;12558;12559;12560;12561;12562;12563;12564;12565;12566;12567;12568;14456;14457;14458;14459;14460;26169;26170;31604;31605;31606;31607;31608;31609;31610;47095;47096;47097;47098;47099;47100;47101;47102;70289;70290;70291;70292;70293;70294;70295;70296;70297;70298;76252;76253,12561;12568;14458;26169;31605;47097;47101;70298;76252,56,,112,,-1;-1;-1;-1;-1;-1;-1;-1,protein_149,quanti,quanti,quanti,quanti
SET;SETSIP,0.421457972239104,0.385693964986609,Q01105;A0A0C4DFV9;P0DME0;A0A087X027,Q01105;A0A0C4DFV9;P0DME0;A0A087X027,11;11;8;8,11;11;8;8,11;11;8;8,Protein SET;Protein SETSIP,sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=1;sp|P0DME0|SETLP_HUMAN Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1;tr|A0A087X027|A0A0,4,11,11,11,6,5,8,6,6,5,8,6,6,5,8,6,32.1,32.1,32.1,33.488,290,290;266;302;292,0.0,31.094,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32485,0.97995,31.367,29,18,Leave out requantified,0.34135,0.33224,0.050782,0.056808,1.1675,0.96544,0.086601,0.078827,32.513,17.217,60.556,138.7,7,6,9,7,1,1,9,7,Leave out requantified,Leave out requantified,Median,Median,22.4,21.0,18.6,13.8,2976500000,2517300000,459120000,786840000,610460000,176380000,564040000,411390000,152660000,1054100000,990560000,63531000,571480000,504920000,66554000,,,,151,2910;2911;5899;6577;9238;9239;11673;12499;14821;14822;15431,True;True;True;True;True;True;True;True;True;True;True,3578;3579;3580;7331;8150;11372;11373;11374;14226;15182;17909;17910;18689,8433;8434;8435;8436;8437;8438;8439;8440;8441;8442;8443;16916;16917;18868;18869;26228;26229;26230;26231;26232;26233;26234;32772;32773;34968;41435;41436;43351;43352;43353;43354;43355,14164;14165;14166;14167;14168;14169;14170;14171;14172;14173;14174;14175;14176;14177;14178;14179;14180;14181;14182;14183;27982;27983;27984;27985;27986;27987;27988;31274;43011;43012;43013;43014;43015;43016;53669;53670;53671;57194;68248;68249;68250;71494;71495;71496;71497;71498;71499;71500,14169;14178;27986;31274;43013;43014;53670;57194;68248;68250;71496,57,,83,,-1;-1;-1;-1,protein_152,quanti,quanti,quanti,quanti
RPSA,0.378111798689531,0.153178776010751,P08865;C9J9K3;A0A0C4DG17;F8WD59,P08865;C9J9K3;A0A0C4DG17;F8WD59,22;22;22;13,22;22;22;13,22;22;22;13,40S ribosomal protein SA,sp|P08865|RSSA_HUMAN 40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4;tr|C9J9K3|C9J9K3_HUMAN 40S ribosomal protein SA (Fragment) OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=8;tr|A0A0C4DG17|A0A0C4DG17_HUMAN 40S ribosomal protein SA OS=Homo sap,4,22,22,22,20,19,17,14,20,19,17,14,20,19,17,14,68.8,68.8,68.8,32.854,295,295;263;300;116,0.0,287.81,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2336,0.70135,12.41,107,66,Leave out requantified,0.22536,0.23431,0.070425,0.073094,0.78441,0.67818,0.084309,0.098037,21.025,12.24,82.661,106.83,27,26,30,24,8,4,30,24,Leave out requantified,Leave out requantified,Median,Median,68.8,68.8,68.5,55.9,18133000000,16028000000,2104900000,3749400000,3062200000,687220000,4654900000,3696900000,958040000,5335000000,5133300000,201620000,4393900000,4135900000,258040000,,,,153,324;913;1942;2994;3440;3441;3786;3787;4102;4256;7503;7504;8887;8888;12050;12227;12228;12397;12398;14501;16836;16837,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,386;1108;1109;2393;2394;2395;3673;4208;4209;4210;4625;4626;4991;4992;5185;5186;9279;9280;9281;9282;9283;10965;10966;10967;14665;14870;14871;14872;15064;15065;15066;15067;17531;17532;17533;20364;20365;20366;20367,912;913;914;915;2653;2654;2655;2656;2657;2658;2659;2660;2661;2662;2663;2664;2665;5800;5801;5802;5803;5804;5805;5806;8612;8613;8614;8615;9733;9734;9735;9736;9737;9738;9739;9740;9741;9742;10690;10691;10692;10693;10694;10695;11525;11526;11527;11528;11529;11963;11964;11965;11966;11967;11968;21361;21362;21363;21364;21365;21366;21367;21368;21369;21370;21371;21372;21373;21374;25352;25353;25354;25355;25356;25357;33733;34214;34215;34216;34217;34218;34219;34220;34221;34222;34223;34660;34661;34662;34663;34664;34665;34666;34667;34668;34669;34670;40557;40558;40559;40560;40561;40562;40563;47204;47205;47206;47207;47208;47209;47210;47211;47212;47213;47214;47215,1603;1604;1605;1606;4509;4510;4511;4512;4513;4514;4515;4516;4517;4518;4519;4520;4521;4522;4523;4524;4525;4526;4527;4528;4529;4530;4531;4532;9936;9937;9938;9939;9940;9941;9942;9943;9944;9945;9946;9947;9948;9949;9950;9951;9952;9953;9954;14444;14445;14446;14447;14448;14449;14450;14451;14452;16174;16175;16176;16177;16178;16179;16180;16181;16182;16183;16184;16185;16186;16187;16188;16189;16190;16191;16192;16193;16194;16195;16196;16197;16198;16199;16200;16201;17743;17744;17745;17746;17747;17748;17749;17750;17751;19099;19100;19101;19102;19103;19104;19105;19106;19107;19108;19109;19110;19111;19112;19113;19114;19115;19868;19869;19870;19871;19872;19873;19874;19875;19876;19877;19878;19879;19880;19881;19882;19883;19884;19885;35337;35338;35339;35340;35341;35342;35343;35344;35345;35346;35347;35348;35349;35350;35351;35352;35353;35354;41745;41746;41747;41748;41749;41750;41751;41752;41753;41754;41755;41756;41757;41758;41759;55204;56024;56025;56026;56027;56028;56029;56030;56031;56032;56033;56034;56035;56036;56037;56038;56039;56040;56041;56042;56688;56689;56690;56691;56692;56693;56694;56695;56696;56697;56698;56699;56700;56701;56702;66738;66739;66740;66741;66742;66743;66744;66745;66746;66747;66748;66749;77695;77696;77697;77698;77699;77700;77701;77702;77703;77704;77705;77706;77707;77708;77709;77710;77711;77712;77713;77714;77715;77716;77717;77718;77719,1605;4522;9947;14450;16178;16200;17744;17751;19112;19877;35337;35345;41755;41757;55204;56025;56037;56688;56694;66738;77695;77715,58;59;60;61;62;63,8,11;17;42;52;57;89,10,-1;-1;-1;-1,protein_154,quanti,quanti,quanti,quanti
DDX46,-22.4020249934129,6.2870817688376e-08,Q7L014;A0A0C4DG89;D6RJA6,Q7L014;A0A0C4DG89,7;7;1,7;7;1,7;7;1,Probable ATP-dependent RNA helicase DDX46,sp|Q7L014|DDX46_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2;tr|A0A0C4DG89|A0A0C4DG89_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=1,3,7,7,7,5,6,0,0,5,6,0,0,5,6,0,0,9.1,9.1,9.1,117.36,1031,1031;1032;471,0.0,11.435,By MS/MS,By MS/MS,,,0.35559,0.86633,22.389,13,3,Leave out requantified,0.3351,0.37305,,,0.95009,0.91461,,,22.002,25.494,,,5,8,0,0,1,2,0,0,Leave out requantified,Leave out requantified,Median,Median,6.1,7.5,0.0,0.0,380610000,258960000,121650000,135210000,100180000,35022000,245400000,158780000,86623000,0,0,0,0,0,0,,,,155,683;4239;4577;6427;6915;8866;10153,True;True;True;True;True;True;True,811;5165;5606;7973;8538;10942;12440,1921;11930;12920;12921;18463;18464;18465;18466;19720;25302;25303;28701;28702,3238;19823;21489;21490;30619;30620;30621;30622;32634;41682;41683;47052;47053;47054;47055;47056,3238;19823;21489;30622;32634;41683;47053,,,,,-1;-1;-1,protein_156,imputed MEC,imputed MEC,quanti,quanti
CHD4,-0.220352403202227,0.522809446560648,Q14839;A0A2R8YFD8;A0A0C4DGG9;A0A2R8Y7M9;A0A2R8Y7I0;A0A2R8YDW2;A0A2R8Y4X2;A0A2R8YD40;A0A2R8YDJ9;A0A2R8Y521;A0A2R8Y212;F5GWX5;A0A2R8Y425;A0A2R8Y5J0;A0A2R8YFK9;A0A2U3TZM0;A0A2R8YE38;A0A2R8Y5M9;A0A2R8Y8C1;A0A2R8YER1;A0A2R8Y445,Q14839;A0A2R8YFD8;A0A0C4DGG9;A0A2R8Y7M9;A0A2R8Y7I0;A0A2R8YDW2;A0A2R8Y4X2;A0A2R8YD40;A0A2R8YDJ9;A0A2R8Y521;A0A2R8Y212;F5GWX5;A0A2R8Y425;A0A2R8Y5J0;A0A2R8YFK9;A0A2U3TZM0;A0A2R8YE38;A0A2R8Y5M9;A0A2R8Y8C1;A0A2R8YER1;A0A2R8Y445,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1,Chromodomain-helicase-DNA-binding protein 4,sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2;tr|A0A2R8YFD8|A0A2R8YFD8_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=1;tr|A0A0C4DGG9|A0A0C4DGG9_HUMAN C,21,4,4,2,3,4,3,2,3,4,3,2,1,2,1,1,2.6,2.6,1.5,218.0,1912,1912;1903;1937;560;605;1215;1262;1484;1554;1920;1914;1905;1889;1892;1899;1902;458;554;1669;1645;1671,0.0,8.6393,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.1463,2.7152,11.173,11,6,Leave out requantified,0.94952,1.2315,0.61606,0.37833,2.794,2.7284,0.73199,0.42154,6.1062,13.304,127.23,153.58,3,4,2,2,1,1,2,2,Median,Leave out requantified,Median,Median,1.5,2.6,1.5,1.1,359340000,161780000,197560000,61658000,31335000,30324000,138370000,54045000,84325000,106020000,46805000,59212000,53296000,29599000,23697000,,,,158,268;2126;6125;14949,True;True;True;True,320;2618;7597;18062,725;6289;6290;6291;17506;17507;17508;17509;41815;41816;41817;41818,1237;10746;10747;10748;28946;28947;28948;28949;28950;28951;68885;68886;68887;68888;68889;68890;68891;68892;68893,1237;10746;28946;68885,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_159,quanti,quanti,quanti,quanti
CAPNS1,0.120486248186367,0.669021218497409,P04632;A0A0C4DGQ5;K7EIV0;A0A075B7C0;U3KQE2;K7EM73;K7ELJ7;K7EKD8;U3KPR7;K7ES78;K7EMQ1,P04632;A0A0C4DGQ5;K7EIV0;A0A075B7C0;U3KQE2;K7EM73;K7ELJ7;K7EKD8;U3KPR7,9;9;8;8;7;7;7;6;5;1;1,9;9;8;8;7;7;7;6;5;1;1,9;9;8;8;7;7;7;6;5;1;1,Calpain small subunit 1,sp|P04632|CPNS1_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|A0A0C4DGQ5|A0A0C4DGQ5_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7EIV0|K7EIV0_HUMAN Calpain small subunit 1 (Fragment) OS=Homo s,11,9,9,9,3,5,5,6,3,5,5,6,3,5,5,6,36.9,36.9,36.9,28.315,268,268;322;196;197;161;163;278;238;100;72;94,0.0,20.712,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33308,0.90096,15.396,19,12,Leave out requantified,0.27062,0.3689,0.077277,0.1231,0.92576,1.0428,0.081575,0.12644,17.018,15.058,105.16,42.032,4,5,5,5,1,1,5,5,Median,Leave out requantified,Median,Median,10.4,26.5,23.9,29.9,749360000,619440000,129920000,149970000,113360000,36612000,249030000,179240000,69786000,180450000,170100000,10355000,169900000,156740000,13163000,,,,159,6345;10074;12944;12945;13632;13839;13840;15985;16652,True;True;True;True;True;True;True;True;True,7873;12352;12353;15710;15711;16483;16730;16731;19372;20145,18233;18234;18235;28497;28498;28499;28500;28501;36245;36246;36247;38069;38673;38674;38675;38676;38677;44964;44965;46699;46700,30247;30248;30249;30250;30251;30252;46707;46708;46709;46710;46711;46712;46713;46714;59294;59295;59296;62369;63424;63425;63426;63427;63428;63429;74186;74187;76886;76887;76888,30252;46708;59294;59296;62369;63424;63429;74187;76888,68,,9,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_160,quanti,quanti,quanti,quanti
DDOST,-0.331723019155827,0.300926505643679,P39656;A0A0C4DGS1;U3KQ84,P39656;A0A0C4DGS1;U3KQ84,9;9;6,9;9;6,9;9;6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4;tr|A0A0C4DGS1|A0A0C4DGS1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=H,3,9,9,9,6,5,5,6,6,5,5,6,6,5,5,6,19.1,19.1,19.1,50.8,456,456;439;154,0.0,45.72,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37378,1.1058,15.671,23,14,Leave out requantified,0.3193,0.43811,0.23339,0.10259,1.0953,1.1564,0.28485,0.11956,10.793,20.615,116.53,113.8,6,5,5,7,2,1,4,7,Leave out requantified,Leave out requantified,Median,Median,12.5,11.6,10.5,12.7,1069100000,821120000,247950000,329810000,242510000,87299000,295430000,204980000,90450000,230690000,194040000,36649000,213150000,179590000,33557000,,,,160,3333;4421;11198;12793;13193;13543;14072;16228;16792,True;True;True;True;True;True;True;True;True,4081;5404;13655;15535;15990;15991;16384;17030;17031;19657;20314,9483;12434;12435;12436;31498;31499;31500;31501;35815;35816;36894;36895;36896;36897;37828;37829;39386;39387;39388;45624;45625;45626;45627;47097,15787;15788;20684;20685;20686;51689;51690;51691;51692;51693;51694;51695;51696;51697;51698;51699;58567;58568;60344;60345;60346;60347;60348;61932;61933;64802;64803;64804;64805;75199;75200;75201;75202;75203;75204;75205;77537;77538,15788;20686;51694;58567;60346;61933;64803;75202;77538,,,,,-1;-1;-1,protein_161,quanti,quanti,quanti,quanti
NBEA,18.8664301726518,2.29783789664789e-06,Q8NFP9;Q5T321;A0A0D9SF28;F5GXV7,Q8NFP9;Q5T321;A0A0D9SF28;F5GXV7,3;3;3;3,3;3;3;3,3;3;3;3,Neurobeachin,sp|Q8NFP9|NBEA_HUMAN Neurobeachin OS=Homo sapiens OX=9606 GN=NBEA PE=1 SV=3;tr|Q5T321|Q5T321_HUMAN Neurobeachin OS=Homo sapiens OX=9606 GN=NBEA PE=1 SV=1;tr|A0A0D9SF28|A0A0D9SF28_HUMAN Neurobeachin OS=Homo sapiens OX=9606 GN=NBEA PE=1 SV=1;tr|F5GXV7|F5GXV7,4,3,3,3,0,1,1,1,0,1,1,1,0,1,1,1,2.3,2.3,2.3,327.82,2946,2946;2943;2946;2947,0.021318,1.3507,,By MS/MS,By MS/MS,By MS/MS,0.20931,0.23266,20.121,2,2,Median,,,0.24257,0.18061,,,0.26823,0.2018,,,,,0,0,1,1,0,0,1,1,Median,Median,Median,Median,0.0,1.6,0.2,0.5,28525000,24367000,4157600,0,0,0,0,0,0,9641000,7754000,1887000,18884000,16613000,2270600,,,,169,8472;8607;9893,True;True;True,10467;10640;12142,24179;24600;27994,39892;40526;45882,39892;40526;45882,,,,,-1;-1;-1;-1,protein_170,quanti,quanti,imputed MEC,imputed MEC
