DCAF6_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
GPS1,-0.600839845,0.0366992385726163,0,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4;J3QQX0,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,4;4;4;4;4;3;3;3;3;3;3;3;3;3;1,COP9 signalosome complex subunit 1,GPS1,sp|Q13098|CSN1_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4;tr|C9JFE4|C9JFE4_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=2;tr|A0A096LP07|A0A096LP07_HUMAN COP9 signalosome complex su,4,4,8.4,491
WDR18,-1.0096174158,0.216790706771926,0,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0;U3KQK3,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0,3;3;3;2;1,3;3;3;2;1,3;3;3;2;1,WD repeat-containing protein 18,WDR18,sp|Q9BV38|WDR18_HUMAN WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2;tr|U3KQC1|U3KQC1_HUMAN WD repeat-containing protein 18 (Fragment) OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=1;tr|A0A0A0MQU0|A0A0A0MQU0_HUMAN WD repeat-containin,3,3,6.7,432
HNRNPUL1,-0.7410626361,0.0102872399952873,0,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0;M0QYM5;M0QYI8;M0R0K8,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0,12;12;12;12;6;2;2;1,12;12;12;12;6;2;2;1,12;12;12;12;6;2;2;1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1,sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2;tr|M0R3F1|M0R3F1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1,12,12,15.9,856
NOLC1,0.2173731979,0.209145486258909,0,Q14978;A0A0A0MRM9;S4R349;S4R402;S4R3C2,Q14978;A0A0A0MRM9,15;15;4;3;1,15;15;4;3;1,12;12;1;0;1,Nucleolar and coiled-body phosphoprotein 1,NOLC1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1,15,12,19.6,699
LAMA3,-2.1233743232,0.0116671867942924,1,Q16787;K7EIP4;A0A0A0MTS5;A0A0A6YYF2;A0A3B3ITG1;A0A0A0MSA0,Q16787;K7EIP4;A0A0A0MTS5;A0A0A6YYF2;A0A3B3ITG1;A0A0A0MSA0,3;3;3;3;3;3,3;3;3;3;3;3,3;3;3;3;3;3,Laminin subunit alpha-3,LAMA3,"sp|Q16787|LAMA3_HUMAN Laminin subunit alpha-3 OS=Homo sapiens OX=9606 GN=LAMA3 PE=1 SV=2;tr|K7EIP4|K7EIP4_HUMAN Laminin subunit alpha-3 (Fragment) OS=Homo sapiens OX=9606 GN=LAMA3 PE=1 SV=2;tr|A0A0A0MTS5|A0A0A0MTS5_HUMAN HCG1811249, isoform CRA_f OS=Homo s",3,3,1.7,3333
,-0.2391223852,0.429591113036421,0,A0A0A0MSA4,A0A0A0MSA4,7,5,1,,,tr|A0A0A0MSA4|A0A0A0MSA4_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=1,7,1,8.4,1046
HADH,-0.1126624751,0.675270608756771,0,Q16836;A0A1W2PQV5;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQ78;A0A1W2PQC2;A0A1W2PRT2,Q16836;A0A1W2PQV5;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQ78,3;3;3;3;3;3;2;1;1,3;3;3;3;3;3;2;1;1,3;3;3;3;3;3;2;1;1,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,"sp|Q16836|HCDH_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3;tr|A0A1W2PQV5|A0A1W2PQV5_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=1;tr|A0A1W2PNM1|A0",3,3,14,314
PRDX1,0.048126461,0.696872849631414,0,Q06830;A0A0A0MSI0;A0A0A0MRQ5,Q06830;A0A0A0MSI0,23;23;7,23;23;7,20;20;4,Peroxiredoxin-1,PRDX1,sp|Q06830|PRDX1_HUMAN Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1;tr|A0A0A0MSI0|A0A0A0MSI0_HUMAN Peroxiredoxin-1 (Fragment) OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,23,20,65.3,199
DDX42,0.2331720415,0.414346937055833,0,Q86XP3;A0A0A0MSJ0;J3KRE3,Q86XP3;A0A0A0MSJ0,8;8;1,8;8;1,8;8;1,ATP-dependent RNA helicase DDX42,DDX42,sp|Q86XP3|DDX42_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1;tr|A0A0A0MSJ0|A0A0A0MSJ0_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,8,8,12.5,938
PITPNB,-0.4811512033,0.132515171466108,0,P48739;A0A0A0MSW4;B3KYB6;B3KYB7;I3L3W1;I3L2X8;I3L471;I3L4C0;I3L4U7;I3L459,P48739;A0A0A0MSW4;B3KYB6;B3KYB7,4;4;3;3;1;1;1;1;1;1,4;4;3;3;1;1;1;1;1;1,3;3;2;2;0;0;0;0;0;0,Phosphatidylinositol transfer protein beta isoform,PITPNB,sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2;tr|A0A0A0MSW4|A0A0A0MSW4_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=1;tr|B3KYB6|B3K,4,3,10.7,271
SMARCA4,0.2934996066,0.508256316754585,0,P51532;Q9HBD4;A0A0A0MT49;A0A2R8Y4P4;A0A2R8Y7S2;A0A2R8YGP5;A0A2R8YGG3;A0A2R8YCY3;A0A2R8YG32;A0A2R8Y440;A0A2R8Y7F3;A0A2R8Y6N0;A0A2R8Y7Y7;A0A2R8Y526;A0A2R8YF58;A0A2R8Y4C5;A0A2R8Y6V2;A0A2R8YDA1;A0A2R8YF80;P51531;A0A0U1RQZ9;A0A2R8Y523;A0A2R8YFV8,P51532;Q9HBD4;A0A0A0MT49;A0A2R8Y4P4;A0A2R8Y7S2;A0A2R8YGP5;A0A2R8YGG3;A0A2R8YCY3;A0A2R8YG32;A0A2R8Y440;A0A2R8Y7F3;A0A2R8Y6N0;A0A2R8Y7Y7;A0A2R8Y526;A0A2R8YF58;A0A2R8Y4C5;A0A2R8Y6V2;A0A2R8YDA1;A0A2R8YF80,4;4;4;4;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,4;4;4;4;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,Transcription activator BRG1,SMARCA4,sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2;tr|Q9HBD4|Q9HBD4_HUMAN SMARCA4 isoform 2 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=1;tr|A0A0A0MT49|A0A0A0MT49_HUMAN Transcription activator BRG1 OS=Homo sapien,4,3,3,1647
IVD,-0.1008673286,0.525238062983302,0,P26440;A0A0A0MT83;A0A0S2Z4K7;H0YLC3;H7C4G6;H0YKV0;H0YN10;A0A087WVD3,P26440;A0A0A0MT83;A0A0S2Z4K7;H0YLC3;H7C4G6,8;8;7;5;4;2;2;1,8;8;7;5;4;2;2;1,8;8;7;5;4;2;2;1,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,"sp|P26440|IVD_HUMAN Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0A0MT83|A0A0A0MT83_HUMAN Isovaleryl-CoA dehydrogenase isoform 1 OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0S2Z4K7|A0A0S2Z4K7_HUMAN Isovalery",8,8,22.5,426
ILK,-0.1825388848,0.49128621057459,0,Q13418;A0A0A0MTH3;E9PQ52;A0A087WW45;A0A087WWY6,Q13418;A0A0A0MTH3,3;3;1;1;1,3;3;1;1;1,3;3;1;1;1,Integrin-linked protein kinase,ILK,sp|Q13418|ILK_HUMAN Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2;tr|A0A0A0MTH3|A0A0A0MTH3_HUMAN Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=1,3,3,7.3,452
ELOVL5,-0.9775261747,0.00140888398963954,0,Q9NYP7;A0A0A0MTI6,Q9NYP7;A0A0A0MTI6,2;2,2;2,2;2,Elongation of very long chain fatty acids protein 5;Elongation of very long chain fatty acids protein,ELOVL5,sp|Q9NYP7|ELOV5_HUMAN Elongation of very long chain fatty acids protein 5 OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1;tr|A0A0A0MTI6|A0A0A0MTI6_HUMAN Elongation of very long chain fatty acids protein OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1,2,2,12,299
FKBP8,-0.5140303187,0.128256727069434,0,Q14318;U3KQI1;A0A0A0MTJ1;U3KQ64,Q14318;U3KQI1;A0A0A0MTJ1;U3KQ64,2;2;2;1,2;2;2;1,2;2;2;1,Peptidyl-prolyl cis-trans isomerase FKBP8,FKBP8,sp|Q14318|FKBP8_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens OX=9606 GN=FKBP8 PE=1 SV=2;tr|U3KQI1|U3KQI1_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP8 (Fragment) OS=Homo sapiens OX=9606 GN=FKBP8 PE=1 SV=1;tr|A0A0A0MTJ1|A0A0A0MTJ1_HUMAN,2,2,7.3,412
ADSL,0.5987290263,0.00382368948157208,0,P30566;A0A1B0GWJ0;A0A1B0GTJ7;A0A0A6YY92;A0A096LNY6;A0A096LNY5;A0A1B0GTG9;A0A1B0GWF8;B4DEP1;A0A1W2PRX2;A0A096LP72;A0A096LNY4;V9GY96;A0A096LP92;A0A096LP76;A0A096LPA2,P30566;A0A1B0GWJ0;A0A1B0GTJ7;A0A0A6YY92;A0A096LNY6;A0A096LNY5;A0A1B0GTG9;A0A1B0GWF8,6;6;6;6;4;3;3;3;2;2;2;2;1;1;1;1,6;6;6;6;4;3;3;3;2;2;2;2;1;1;1;1,6;6;6;6;4;3;3;3;2;2;2;2;1;1;1;1,Adenylosuccinate lyase,ADSL,sp|P30566|PUR8_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2;tr|A0A1B0GWJ0|A0A1B0GWJ0_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=1;tr|A0A1B0GTJ7|A0A1B0GTJ7_HUMAN Adenylosuccinate lyase OS=Homo sapiens OX=9,6,6,17.6,484
TMED7;TMED7-TICAM2,-0.0187550317,0.870774180252021,0,Q9Y3B3;A0A0A6YYA0,Q9Y3B3;A0A0A6YYA0,2;2,2;2,2;2,Transmembrane emp24 domain-containing protein 7,TMED7;TMED7-TICAM2,sp|Q9Y3B3|TMED7_HUMAN Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens OX=9606 GN=TMED7 PE=1 SV=2;tr|A0A0A6YYA0|A0A0A6YYA0_HUMAN Protein TMED7-TICAM2 OS=Homo sapiens OX=9606 GN=TMED7-TICAM2 PE=3 SV=1,2,2,10.3,224
NAA15,-0.2716704157,0.0643584060995464,0,Q9BXJ9;A0A0B4J1W3;Q6N069,Q9BXJ9;A0A0B4J1W3,3;3;1,3;3;1,3;3;1,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",NAA15,"sp|Q9BXJ9|NAA15_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1;tr|A0A0B4J1W3|A0A0B4J1W3_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1",3,3,3.6,866
SRSF7,-0.338057953,0.124303332572301,0,Q16629;A0A0B4J1Z1;C9JAB2,Q16629;A0A0B4J1Z1;C9JAB2,9;9;9,9;9;9,8;8;8,Serine/arginine-rich splicing factor 7,SRSF7,sp|Q16629|SRSF7_HUMAN Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN Serine/arginine-rich-splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|C9JAB2|C9JAB2_HUMAN Serine/arginine-,9,8,31.9,238
TCEB2,-0.0681561332,0.585818705717083,0,Q15370;A0A0B4J296;B8ZZU8;I3L0M9,Q15370;A0A0B4J296,3;3;1;1,3;3;1;1,3;3;1;1,Transcription elongation factor B polypeptide 2,TCEB2,sp|Q15370|ELOB_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1;tr|A0A0B4J296|A0A0B4J296_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1,3,3,13.6,118
TPT1,-0.0593296039,0.812518168705758,0,P13693;Q5W0H4;A0A0B4J2C3;J3KPG2;E9PJF7;Q56UQ5;Q9HAU6;H0YCX0,P13693;Q5W0H4;A0A0B4J2C3;J3KPG2;E9PJF7,10;10;10;6;6;3;1;1,10;10;10;6;6;3;1;1,10;10;10;6;6;3;1;1,Translationally-controlled tumor protein,TPT1,sp|P13693|TCTP_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;tr|Q5W0H4|Q5W0H4_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;tr|A0A0B4J2C3|A0A0B4J2C3_HUMAN Translationally,10,10,35.5,172
PWP2,-0.2122622238,0.118377747955083,0,Q15269;A0A0B4J2E5;C9J544,Q15269;A0A0B4J2E5,6;6;1,6;6;1,4;4;1,Periodic tryptophan protein 2 homolog,PWP2,sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2;tr|A0A0B4J2E5|A0A0B4J2E5_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC102724159 PE=1 SV=1,6,4,7.8,919
CYP51A1,0.2079988266,0.85291395971121,0,Q16850;A0A0C4DFL7;H7C0D0;C9IYR8;A0A3B3ITR4,Q16850;A0A0C4DFL7;H7C0D0,5;5;3;1;1,5;5;3;1;1,5;5;3;1;1,Lanosterol 14-alpha demethylase,CYP51A1,sp|Q16850|CP51A_HUMAN Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=3;tr|A0A0C4DFL7|A0A0C4DFL7_HUMAN Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=1;tr|H7C0D0|H7C0D0_HUMAN Lanosterol 14-alpha demeth,5,5,18.1,503
GSTZ1,1.4029219356,0.0463280010894543,1,O43708;G3V267;G3V5T0;A0A0C4DFM0;A0A0A0MR33;G3V3B9;G3V5U6,O43708;G3V267;G3V5T0;A0A0C4DFM0;A0A0A0MR33;G3V3B9,5;5;5;5;4;3;1,5;5;5;5;4;3;1,1;1;1;1;1;0;0,Maleylacetoacetate isomerase,GSTZ1,sp|O43708|MAAI_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=3;tr|G3V267|G3V267_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=1;tr|G3V5T0|G3V5T0_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens ,5,1,29.2,216
SET;SETSIP,-0.3182276543,0.0866110499296644,0,Q01105;A0A0C4DFV9;P0DME0;A0A087X027,Q01105;A0A0C4DFV9;P0DME0;A0A087X027,12;12;7;7,12;12;7;7,12;12;7;7,Protein SET;Protein SETSIP,SET;SETSIP,sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=1;sp|P0DME0|SETLP_HUMAN Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1;tr|A0A087X027|A0A0,12,12,32.1,290
RPSA,0.1671202093,0.249631887163965,0,P08865;C9J9K3;A0A0C4DG17;F8WD59,P08865;C9J9K3;A0A0C4DG17;F8WD59,23;23;23;13,23;23;23;13,23;23;23;13,40S ribosomal protein SA,RPSA,sp|P08865|RSSA_HUMAN 40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4;tr|C9J9K3|C9J9K3_HUMAN 40S ribosomal protein SA (Fragment) OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=8;tr|A0A0C4DG17|A0A0C4DG17_HUMAN 40S ribosomal protein SA OS=Homo sap,23,23,68.8,295
HTRA2,0.3281234741,0.0876398622572067,0,O43464;A0A0C4DG44,O43464;A0A0C4DG44,1;1,1;1,1;1,"Serine protease HTRA2, mitochondrial",HTRA2,"sp|O43464|HTRA2_HUMAN Serine protease HTRA2, mitochondrial OS=Homo sapiens OX=9606 GN=HTRA2 PE=1 SV=2;tr|A0A0C4DG44|A0A0C4DG44_HUMAN Serine protease HTRA2, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HTRA2 PE=1 SV=1",1,1,3.1,458
DDX46,0.6296575467,0.0116388784192132,0,Q7L014;A0A0C4DG89;D6RJA6;H0Y9U3,Q7L014;A0A0C4DG89,10;10;2;1,10;10;2;1,10;10;2;1,Probable ATP-dependent RNA helicase DDX46,DDX46,sp|Q7L014|DDX46_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2;tr|A0A0C4DG89|A0A0C4DG89_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=1,10,10,10.9,1031
ECI2,-1.1167435044,0.0382985895827515,1,O75521;A0A0C4DGA2;F1LLU7,O75521;A0A0C4DGA2;F1LLU7,2;2;1,2;2;1,2;2;1,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2,"sp|O75521|ECI2_HUMAN Enoyl-CoA delta isomerase 2 OS=Homo sapiens OX=9606 GN=ECI2 PE=1 SV=4;tr|A0A0C4DGA2|A0A0C4DGA2_HUMAN Enoyl-CoA delta isomerase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ECI2 PE=1 SV=1;tr|F1LLU7|F1LLU7_HUMAN Enoyl-CoA delta isomerase ",2,2,5.1,394
CHD4,-0.0869885654,0.468279904907559,0,Q14839;A0A2R8YD40;A0A2R8Y521;A0A2R8Y212;F5GWX5;A0A2R8YFD8;A0A2U3TZM0;A0A2R8YFK9;A0A2R8Y5J0;A0A2R8Y425;A0A2R8YDJ9;A0A0C4DGG9;A0A2R8Y4X2;A0A2R8YDW2;A0A2R8Y7I0;A0A2R8Y7M9;A0A2R8YER1;A0A2R8Y8C1;A0A2R8Y445;K7EMY3;A0A2R8Y5Z7;A0A2R8YE38;A0A2R8Y5M9;A0A2R8Y685;A0A2R8Y8B3;F6T542,Q14839;A0A2R8YD40;A0A2R8Y521;A0A2R8Y212;F5GWX5;A0A2R8YFD8;A0A2U3TZM0;A0A2R8YFK9;A0A2R8Y5J0;A0A2R8Y425;A0A2R8YDJ9;A0A0C4DGG9;A0A2R8Y4X2;A0A2R8YDW2;A0A2R8Y7I0;A0A2R8Y7M9;A0A2R8YER1;A0A2R8Y8C1;A0A2R8Y445,18;18;18;18;18;18;18;18;18;18;18;18;17;16;13;12;11;11;11;8;6;6;6;5;3;2,18;18;18;18;18;18;18;18;18;18;18;18;17;16;13;12;11;11;11;8;6;6;6;5;3;2,8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;2;2;2;0;1;1;1;1;1;0,Chromodomain-helicase-DNA-binding protein 4,CHD4,sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2;tr|A0A2R8YD40|A0A2R8YD40_HUMAN Chromodomain-helicase-DNA-binding protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=1;tr|A0A2R8Y521|A0A2R8Y,18,8,11.8,1912
CAPNS1,-0.1924168707,0.123627116734923,0,P04632;K7ELJ7;A0A0C4DGQ5;A0A075B7C0;U3KQE2;K7EM73;K7EIV0;K7EKD8;U3KPR7;K7ES78;K7EMQ1,P04632;K7ELJ7;A0A0C4DGQ5;A0A075B7C0;U3KQE2;K7EM73;K7EIV0;K7EKD8,8;8;8;7;6;6;6;4;2;1;1,8;8;8;7;6;6;6;4;2;1;1,8;8;8;7;6;6;6;4;2;1;1,Calpain small subunit 1,CAPNS1,sp|P04632|CPNS1_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|K7ELJ7|K7ELJ7_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|A0A0C4DGQ5|A0A0C4DGQ5_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9,8,8,42.2,268
DDOST,-0.1653888795,0.260808153078323,0,P39656;A0A0C4DGS1;U3KQ84,P39656;A0A0C4DGS1;U3KQ84,11;11;6,11;11;6,11;11;6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4;tr|A0A0C4DGS1|A0A0C4DGS1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=H,11,11,26.8,456
LAMTOR5,-1.1652112603,0.00801885590066143,1,O43504;R4GMU8;E9PLX3;A0A0C4DGV4,O43504;R4GMU8;E9PLX3;A0A0C4DGV4,1;1;1;1,1;1;1;1,1;1;1;1,Ragulator complex protein LAMTOR5,LAMTOR5,sp|O43504|LTOR5_HUMAN Ragulator complex protein LAMTOR5 OS=Homo sapiens OX=9606 GN=LAMTOR5 PE=1 SV=1;tr|R4GMU8|R4GMU8_HUMAN Ragulator complex protein LAMTOR5 OS=Homo sapiens OX=9606 GN=LAMTOR5 PE=1 SV=1;tr|E9PLX3|E9PLX3_HUMAN Ragulator complex protein LAMT,1,1,22,91
DDX3X;DDX3Y,-0.2885013516,0.107304543913654,0,O00571;A0A0D9SFB3;A0A2R8Y645;A0A2R8Y4A4;A0A2R8YFS5;A0A2U3TZJ9;A0A2R8YFR4;A0A2R8YCW1;A0A0D9SG12;A0A2R8YF78;A0A2R8Y5G6;A0A2R8Y7T2;A0A2R8YDT5;A0A0D9SF53;O15523;F6S8Q4;A0A2R8YDH3;A0A0J9YVQ7;A0A087WVZ1;C9J081;H0Y960;C9J8G5;D6RCM4;Q9NQI0;A0A2R8Y4D2,O00571;A0A0D9SFB3;A0A2R8Y645;A0A2R8Y4A4;A0A2R8YFS5;A0A2U3TZJ9;A0A2R8YFR4;A0A2R8YCW1;A0A0D9SG12;A0A2R8YF78;A0A2R8Y5G6;A0A2R8Y7T2;A0A2R8YDT5;A0A0D9SF53;O15523;F6S8Q4;A0A2R8YDH3,20;20;20;20;20;20;20;20;20;20;20;20;20;20;18;18;15;7;6;2;1;1;1;1;1,19;19;19;19;19;19;19;19;19;19;19;19;19;19;17;17;14;7;6;2;1;1;1;1;1,19;19;19;19;19;19;19;19;19;19;19;19;19;19;17;17;14;7;6;2;1;1;1;1;1,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;tr|A0A0D9SFB3|A0A0D9SFB3_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=1;tr|A0A2R8Y645|A0A2R8Y645_HUMAN ATP-dependent RNA he,20,19,28.9,662
SPTAN1,0.2180141768,0.368068868895218,0,Q13813;A0A0D9SGF6;A0A0D9SF54;A0A0D9SFF6;A0A1B0GTB7,Q13813;A0A0D9SGF6;A0A0D9SF54,39;39;38;3;2,39;39;38;3;2,39;39;38;3;2,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,"sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;tr|A0A0D9SF54|A0A0D9SF54_HUMAN Sp",39,39,19.5,2472
DIAPH1,0.7515251151,0.0051767451563781,0,O60610;A0A2R8Y5N1;A0A140T8Z0;A0A0G2JH68;H9KV28;B4E2I7,O60610;A0A2R8Y5N1;A0A140T8Z0;A0A0G2JH68;H9KV28,3;3;3;3;2;1,3;3;3;3;2;1,3;3;3;3;2;1,Protein diaphanous homolog 1,DIAPH1,sp|O60610|DIAP1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;tr|A0A2R8Y5N1|A0A2R8Y5N1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=1;tr|A0A140T8Z0|A0A140T8Z0_HUMAN Protein diaphanous homolog,3,3,3,1272
