Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WSB2-N1,Intensity WSB2-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
P04075;H3BQN4;J3KPS3;H3BR68;H3BMQ8;H3BUH7;H3BR04;H3BU78,P04075;H3BQN4;J3KPS3;H3BR68;H3BMQ8;H3BUH7;H3BR04;H3BU78,2;2;2;1;1;1;1;1,2;2;2;1;1;1;1;1,2;2;2;1;1;1;1;1,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,sp|P04075|ALDOA_HUMAN Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2;tr|H3BQN4|H3BQN4_HUMAN Fructose-bisphosphate aldolase OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=1;tr|J3KPS3|J3KPS3_HUMAN Fructose-bisphosphate aldolase OS=Homo,2,2,7.7,23.182014802598,22.3689561252755,4.51247618958678,4.42747165566269
Q8TCU4;A0A087WV20;A0A087WTU9;H7C1D9;A0A494BZW1,Q8TCU4;A0A087WV20;A0A087WTU9,51;51;51;22;7,51;51;51;22;7,51;51;51;22;7,Alstrom syndrome protein 1,ALMS1,sp|Q8TCU4|ALMS1_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=4;tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;tr|A0A087WTU9|A0A087WTU9_HUMAN Alstrom syndrome protein 1 OS=Ho,51,51,21.0,25.0049351910403,24.0826967636701,30.1365064538306,29.3220385035244
Q86V81;E9PB61,Q86V81;E9PB61,3;3,3;3,3;3,THO complex subunit 4,ALYREF,sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3;tr|E9PB61|E9PB61_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1,3,3,17.1,4.25717907948666,4.09415654932906,25.6566825678769,24.9272339790603
Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1;H0YF16,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,10,10,13.7,4.25717907948666,4.09415654932906,27.355146740306,27.163653668047
Q9H1A4;H0Y564;F8WAS1;A0A2R8YF63,Q9H1A4;H0Y564,12;7;1;1,12;7;1;1,12;7;1;1,Anaphase-promoting complex subunit 1,ANAPC1,sp|Q9H1A4|APC1_HUMAN Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1;tr|H0Y564|H0Y564_HUMAN Anaphase-promoting complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1,12,12,7.8,4.25717907948666,4.09415654932906,26.9828318992247,26.0072937181229
Q9UJX5;D6RAP6;D6RFM7,Q9UJX5,13;3;2,13;3;2,13;3;2,Anaphase-promoting complex subunit 4,ANAPC4,sp|Q9UJX5|APC4_HUMAN Anaphase-promoting complex subunit 4 OS=Homo sapiens OX=9606 GN=ANAPC4 PE=1 SV=2,13,13,23.9,20.5346904391642,21.5481193400838,27.4883811401795,27.519608540408
Q8IWZ3;H0Y4P6;A0A0A0MQZ8;H0Y7Y3;H0Y785;H0Y472;H7C2E1,Q8IWZ3,35;8;6;6;6;6;1,21;7;6;6;6;6;1,4;4;4;4;3;3;1,Ankyrin repeat and KH domain-containing protein 1,ANKHD1,sp|Q8IWZ3|ANKH1_HUMAN Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,35,4,21.0,4.25717907948666,4.09415654932906,28.7859383108994,28.2419995826779
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,17.0,4.25717907948666,4.09415654932906,22.7074829937707,24.4367608419954
Q86XL3;F5H1D4,Q86XL3;F5H1D4,3;2,3;2,3;2,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4;tr|F5H1D4|F5H1D4_HUMAN Ankyrin repeat and LEM domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=1,3,3,5.1,4.25717907948666,4.09415654932906,24.3336085240731,22.8641211411291
O75179;H0YM23;H0YLQ3;A0A1W2PQ15,O75179;H0YM23,45;43;17;17,45;43;17;17,31;29;11;9,Ankyrin repeat domain-containing protein 17,ANKRD17,sp|O75179|ANR17_HUMAN Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3;tr|H0YM23|H0YM23_HUMAN Ankyrin repeat domain-containing protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=1,45,31,23.1,25.3869944320711,25.0964754959999,31.4862053821408,30.2530457515525
Q8NF67,Q8NF67,2,2,2,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,ANKRD20A12P,sp|Q8NF67|A2012_HUMAN Putative ankyrin repeat domain-containing protein 20A12 pseudogene OS=Homo sapiens OX=9606 GN=ANKRD20A12P PE=5 SV=3,2,2,5.3,24.7680613432836,23.3934899661149,26.3755895383239,24.2324244405929
O15084;B4DIW9,O15084;B4DIW9,6;5,6;5,6;5,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,sp|O15084|ANR28_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5;tr|B4DIW9|B4DIW9_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens,6,6,8.5,4.25717907948666,4.09415654932906,26.526266396648,25.599347181431
Q6AI12,Q6AI12,2,2,2,Ankyrin repeat domain-containing protein 40,ANKRD40,sp|Q6AI12|ANR40_HUMAN Ankyrin repeat domain-containing protein 40 OS=Homo sapiens OX=9606 GN=ANKRD40 PE=1 SV=2,2,2,4.9,4.25717907948666,4.09415654932906,23.4332624725697,23.6941394728747
Q8NB46,Q8NB46,5,5,5,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52,sp|Q8NB46|ANR52_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Homo sapiens OX=9606 GN=ANKRD52 PE=1 SV=3,5,5,7.2,4.25717907948666,4.09415654932906,25.5926910715236,25.0229722186525
Q92625;A0A3B3ISP1;A0A3B3ITU5,Q92625;A0A3B3ISP1,22;21;8,22;21;8,22;21;8,Ankyrin repeat and SAM domain-containing protein 1A,ANKS1A,sp|Q92625|ANS1A_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=4;tr|A0A3B3ISP1|A0A3B3ISP1_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=1,22,22,28.6,4.25717907948666,4.09415654932906,29.0798417616539,29.0683546657666
Q9NQW6;H7C1K5;H7C3S1;H7C1C2;C9JJT6,Q9NQW6,31;8;7;6;3,31;8;7;6;3,31;8;7;6;3,Actin-binding protein anillin,ANLN,sp|Q9NQW6|ANLN_HUMAN Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,31,31,33.6,4.25717907948666,4.09415654932906,30.0521952608555,29.8281734397463
Q9BTT0;E9PPH5;Q5TB19;E9PLC4,Q9BTT0;E9PPH5,3;2;1;1,3;2;1;1,3;2;1;1,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1;tr|E9PPH5|E9PPH5_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens OX=9606 GN=ANP32,3,3,12.3,4.25717907948666,4.09415654932906,26.6500671970334,25.5374184365192
P04083;Q5T3N1;Q5T3N0,P04083;Q5T3N1,16;8;5,16;8;5,16;8;5,Annexin A1;Annexin,ANXA1,sp|P04083|ANXA1_HUMAN Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2;tr|Q5T3N1|Q5T3N1_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=1,16,16,51.4,26.2644733833945,26.3919998914849,29.6631252011423,29.5700587869993
P07355;H0YN42;H0YMU9;H0YMD0;A6NMY6;H0YM50;H0YKS4;H0YNP5;H0YN28;H0YL33;H0YMM1;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YMW4;H0YKL9;H0YNA0;H0YKV8;H0YMD9;H0YN52;H0YNB8;H0YKN4;H0YLE2,P07355;H0YN42;H0YMU9;H0YMD0;A6NMY6;H0YM50;H0YKS4;H0YNP5,27;23;21;21;20;17;17;14;13;13;12;10;10;10;10;9;9;9;8;7;7;5;5;2,27;23;21;21;20;17;17;14;13;13;12;10;10;10;10;9;9;9;8;7;7;5;5;2,27;23;21;21;20;17;17;14;13;13;12;10;10;10;10;9;9;9;8;7;7;5;5;2,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;tr|H0YN42|H0YN42_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;tr|H0YMU9|H0YMU9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;tr|H0YMD0|H0YMD0_HUMA,27,27,72.9,31.3962164176052,30.3887442140211,32.9877490198892,33.135834025461
P08758;D6RBL5;E9PHT9;D6RBE9,P08758;D6RBL5;E9PHT9;D6RBE9,4;3;2;2,4;3;2;2,4;3;2;2,Annexin A5;Annexin,ANXA5,sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;tr|D6RBL5|D6RBL5_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|E9PHT9|E9PHT9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|D6RBE9|D6RBE9_HUMAN Annexin O,4,4,13.1,23.8123751837512,23.4337718538234,24.7476050131339,24.8716883257178
O00203;A0A590UK30;H0YBD0;F5GWU4;A0A590UJE5,O00203,18;1;1;1;1,18;1;1;1;1,16;0;1;0;0,AP-3 complex subunit beta-1,AP3B1,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,18,16,20.2,24.8212019440098,23.9634048353518,27.9656521959396,27.4166733304051
O14617;A0A2R8Y611;A0A2R8Y4J3;A0A087WYN6,O14617;A0A2R8Y611;A0A2R8Y4J3,15;11;9;3,15;11;9;3,15;11;9;3,AP-3 complex subunit delta-1,AP3D1,sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y611|A0A2R8Y611_HUMAN AP-3 complex subunit delta-1 (Fragment) OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y4J3|A0A2R8Y4J3_HUMAN AP-3 complex subu,15,15,17.2,4.25717907948666,4.09415654932906,28.1783091678173,27.5967623420646
O00213;A0A075B7G8;J3KPL8;A0A087X0V7;A0A087WYH9;V9GYR7;V9GY97,O00213;A0A075B7G8;J3KPL8;A0A087X0V7;A0A087WYH9,7;7;7;5;5;3;2,7;7;7;5;5;3;2,7;7;7;5;5;3;2,Amyloid beta A4 precursor protein-binding family B member 1,APBB1,sp|O00213|APBB1_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV=2;tr|A0A075B7G8|A0A075B7G8_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV,7,7,14.4,4.25717907948666,4.09415654932906,26.3792634677559,26.1567470797613
Q92870;H0YAJ5;G5E9Y1;H0Y9U9;H0YA92,Q92870;H0YAJ5;G5E9Y1,4;4;4;1;1,4;4;4;1;1,4;4;4;1;1,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,sp|Q92870|APBB2_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 OS=Homo sapiens OX=9606 GN=APBB2 PE=1 SV=3;tr|H0YAJ5|H0YAJ5_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 (Fragment) OS=Homo sapiens OX=9606 GN=APBB2 PE=1,4,4,6.1,4.25717907948666,4.09415654932906,24.4466375833564,25.3485433887186
P25054;E9PFT7;A0A2Q2SV78;D6RFL6;R4GMU6;E7EMH9,P25054;E9PFT7;A0A2Q2SV78,5;5;4;1;1;1,5;5;4;1;1;1,5;5;4;1;1;1,Adenomatous polyposis coli protein,APC,sp|P25054|APC_HUMAN Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2;tr|E9PFT7|E9PFT7_HUMAN Adenomatous polyposis coli protein (Fragment) OS=Homo sapiens OX=9606 GN=APC PE=1 SV=8;tr|A0A2Q2SV78|A0A2Q2SV78_HUMAN Adenomatous polypos,5,5,2.9,4.25717907948666,4.09415654932906,25.6391761825005,25.8322422001827
Q9BZZ5;G3V1C3;E9PQK6;H0YER7,Q9BZZ5;G3V1C3,5;5;2;2,5;5;2;2,5;5;2;2,Apoptosis inhibitor 5,API5,sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3;tr|G3V1C3|G3V1C3_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=1,5,5,11.8,4.25717907948666,4.09415654932906,26.6687144891004,26.4730988962387
P48444;B0YIW6;Q6P1Q5;E9PK34,P48444;B0YIW6;Q6P1Q5,12;12;7;2,12;12;7;2,12;12;7;2,Coatomer subunit delta,ARCN1,sp|P48444|COPD_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|B0YIW6|B0YIW6_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|Q6P1Q5|Q6P1Q5_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 P,12,12,24.9,25.2376120255246,22.8693837381276,27.5778032442053,27.4769964441479
P61204;P84077;F5H423;C9J1Z8;F5H0C7;F5H1V1;F5H6T5;F8WDB3;H0YGG7,P61204;P84077;F5H423;C9J1Z8,7;7;6;4;3;1;1;1;1,7;7;6;4;3;1;1;1;1,3;3;2;0;0;0;0;0;1,ADP-ribosylation factor 3;ADP-ribosylation factor 1,ARF3;ARF1;ARF5,sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2;sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens OX=9606 GN=ARF1 PE=1 SV=2;tr|F5H423|F5H423_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV,7,3,47.0,27.0845631748166,25.6089358614602,27.0283364240389,26.79178649407
P18085;C9JPM4;C9JAK5;U3KQF2,P18085;C9JPM4;C9JAK5,5;5;3;2,2;2;2;2,2;2;2;2,ADP-ribosylation factor 4,ARF4,sp|P18085|ARF4_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3;tr|C9JPM4|C9JPM4_HUMAN ADP-ribosylation factor 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=1;tr|C9JAK5|C9JAK5_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens,5,2,38.9,25.1277821547096,23.4373324956612,4.51247618958678,4.42747165566269
Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6;E5RHH7;F8VWB3;H0YIQ0;E5RGL6;E5RIU2,Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6,18;16;12;12;11;5;4;3;2;1,18;16;12;12;11;5;4;3;2;1,18;16;12;12;11;5;4;3;2;1,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,sp|Q8N6T3|ARFG1_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2;tr|F8VWH9|F8VWH9_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=1;tr|E5RHC5|E5RHC5_,18,18,54.2,26.3537342785573,26.1742282331954,30.2725313335759,30.5831584791405
Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;E9PIY6;E9PMU9;H0YDN9;E9PMR9;E9PM63;E9PJT7;E9PK28;E9PN48;H0YDX1;E9PM18;H0YF45,Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;E9PIY6;E9PMU9,10;10;10;9;6;5;4;3;3;3;3;3;2;1;1,9;9;9;8;5;4;4;2;2;2;2;2;1;1;1,8;8;8;7;4;3;4;1;1;1;1;1;1;0;1,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,sp|Q8N6H7|ARFG2_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|A0A0D9SF70|A0A0D9SF70_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|G5E9L0,10,8,25.7,23.5325816729619,21.9456024340377,27.7849405101916,27.911536727468
Q9NP61;H0Y6A0;B0QYV8;B0QYV9,Q9NP61;H0Y6A0,12;6;4;2,12;6;4;2,11;6;3;1,ADP-ribosylation factor GTPase-activating protein 3,ARFGAP3,sp|Q9NP61|ARFG3_HUMAN ADP-ribosylation factor GTPase-activating protein 3 OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1;tr|H0Y6A0|H0Y6A0_HUMAN ADP-ribosylation factor GTPase-activating protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1,12,11,33.7,23.3226636688697,21.905290040129,28.2524142369699,28.1223315628485
Q9Y6D5,Q9Y6D5,4,4,4,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,sp|Q9Y6D5|BIG2_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,4,4,3.9,4.25717907948666,4.09415654932906,25.7719059080812,24.198055298081
Q5TH69,Q5TH69,4,4,4,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,ARFGEF3,sp|Q5TH69|BIG3_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Homo sapiens OX=9606 GN=ARFGEF3 PE=1 SV=3,4,4,3.0,4.25717907948666,4.09415654932906,25.2375755583775,25.0276195359691
P53367,P53367,3,3,3,Arfaptin-1,ARFIP1,sp|P53367|ARFP1_HUMAN Arfaptin-1 OS=Homo sapiens OX=9606 GN=ARFIP1 PE=1 SV=2,3,3,10.7,4.25717907948666,4.09415654932906,25.574183507549,25.6185732513347
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.25717907948666,4.09415654932906,23.3003369184145,21.8010452032896
Q9NWB6,Q9NWB6,2,2,2,Arginine and glutamate-rich protein 1,ARGLU1,sp|Q9NWB6|ARGL1_HUMAN Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,2,2,5.9,24.8847782071006,23.2834795304273,4.51247618958678,4.42747165566269
Q07960;H0YE29;E9PNR6,Q07960;H0YE29,17;14;6,17;14;6,17;14;6,Rho GTPase-activating protein 1,ARHGAP1,sp|Q07960|RHG01_HUMAN Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1;tr|H0YE29|H0YE29_HUMAN Rho GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,17,17,56.3,24.1493421331491,25.242817359766,28.5822972329149,29.1233434002905
Q8IWW6;Q1RLN5;H0Y5D8,Q8IWW6;Q1RLN5,5;5;1,5;5;1,5;5;1,Rho GTPase-activating protein 12,ARHGAP12,sp|Q8IWW6|RHG12_HUMAN Rho GTPase-activating protein 12 OS=Homo sapiens OX=9606 GN=ARHGAP12 PE=1 SV=1;tr|Q1RLN5|Q1RLN5_HUMAN ARHGAP12 protein OS=Homo sapiens OX=9606 GN=ARHGAP12 PE=1 SV=1,5,5,7.4,4.25717907948666,4.09415654932906,25.9788451972157,25.1415677163138
Q68EM7;I3L4P6;C9IZD3,Q68EM7;I3L4P6;C9IZD3,2;1;1,2;1;1,2;1;1,Rho GTPase-activating protein 17,ARHGAP17,sp|Q68EM7|RHG17_HUMAN Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|I3L4P6|I3L4P6_HUMAN Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|C9IZD3|C9IZD3_HUMAN Rho GTPase-activati,2,2,2.6,4.25717907948666,4.09415654932906,23.7465290823399,24.2214767900315
Q5T5U3;A0A1B0GV73;A0A087WW76;A0A452Q6Z5;E7ESW5;A0A1B0GTZ9;Q5JSD8;H0Y468;A0A1B0GW11;H0Y5T2,Q5T5U3;A0A1B0GV73;A0A087WW76;A0A452Q6Z5;E7ESW5,13;11;9;9;8;6;4;2;1;1,13;11;9;9;8;6;4;2;1;1,13;11;9;9;8;6;4;2;1;1,Rho GTPase-activating protein 21,ARHGAP21,sp|Q5T5U3|RHG21_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=2;tr|A0A1B0GV73|A0A1B0GV73_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=1;tr|A0A087WW76|A0A087WW76_HUMAN Rho GTPase-act,13,13,8.7,4.25717907948666,4.09415654932906,27.0768384259747,26.8931918976111
Q52LW3;F8VWZ8,Q52LW3;F8VWZ8,24;18,24;18,24;18,Rho GTPase-activating protein 29,ARHGAP29,sp|Q52LW3|RHG29_HUMAN Rho GTPase-activating protein 29 OS=Homo sapiens OX=9606 GN=ARHGAP29 PE=1 SV=2;tr|F8VWZ8|F8VWZ8_HUMAN Rho GTPase-activating protein 29 OS=Homo sapiens OX=9606 GN=ARHGAP29 PE=1 SV=1,24,24,24.7,23.4483288522976,21.5196535278582,28.4512048221674,27.7434248836167
Q9NRY4,Q9NRY4,6,6,6,Rho GTPase-activating protein 35,ARHGAP35,sp|Q9NRY4|RHG35_HUMAN Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3,6,6,4.6,4.25717907948666,4.09415654932906,26.7356995905075,26.4073182102561
Q13017;A0A0A0MSK6;H0YK04,Q13017;A0A0A0MSK6,8;7;1,8;7;1,8;7;1,Rho GTPase-activating protein 5,ARHGAP5,sp|Q13017|RHG05_HUMAN Rho GTPase-activating protein 5 OS=Homo sapiens OX=9606 GN=ARHGAP5 PE=1 SV=2;tr|A0A0A0MSK6|A0A0A0MSK6_HUMAN Rho GTPase-activating protein 5 OS=Homo sapiens OX=9606 GN=ARHGAP5 PE=1 SV=1,8,8,8.1,27.1316334308385,26.2772107707433,25.9392350230158,25.4316057403059
P52565;J3QQX2;J3KTF8;J3KRE2,P52565;J3QQX2;J3KTF8;J3KRE2,2;2;2;1,2;2;2;1,2;2;2;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,2,2,14.2,24.2902565473928,23.4834536727959,25.99595566793,26.137156577394
O15013;H0YAN8;E9PB39,O15013;H0YAN8,6;5;1,6;5;1,6;5;1,Rho guanine nucleotide exchange factor 10,ARHGEF10,sp|O15013|ARHGA_HUMAN Rho guanine nucleotide exchange factor 10 OS=Homo sapiens OX=9606 GN=ARHGEF10 PE=1 SV=4;tr|H0YAN8|H0YAN8_HUMAN Rho guanine nucleotide exchange factor 10 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGEF10 PE=1 SV=1,6,6,10.1,4.25717907948666,4.09415654932906,26.5046097733828,26.3216687217357
O15085,O15085,4,4,4,Rho guanine nucleotide exchange factor 11,ARHGEF11,sp|O15085|ARHGB_HUMAN Rho guanine nucleotide exchange factor 11 OS=Homo sapiens OX=9606 GN=ARHGEF11 PE=1 SV=1,4,4,3.6,4.25717907948666,4.09415654932906,24.8934696683736,22.9279030780966
Q5VV41;B0QZD3;B0QZD4,Q5VV41,6;2;1,6;2;1,6;2;1,Rho guanine nucleotide exchange factor 16,ARHGEF16,sp|Q5VV41|ARHGG_HUMAN Rho guanine nucleotide exchange factor 16 OS=Homo sapiens OX=9606 GN=ARHGEF16 PE=1 SV=1,6,6,11.1,4.25717907948666,4.09415654932906,25.2846095050618,25.058334981233
A0A2R8Y4D7;Q96PE2,A0A2R8Y4D7;Q96PE2,2;1,2;1,2;1,Rho guanine nucleotide exchange factor 17,ARHGEF17,tr|A0A2R8Y4D7|A0A2R8Y4D7_HUMAN Rho guanine nucleotide exchange factor 17 OS=Homo sapiens OX=9606 GN=ARHGEF17 PE=1 SV=1;sp|Q96PE2|ARHGH_HUMAN Rho guanine nucleotide exchange factor 17 OS=Homo sapiens OX=9606 GN=ARHGEF17 PE=1 SV=1,2,2,2.5,22.8306861814112,24.5107487174513,4.51247618958678,4.42747165566269
