CRBN_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
RAB18,0.0647789601,0.76206271112034,0,Q9NP72;A0A087X163;Q5W0J0;H0Y6T8,Q9NP72;A0A087X163;Q5W0J0;H0Y6T8,6;6;4;3,6;6;4;3,6;6;4;3,Ras-related protein Rab-18,RAB18,sp|Q9NP72|RAB18_HUMAN Ras-related protein Rab-18 OS=Homo sapiens OX=9606 GN=RAB18 PE=1 SV=1;tr|A0A087X163|A0A087X163_HUMAN Ras-related protein Rab-18 OS=Homo sapiens OX=9606 GN=RAB18 PE=1 SV=1;tr|Q5W0J0|Q5W0J0_HUMAN Ras-related protein Rab-18 OS=Homo sapie,6,6,33.5,206
PSME2,-0.4363364648,0.019197928955366,0,Q9UL46;A0A087X1Z3;H0YM70;H0YKU2,Q9UL46;A0A087X1Z3;H0YM70,9;9;7;1,9;9;7;1,9;9;7;1,Proteasome activator complex subunit 2,PSME2,sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4;tr|A0A087X1Z3|A0A087X1Z3_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=1;tr|H0YM70|H0YM70_HUMAN Proteasome activ,9,9,50.6,239
BSG,-0.1831196356,0.340006223899935,0,P35613;A0A087X2B5;A0A087WUV8;I3L192;R4GMX5;R4GN83;A0A2R8YDZ0,P35613;A0A087X2B5;A0A087WUV8;I3L192;R4GMX5,6;6;5;4;3;2;1,6;6;5;4;3;2;1,6;6;5;4;3;2;1,Basigin,BSG,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|I3L192|I3L19,6,6,21,385
GPS1,-0.4571261285,0.0600681113281583,0,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4;J3QQX0,Q13098;C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;J3QS84;J3QS88;J3KTB0;J3QLE8;J3QLT0;J3QL53;J3KRE8;J3KSA5;J3KRJ4,5;5;5;5;5;3;3;3;3;3;3;3;3;3;1,5;5;5;5;5;3;3;3;3;3;3;3;3;3;1,5;5;5;5;5;3;3;3;3;3;3;3;3;3;1,COP9 signalosome complex subunit 1,GPS1,sp|Q13098|CSN1_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4;tr|C9JFE4|C9JFE4_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=2;tr|A0A096LP07|A0A096LP07_HUMAN COP9 signalosome complex su,5,5,10.4,491
C21orf33,-0.4498875466,0.268523168903053,0,A0A096LPI6;P0DPI2;A0A0B4J2D5;A0A096LNH5;A0A096LNJ1;A0A096LP73;A0A2R8Y6K9;H7C1F6;A0A2R8YDR7;H7C2G3;F2Z2Q0;A0A096LP12,A0A096LPI6;P0DPI2;A0A0B4J2D5;A0A096LNH5;A0A096LNJ1;A0A096LP73;A0A2R8Y6K9;H7C1F6;A0A2R8YDR7;H7C2G3;F2Z2Q0;A0A096LP12,6;5;5;4;3;3;3;3;3;3;3;3,5;5;5;4;3;3;3;3;3;3;3;3,5;5;5;4;3;3;3;3;3;3;3;3,,C21orf33,"tr|A0A096LPI6|A0A096LPI6_HUMAN Utp12 domain-containing protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2;sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3A PE=1 SV=",6,5,39.8,279
WDR18,-1.5506221132,0.0234097773311803,1,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0;K7EML4;A0A087X237;K7EKX5,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0,6;6;6;5;2;1;1,6;6;6;5;2;1;1,6;6;6;5;2;1;1,WD repeat-containing protein 18,WDR18,sp|Q9BV38|WDR18_HUMAN WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2;tr|U3KQC1|U3KQC1_HUMAN WD repeat-containing protein 18 (Fragment) OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=1;tr|A0A0A0MQU0|A0A0A0MQU0_HUMAN WD repeat-containin,6,6,19,432
CUL4A,-0.8321668902,0.00103194562315189,0,Q13619;A0A0A0MR50,Q13619;A0A0A0MR50,9;9,9;9,4;4,Cullin-4A,CUL4A,sp|Q13619|CUL4A_HUMAN Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3;tr|A0A0A0MR50|A0A0A0MR50_HUMAN Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=1,9,4,14.1,759
HNRNPUL1,-0.5054885245,0.149048437628644,0,Q9BUJ2;A0A0A0MRA5;B7Z4B8;M0R3F1;M0QYZ0;M0R203;M0QYM5;M0QZV6;M0R0K8;M0QYI8,Q9BUJ2;A0A0A0MRA5;B7Z4B8;M0R3F1;M0QYZ0,13;13;13;12;7;1;1;1;1;1,13;13;13;12;7;1;1;1;1;1,13;13;13;12;7;1;1;1;1;1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1,sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2;tr|A0A0A0MRA5|A0A0A0MRA5_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV,13,13,16.5,856
EPB41L3,0.4092584412,0.169931104072889,0,Q9Y2J2;A8K968;A0A0A0MRA8;A0A1B0GTF8;A0A0A0MSA4;J3KT37;Q9H4G0;Q4VXN0;A0A0C4DH22;A0A1B0GTW6;J3QS55;A0A0J9YW31;Q4VXN1;A0A0J9YY18;A0A2R8Y6T6;A0A3B3ITC5,Q9Y2J2;A8K968;A0A0A0MRA8;A0A1B0GTF8;A0A0A0MSA4,11;11;11;9;8;4;2;2;2;2;1;1;1;1;1;1,9;9;9;7;7;3;1;1;1;1;1;1;1;1;1;1,7;7;7;5;6;2;0;0;0;0;1;1;0;1;0;0,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",EPB41L3,sp|Q9Y2J2|E41L3_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=2;tr|A8K968|A8K968_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=1;tr|A0A0A0MRA8|A0A0A0MRA8_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX,11,7,12.5,1087
PCMT1,0.003162036,0.986302138286728,0,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6;H7C4X2;F8WDT3;F8WAV5;F8WAX2;C9J0F2,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6,5;5;5;5;4;1;1;1;1;1,5;5;5;5;4;1;1;1;1;1,5;5;5;5;4;1;1;1;1;1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Protein-L-isoaspartate O-methyltransferase,PCMT1,sp|P22061|PIMT_HUMAN Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4;tr|A0A3F2YNX8|A0A3F2YNX8_HUMAN Protein-L-isoaspartate O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=1;tr|A0A0A0MRJ6|A0A0A,5,5,44.1,227
NOLC1,0.0859379758,0.51755272362021,0,Q14978;A0A0A0MRM9;S4R349;S4R402;S4R3C2,Q14978;A0A0A0MRM9,13;13;5;3;1,13;13;5;3;1,10;10;2;0;1,Nucleolar and coiled-body phosphoprotein 1,NOLC1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1,13,10,23.2,699
ABI1,0.0332740564,0.835338660144009,0,Q8IZP0;B6VEX4;A0A0A0MRT6,Q8IZP0;B6VEX4;A0A0A0MRT6,4;4;4,4;4;4,4;4;4,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,4,4,11.2,508
HADH,-0.397903459,0.188710771867162,0,Q16836;A0A1W2PQV5;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQ78;A0A1W2PQC2;A0A1W2PRT2,Q16836;A0A1W2PQV5;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQ78,3;3;3;3;3;3;2;1;1,3;3;3;3;3;3;2;1;1,3;3;3;3;3;3;2;1;1,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,"sp|Q16836|HCDH_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3;tr|A0A1W2PQV5|A0A1W2PQV5_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=1;tr|A0A1W2PNM1|A0",3,3,14,314
NUP214,0.1576202041,0.427684687943587,0,P35658;A0A0A0MSW3;A0A494C1F2;H0YF36;E9PKD2;B7ZAV2;H0Y837;A0A494BZU9,P35658;A0A0A0MSW3;A0A494C1F2,8;8;8;3;2;2;2;1,8;8;8;3;2;2;2;1,8;8;8;3;2;2;2;1,Nuclear pore complex protein Nup214,NUP214,sp|P35658|NU214_HUMAN Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2;tr|A0A0A0MSW3|A0A0A0MSW3_HUMAN Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=1;tr|A0A494C1F2|A0A494C1F2_HUMAN Nuclear pore,8,8,6.5,2090
PITPNB,-0.5454699303,0.0586378495927287,0,P48739;A0A0A0MSW4;B3KYB6;B3KYB7;I3L3W1;I3L2X8;I3L471;I3L4C0;I3L4U7;I3L459,P48739;A0A0A0MSW4;B3KYB6;B3KYB7,4;4;3;3;1;1;1;1;1;1,4;4;3;3;1;1;1;1;1;1,3;3;2;2;0;0;0;0;0;0,Phosphatidylinositol transfer protein beta isoform,PITPNB,sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2;tr|A0A0A0MSW4|A0A0A0MSW4_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=1;tr|B3KYB6|B3K,4,3,24.4,271
SMARCA4,0.5027392164,0.110635747770671,0,P51532;A0A0A0MT49;Q9HBD4;A0A2R8Y4P4;A0A2R8Y7S2;A0A2R8YGP5;A0A2R8YGG3;A0A2R8Y7F3;A0A2R8Y6N0;A0A2R8YDA1;A0A2R8Y4C5;A0A2R8YF58;A0A2R8YG32;A0A2R8Y440;A0A2R8YF80;A0A2R8Y7Y7;A0A2R8Y526;A0A2R8Y6V2;A0A2R8YCY3;A0A2R8Y4R6;P51531;A0A0U1RQZ9;A0A2R8Y523;A0A2R8YFV8;F6VDE0;A0A2R8Y7R0,P51532;A0A0A0MT49;Q9HBD4;A0A2R8Y4P4;A0A2R8Y7S2;A0A2R8YGP5;A0A2R8YGG3;A0A2R8Y7F3;A0A2R8Y6N0;A0A2R8YDA1;A0A2R8Y4C5;A0A2R8YF58;A0A2R8YG32;A0A2R8Y440;A0A2R8YF80;A0A2R8Y7Y7;A0A2R8Y526;A0A2R8Y6V2;A0A2R8YCY3,6;6;6;6;6;6;5;4;4;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1,6;6;6;6;6;6;5;4;4;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1,6;6;6;6;6;6;5;4;4;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1,Transcription activator BRG1,SMARCA4,sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2;tr|A0A0A0MT49|A0A0A0MT49_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=1;tr|Q9HBD4|Q9HBD4_HUMAN SMARCA4 isoform 2 OS=Homo sapien,6,6,5,1647
IVD,0.0801201887,0.651398517302993,0,P26440;A0A0A0MT83;A0A0S2Z4K7;H7C4G6;H0YN10;H0YLC3;H0YKV0;A0A087WVD3,P26440;A0A0A0MT83;A0A0S2Z4K7;H7C4G6,11;11;10;7;5;5;3;3,11;11;10;7;5;5;3;3,11;11;10;7;5;5;3;3,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,"sp|P26440|IVD_HUMAN Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0A0MT83|A0A0A0MT83_HUMAN Isovaleryl-CoA dehydrogenase isoform 1 OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0S2Z4K7|A0A0S2Z4K7_HUMAN Isovalery",11,11,39.9,426
ILK,-0.3649354763,0.100048375232023,0,Q13418;A0A0A0MTH3;A0A087WWY6;E9PQ52;A0A087WW45,Q13418;A0A0A0MTH3,6;6;2;1;1,6;6;2;1;1,6;6;2;1;1,Integrin-linked protein kinase,ILK,sp|Q13418|ILK_HUMAN Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2;tr|A0A0A0MTH3|A0A0A0MTH3_HUMAN Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=1,6,6,15.9,452
ELOVL5,-0.289769968,0.110935958450069,0,Q9NYP7;A0A0A0MTI6,Q9NYP7;A0A0A0MTI6,1;1,1;1,1;1,Elongation of very long chain fatty acids protein 5;Elongation of very long chain fatty acids protein,ELOVL5,sp|Q9NYP7|ELOV5_HUMAN Elongation of very long chain fatty acids protein 5 OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1;tr|A0A0A0MTI6|A0A0A0MTI6_HUMAN Elongation of very long chain fatty acids protein OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1,1,1,4.3,299
CUL2,-2.3787818284,0.000131569657796137,1,Q13617;A0A0A0MTN0;Q5T2B5;Q5T2B7,Q13617;A0A0A0MTN0;Q5T2B5,8;8;7;1,8;8;7;1,8;8;7;1,Cullin-2,CUL2,sp|Q13617|CUL2_HUMAN Cullin-2 OS=Homo sapiens OX=9606 GN=CUL2 PE=1 SV=2;tr|A0A0A0MTN0|A0A0A0MTN0_HUMAN Cullin-2 OS=Homo sapiens OX=9606 GN=CUL2 PE=1 SV=1;tr|Q5T2B5|Q5T2B5_HUMAN Cullin-2 OS=Homo sapiens OX=9606 GN=CUL2 PE=1 SV=1,8,8,11,745
TMED7;TMED7-TICAM2,0.1722244092,0.225458596882567,0,Q9Y3B3;A0A0A6YYA0,Q9Y3B3;A0A0A6YYA0,2;2,2;2,2;2,Transmembrane emp24 domain-containing protein 7,TMED7;TMED7-TICAM2,sp|Q9Y3B3|TMED7_HUMAN Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens OX=9606 GN=TMED7 PE=1 SV=2;tr|A0A0A6YYA0|A0A0A6YYA0_HUMAN Protein TMED7-TICAM2 OS=Homo sapiens OX=9606 GN=TMED7-TICAM2 PE=3 SV=1,2,2,10.3,224
LUC7L2,-0.2235783403,0.236538865931333,0,A0A0A6YYJ8;Q96HJ9,A0A0A6YYJ8,9;2,9;2,2;2,,LUC7L2,tr|A0A0A6YYJ8|A0A0A6YYJ8_HUMAN Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=4 SV=1,9,2,28.8,458
NAA15,-0.2455486682,0.194212693583968,0,Q9BXJ9;A0A0B4J1W3;Q6N069,Q9BXJ9;A0A0B4J1W3,12;12;3,12;12;3,12;12;3,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",NAA15,"sp|Q9BXJ9|NAA15_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1;tr|A0A0B4J1W3|A0A0B4J1W3_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1",12,12,15.4,866
SRSF7,-0.1090253086,0.610547935106156,0,Q16629;A0A0B4J1Z1;C9JAB2,Q16629;A0A0B4J1Z1;C9JAB2,10;10;10,10;10;10,9;9;9,Serine/arginine-rich splicing factor 7,SRSF7,sp|Q16629|SRSF7_HUMAN Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN Serine/arginine-rich-splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|C9JAB2|C9JAB2_HUMAN Serine/arginine-,10,9,31.5,238
TPT1,-0.1528567505,0.546856853542128,0,P13693;Q5W0H4;A0A0B4J2C3;J3KPG2;E9PJF7;Q56UQ5;H0YCX0;Q9HAU6,P13693;Q5W0H4;A0A0B4J2C3;J3KPG2;E9PJF7,12;12;12;8;7;3;3;1,12;12;12;8;7;3;3;1,12;12;12;8;7;3;3;1,Translationally-controlled tumor protein,TPT1,sp|P13693|TCTP_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;tr|Q5W0H4|Q5W0H4_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1;tr|A0A0B4J2C3|A0A0B4J2C3_HUMAN Translationally,12,12,55.2,172
PWP2,-0.1957701603,0.224631440598831,0,Q15269;A0A0B4J2E5;C9J544,Q15269;A0A0B4J2E5,13;13;3,13;13;3,12;12;3,Periodic tryptophan protein 2 homolog,PWP2,sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2;tr|A0A0B4J2E5|A0A0B4J2E5_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC102724159 PE=1 SV=1,13,12,13.1,919
GSTZ1,-0.2335097022,0.384518416857769,0,O43708;A0A0C4DFM0;G3V267;G3V5T0;A0A0A0MR33;G3V3B9;G3V5G8;G3V5U6;H0YJN8,O43708;A0A0C4DFM0;G3V267;G3V5T0;A0A0A0MR33;G3V3B9,6;6;5;5;4;3;1;1;1,6;6;5;5;4;3;1;1;1,1;1;1;1;1;0;0;0;0,Maleylacetoacetate isomerase,GSTZ1,"sp|O43708|MAAI_HUMAN Maleylacetoacetate isomerase OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=3;tr|A0A0C4DFM0|A0A0C4DFM0_HUMAN Glutathione transferase zeta 1 (Maleylacetoacetate isomerase), isoform CRA_c OS=Homo sapiens OX=9606 GN=GSTZ1 PE=1 SV=1;tr|G3V267|G3",6,1,43.5,216
SET;SETSIP,-0.20136194,0.24420033205044,0,Q01105;A0A0C4DFV9;P0DME0;A0A087X027,Q01105;A0A0C4DFV9;P0DME0;A0A087X027,13;13;7;7,13;13;7;7,13;13;7;7,Protein SET;Protein SETSIP,SET;SETSIP,sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=1;sp|P0DME0|SETLP_HUMAN Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1;tr|A0A087X027|A0A0,13,13,43.4,290
RPSA,0.1374767718,0.345456860725849,0,P08865;C9J9K3;A0A0C4DG17;F8WD59,P08865;C9J9K3;A0A0C4DG17;F8WD59,24;24;24;14,24;24;24;14,24;24;24;14,40S ribosomal protein SA,RPSA,sp|P08865|RSSA_HUMAN 40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4;tr|C9J9K3|C9J9K3_HUMAN 40S ribosomal protein SA (Fragment) OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=8;tr|A0A0C4DG17|A0A0C4DG17_HUMAN 40S ribosomal protein SA OS=Homo sap,24,24,68.8,295
HTRA2,0.4487939302,0.0464880101312328,0,O43464;A0A0C4DG44;P83110,O43464;A0A0C4DG44,5;5;1,5;5;1,5;5;1,"Serine protease HTRA2, mitochondrial",HTRA2,"sp|O43464|HTRA2_HUMAN Serine protease HTRA2, mitochondrial OS=Homo sapiens OX=9606 GN=HTRA2 PE=1 SV=2;tr|A0A0C4DG44|A0A0C4DG44_HUMAN Serine protease HTRA2, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HTRA2 PE=1 SV=1",5,5,17.9,458
DDX46,-0.6417982667,0.0102551247799026,0,Q7L014;A0A0C4DG89;D6RJA6;H0Y9U3,Q7L014;A0A0C4DG89,14;14;4;1,14;14;4;1,14;14;4;1,Probable ATP-dependent RNA helicase DDX46,DDX46,sp|Q7L014|DDX46_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2;tr|A0A0C4DG89|A0A0C4DG89_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=1,14,14,16.3,1031
ECI2,-0.9441895054,0.0554782548784719,0,O75521;A0A0C4DGA2;F1LLU7;F8WAW4;F8W6J1;C9JB63,O75521;A0A0C4DGA2;F1LLU7,3;3;2;1;1;1,3;3;2;1;1;1,3;3;2;1;1;1,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2,"sp|O75521|ECI2_HUMAN Enoyl-CoA delta isomerase 2 OS=Homo sapiens OX=9606 GN=ECI2 PE=1 SV=4;tr|A0A0C4DGA2|A0A0C4DGA2_HUMAN Enoyl-CoA delta isomerase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ECI2 PE=1 SV=1;tr|F1LLU7|F1LLU7_HUMAN Enoyl-CoA delta isomerase ",3,3,10.4,394
CHD4,-0.2779733779,0.0721666708572989,0,Q14839;A0A2R8YFD8;A0A2R8Y425;A0A2R8Y5J0;A0A2U3TZM0;A0A2R8YFK9;F5GWX5;A0A2R8Y212;A0A2R8Y521;A0A0C4DGG9;A0A2R8YD40;A0A2R8YDJ9;A0A2R8Y4X2;A0A2R8YDW2;A0A2R8Y445;A0A2R8Y8C1;A0A2R8YER1;A0A2R8Y5Z7;A0A2R8Y685;A0A2R8Y8B3;A0A2R8Y7I0;A0A2R8Y7M9;Q12873;A0A2R8Y5M9;A0A2R8YE38;A0A5F9ZHX5;F5H6N4;F6T542;H7C3H7;I3L229;H7C0J3;A0A2R8Y795,Q14839;A0A2R8YFD8;A0A2R8Y425;A0A2R8Y5J0;A0A2U3TZM0;A0A2R8YFK9;F5GWX5;A0A2R8Y212;A0A2R8Y521;A0A0C4DGG9;A0A2R8YD40;A0A2R8YDJ9;A0A2R8Y4X2;A0A2R8YDW2;A0A2R8Y445;A0A2R8Y8C1;A0A2R8YER1;A0A2R8Y5Z7;A0A2R8Y685,31;31;31;31;31;31;31;31;31;31;29;29;28;27;23;23;23;17;17;14;14;14;7;7;6;5;2;2;1;1;1;1,31;31;31;31;31;31;31;31;31;31;29;29;28;27;23;23;23;17;17;14;14;14;7;7;6;5;2;2;1;1;1;1,18;18;18;18;18;18;18;18;18;18;16;16;16;15;12;12;12;11;11;11;7;7;1;1;1;1;2;0;0;0;0;1,Chromodomain-helicase-DNA-binding protein 4,CHD4,sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2;tr|A0A2R8YFD8|A0A2R8YFD8_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=1;tr|A0A2R8Y425|A0A2R8Y425_HUMAN C,31,18,20.7,1912
CAPNS1,0.0659088023,0.602002208968468,0,P04632;A0A0C4DGQ5;A0A075B7C0;K7ELJ7;U3KQE2;K7EIV0;K7EKD8;K7EM73;U3KPR7;Q96L46;K7EMQ1;K7ES78,P04632;A0A0C4DGQ5;A0A075B7C0;K7ELJ7;U3KQE2;K7EIV0;K7EKD8;K7EM73,14;14;12;12;11;11;9;8;6;2;2;1,14;14;12;12;11;11;9;8;6;2;2;1,14;14;12;12;11;11;9;8;6;2;2;1,Calpain small subunit 1,CAPNS1,sp|P04632|CPNS1_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|A0A0C4DGQ5|A0A0C4DGQ5_HUMAN Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1;tr|A0A075B7C0|A0A075B7C0_HUMAN Calpain small subunit 1 (Fragment) O,14,14,63.8,268
DDOST,-0.1090602734,0.432491607894302,0,P39656;A0A0C4DGS1;U3KQ84,P39656;A0A0C4DGS1,15;15;7,15;15;7,15;15;7,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4;tr|A0A0C4DGS1|A0A0C4DGS1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=H,15,15,46.9,456
