Gene_names,DET1_vs_BirA_logFC,DET1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DET1_N1,Peptides_DET1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DET1_N1,Razor___unique_peptides_DET1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DET1_N1,Unique_peptides_DET1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DET1_N1,Identification_type_DET1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DET1_N1,Ratio_H_L_DET1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DET1_N1,Ratio_H_L_normalized_DET1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DET1_N1,Ratio_H_L_variability_____DET1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DET1_N1,Ratio_H_L_count_DET1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DET1_N1,Ratio_H_L_iso_count_DET1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DET1_N1,Ratio_H_L_type_DET1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DET1_N1____,Sequence_coverage_DET1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DET1_N1,Intensity_L_DET1_N1,Intensity_H_DET1_N1,Intensity_DET1_N2,Intensity_L_DET1_N2,Intensity_H_DET1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DET1_N1,metacell_Intensity_L_DET1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
AQR,0.272502121938732,0.59903442073686,O60306,O60306,3,3,3,Intron-binding protein aquarius,sp|O60306|AQR_HUMAN RNA helicase aquarius OS=Homo sapiens OX=9606 GN=AQR PE=1 SV=4,1,3,3,3,1,1,2,1,1,1,2,1,1,1,2,1,2.4,2.4,2.4,171.29,1485,1485,0.0073493,1.524,By MS/MS,By MS/MS,By MS/MS,By MS/MS,10.412,32.857,153.85,4,4,Median,16.077,9.4493,0.59074,11.473,60.855,28.856,1.9805,37.412,,,,,1,1,1,1,1,1,1,1,Median,Median,Median,Median,0.7,0.7,1.7,0.7,834960000,80659000,754300000,203900000,10743000,193160000,229390000,21399000,207990000,34252000,22046000,12207000,367410000,26472000,340940000,,,,1287,1795;2042;13419,True;True;True,2317;2626;17447,5460;6192;6193;6194;38997,10218;11656;11657;11658;11659;11660;68912,10218;11657;68912,,,,,-1,protein_1288,quanti,quanti,quanti,quanti
KDM1A,3.15080107392331,0.0128504672126513,O60341;R4GMQ1;R4GMP9,O60341;R4GMQ1;R4GMP9,3;3;2,3;3;2,3;3;2,Lysine-specific histone demethylase 1A,sp|O60341|KDM1A_HUMAN Lysine-specific histone demethylase 1A OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2;tr|R4GMQ1|R4GMQ1_HUMAN Lysine-specific histone demethylase OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2;tr|R4GMP9|R4GMP9_HUMAN Lysine-specific histone dem,3,3,3,3,1,1,3,1,1,1,3,1,1,1,3,1,4.7,4.7,4.7,92.902,852,852;858;301,0.0,5.9283,By matching,By matching,By MS/MS,By MS/MS,0.41113,1.7545,42.79,8,2,Leave out requantified,0.68361,1.0103,0.41113,0.66581,1.6043,1.9843,1.7545,1.9045,,,112.2,9.8182,1,1,4,2,0,0,1,1,Median,Median,Leave out requantified,Median,1.2,1.2,4.7,1.2,350810000,202250000,148560000,14968000,8772700,6195500,14293000,5426200,8867100,246270000,142060000,104210000,75281000,45990000,29291000,,,,1288,8823;12581;16864,True;True;True,11705;11706;16380;21790,26394;26395;26396;26397;26398;26399;36734;49111,47315;47316;47317;65163;65164;87330;87331,47317;65163;87330,,,,,-1;-1;-1,protein_1289,quanti,quanti,quanti,quanti
SNX3;SNX12,-20.1565512028272,3.57541508058792e-07,O60493;Q9UMY4;A0A087X0R6,O60493;Q9UMY4;A0A087X0R6,2;1;1,2;1;1,2;1;1,Sorting nexin-3;Sorting nexin-12,sp|O60493|SNX3_HUMAN Sorting nexin-3 OS=Homo sapiens OX=9606 GN=SNX3 PE=1 SV=3;sp|Q9UMY4|SNX12_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=4;tr|A0A087X0R6|A0A087X0R6_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=1,3,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,8.6,8.6,8.6,18.762,162,162;162;172,0.0015865,1.9517,By MS/MS,By MS/MS,,,0.7234,1.7625,61.945,3,1,Median,0.49164,1.1072,,,1.4811,2.8703,,,,68.965,,,1,2,0,0,0,1,0,0,Median,Median,Median,Median,4.3,8.6,0.0,0.0,104530000,46993000,57533000,27633000,17561000,10072000,76893000,29432000,47461000,0,0,0,0,0,0,,,,1290,4380;15777,True;True,5607;20411,12733;45808;45809,23182;81096;81097;81098,23182;81097,,,,,-1;-1;-1,protein_1291,imputed MEC,imputed MEC,quanti,quanti
PLOD3,2.43195337614604,0.0320869460708596,O60568;H7C2S8;H7C2V1,O60568;H7C2S8,6;3;2,6;3;2,6;3;2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",sp|O60568|PLOD3_HUMAN Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Homo sapiens OX=9606 GN=PLOD3 PE=1 SV=1;tr|H7C2S8|H7C2S8_HUMAN Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 (Fragment) OS=Homo,3,6,6,6,2,1,5,4,2,1,5,4,2,1,5,4,10.4,10.4,10.4,84.784,738,738;264;270,0.0,5.4041,By MS/MS,By matching,By MS/MS,By MS/MS,0.88062,2.512,13.383,14,1,Leave out requantified,0.95461,1.0493,0.78641,1.4553,2.2034,1.8733,2.1603,3.2596,9.4444,,19.525,31.232,2,1,6,5,0,0,1,0,Median,Median,Leave out requantified,Leave out requantified,3.9,2.6,9.3,7.2,273230000,138510000,134720000,27649000,13648000,14001000,8524500,4823900,3700600,140340000,76354000,63984000,96721000,43687000,53035000,,,,1293,2097;4090;7859;10874;16600;16764,True;True;True;True;True;True,2700;5249;10337;10338;14307;21439;21652,6385;11917;11918;11919;11920;23428;23429;23430;23431;32182;48247;48782;48783;48784,12019;21732;21733;21734;21735;21736;21737;21738;21739;21740;21741;21742;21743;42347;42348;57142;57143;85726;86687;86688;86689;86690;86691;86692;86693;86694,12019;21742;42348;57142;85726;86692,,,,,-1;-1;-1,protein_1294,quanti,quanti,quanti,quanti
PLIN3,-0.635066519383731,0.342050021086078,O60664;K7ERZ3;K7EL96;K7ER39,O60664;K7ERZ3;K7EL96,12;8;7;4,12;8;7;4,12;8;7;4,Perilipin-3,sp|O60664|PLIN3_HUMAN Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3;tr|K7ERZ3|K7ERZ3_HUMAN Perilipin-3 (Fragment) OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=1;tr|K7EL96|K7EL96_HUMAN Perilipin-3 (Fragment) OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=8,4,12,12,12,5,4,3,7,5,4,3,7,5,4,3,7,36.2,36.2,36.2,47.074,434,434;292;172;168,0.0,17.596,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36714,1.1155,20.353,20,7,Leave out requantified,0.34701,0.39293,0.26074,0.39838,1.0194,0.97475,1.1033,1.1685,21.798,13.156,21.43,19.885,5,5,3,7,2,1,2,2,Leave out requantified,Leave out requantified,Median,Leave out requantified,22.6,24.9,10.8,25.1,825570000,586090000,239480000,282150000,204700000,77447000,154370000,114150000,40215000,128020000,102040000,25979000,261040000,165200000,95834000,,,,1294,2871;6284;6285;8763;9062;9063;13465;13750;15023;15708;15709;17017,True;True;True;True;True;True;True;True;True;True;True;True,3702;8299;8300;11632;11993;11994;17505;17847;19430;19431;20329;20330;20331;22023,8621;18814;18815;18816;18817;18818;18819;26238;27045;27046;27047;39096;39097;39862;43614;43615;45629;45630;45631;49646,16029;34109;34110;34111;34112;34113;34114;34115;47047;48485;48486;48487;48488;69070;69071;69072;69073;69074;69075;69076;69077;69078;69079;70482;76933;76934;76935;80746;80747;80748;88303,16029;34114;34115;47047;48485;48487;69073;70482;76935;80747;80748;88303,,,,,-1;-1;-1;-1,protein_1295,quanti,quanti,quanti,quanti
KPNA6,-0.691337434111368,0.26810530576294,O60684;Q5TFJ7;P52294;O15131;S4R3E5;C9JYI4,O60684;Q5TFJ7,3;3;1;1;1;1,3;3;1;1;1;1,3;3;1;1;1;1,Importin subunit alpha-7,sp|O60684|IMA7_HUMAN Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1;tr|Q5TFJ7|Q5TFJ7_HUMAN Importin subunit alpha-7 (Fragment) OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1,6,3,3,3,3,2,1,1,3,2,1,1,3,2,1,1,7.5,7.5,7.5,60.029,536,536;321;538;536;186;328,0.0,5.7997,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.64545,1.9645,47.91,7,3,Median,0.64545,0.62141,0.65562,0.79498,2.3014,1.5651,2.6359,2.5045,64.482,32.141,,,3,2,1,1,1,0,1,1,Plateau,Median,Median,Median,7.5,5.6,2.1,2.1,324770000,183110000,141660000,100130000,62501000,37627000,74747000,38888000,35859000,54433000,33942000,20491000,95465000,47783000,47683000,,,,1296,8025;11854;17639,True;True;True,10601;15477;22804,23986;23987;34719;34720;34721;34722;51397,43254;61519;61520;61521;61522;61523;61524;61525;61526;61527;91518,43254;61522;91518,,,,,-1;-1;-1;-1;-1;-1,protein_1297,quanti,quanti,quanti,quanti
UGDH,-2.76042940101857,0.10921620415573,O60701;D6RHF4;E9PBD2;E7ER95;E7ER83;E7ETF4;E7EV97,O60701,10;1;1;1;1;1;1,10;1;1;1;1;1;1,10;1;1;1;1;1;1,UDP-glucose 6-dehydrogenase,sp|O60701|UGDH_HUMAN UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1,7,10,10,10,7,7,1,6,7,7,1,6,7,7,1,6,23.7,23.7,23.7,55.023,494,494;53;55;84;130;153;181,0.0,24.882,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31304,0.80932,30.299,21,12,Leave out requantified,0.36102,0.3446,0.24243,0.34678,0.78287,0.92254,0.48078,0.88691,46.93,34.941,,37.451,7,7,1,6,4,3,1,4,Leave out requantified,Leave out requantified,Median,Median,17.0,18.4,3.0,14.2,774100000,532140000,241970000,231500000,169250000,62249000,328590000,204390000,124200000,11932000,8754700,3177100,202080000,149740000,52340000,,,,1297,2116;2117;3422;6220;6653;6979;8345;11410;17775;18924,True;True;True;True;True;True;True;True;True;True,2723;2724;4388;8222;8743;9194;11096;11097;14937;22971;24420,6437;6438;6439;10065;18639;18640;19803;19804;20884;20885;20886;24985;24986;24987;24988;33508;33509;51788;51789;51790;55052;55053,12115;12116;12117;12118;18530;33804;33805;35868;35869;37872;37873;37874;37875;44852;44853;44854;44855;44856;44857;44858;59430;59431;59432;92260;92261;92262;97881;97882,12115;12118;18530;33804;35868;37872;44852;59432;92260;97881,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1298,quanti,quanti,quanti,quanti
SNX2,-2.09733907645025,0.0178322730168,O60749;D6RC15,O60749,6;2,5;2,5;2,Sorting nexin-2,sp|O60749|SNX2_HUMAN Sorting nexin-2 OS=Homo sapiens OX=9606 GN=SNX2 PE=1 SV=2,2,6,5,5,6,6,1,2,5,5,1,2,5,5,1,2,13.7,11.8,11.8,58.47,519,519;265,0.0,44.939,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46719,1.4495,11.029,11,3,Leave out requantified,0.40319,0.54116,0.23936,0.36214,1.428,1.4867,0.78708,1.1408,14.056,8.0754,,,4,5,1,1,1,1,1,0,Leave out requantified,Leave out requantified,Median,Median,13.7,13.7,2.7,4.6,556140000,369050000,187100000,168690000,117210000,51483000,258440000,158990000,99447000,33402000,26815000,6586600,95613000,66034000,29579000,,,,1298,2101;3338;4281;13572;14461;18919,True;True;True;True;True;False,2707;4291;5481;17634;18755;24414,6399;6400;6401;6402;9871;9872;12421;12422;39380;39381;41996;41997;41998;41999;42000;55039;55040,12036;12037;12038;12039;12040;12041;12042;12043;12044;12045;12046;18244;18245;18246;22653;22654;22655;22656;69569;69570;69571;69572;74170;74171;74172;74173;74174;97862;97863,12038;18244;22653;69572;74173;97863,,,,,-1;-1,protein_1299,quanti,quanti,quanti,quanti
CCDC22,-19.2377634509623,3.96231247025744e-07,O60826,O60826,2,2,2,Coiled-coil domain-containing protein 22,sp|O60826|CCD22_HUMAN Coiled-coil domain-containing protein 22 OS=Homo sapiens OX=9606 GN=CCDC22 PE=1 SV=1,1,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,4.0,4.0,4.0,70.755,627,627,0.0,2.7596,By MS/MS,By MS/MS,,,0.68834,1.5862,25.046,3,1,Plateau,0.65784,0.65198,,,1.6915,1.2999,,,,28.148,,,1,2,0,0,0,1,0,0,Median,Median,Median,Median,1.8,4.0,0.0,0.0,46814000,24639000,22175000,17739000,9644000,8095100,29075000,14995000,14080000,0,0,0,0,0,0,,,,1304,2704;10113,True;True,3488;13358,8114;30060;30061,15059;15060;53579;53580,15060;53580,,,,,-1,protein_1305,imputed MEC,imputed MEC,quanti,quanti
DKC1,1.47254784059358,0.558995219116025,O60832;C9IYT0;H7C0M1;H7C2Q9;H7BZF2;H7C2Q2,O60832;C9IYT0;H7C0M1;H7C2Q9,8;6;5;4;1;1,8;6;5;4;1;1,8;6;5;4;1;1,H/ACA ribonucleoprotein complex subunit 4,sp|O60832|DKC1_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3;tr|C9IYT0|C9IYT0_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 (Fragment) OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=8;tr|H7C0M1|H7C0M1_HUMAN H/AC,6,8,8,8,4,2,5,3,4,2,5,3,4,2,5,3,25.3,25.3,25.3,57.673,514,514;258;229;169;76;207,0.0,12.1,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.22292,0.77647,22.105,17,8,Leave out requantified,0.24319,0.33197,0.23646,0.30055,0.56002,0.62376,0.93393,0.93641,10.747,,13.738,25.339,4,1,7,5,2,1,3,2,Median,Median,Leave out requantified,Median,13.4,3.3,13.4,8.6,1762600000,1465700000,296910000,950120000,824930000,125200000,11454000,8577000,2876800,303380000,244580000,58796000,497680000,387640000,110040000,,,,1305,310;3172;7022;9006;9147;15334;15998;16294,True;True;True;True;True;True;True;True,382;4078;9253;11931;12094;12095;19824;20677;20678;21052,862;863;864;865;9408;9409;21023;26909;27296;27297;44534;46416;46417;46418;46419;46420;46421;46422;47344,1589;1590;1591;1592;17490;17491;38125;48280;48992;48993;78650;82178;82179;82180;82181;82182;82183;82184;82185;82186;82187;84025,1590;17491;38125;48280;48993;78650;82179;84025,,,,,-1;-1;-1;-1;-1;-1,protein_1306,quanti,quanti,quanti,quanti
EDF1,0.00703308466102115,0.987903802064366,O60869,O60869,7,7,7,Endothelial differentiation-related factor 1,sp|O60869|EDF1_HUMAN Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1,1,7,7,7,3,3,4,5,3,3,4,5,3,3,4,5,39.2,39.2,39.2,16.368,148,148,0.0,17.597,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.82748,2.4735,30.212,15,1,Leave out requantified,0.84682,0.9871,0.56251,0.82748,2.7981,2.7235,1.431,2.4735,21.126,11.219,34.18,34.347,3,3,4,5,0,0,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.6,27.0,31.8,27.0,589990000,328230000,261760000,119250000,64969000,54284000,149560000,75257000,74301000,119650000,78324000,41327000,201520000,109680000,91844000,,,,1306,463;464;872;928;929;7059;14173,True;True;True;True;True;True;True,565;566;1096;1173;1174;9302;18395,1258;1259;1260;1261;1262;1263;2539;2715;2716;2717;2718;21137;21138;41144;41145,2243;2244;2245;2246;2247;2248;2249;2250;2251;2252;2253;2254;2255;2256;2257;2258;2259;2260;4588;4947;4948;4949;4950;4951;4952;4953;4954;38342;38343;72717;72718;72719,2249;2257;4588;4947;4951;38342;72719,1037,,131,,-1,protein_1307,quanti,quanti,quanti,quanti
CUTA,-2.00481238722631,0.0671083152736549,O60888;C9IZG4;C9IZQ5,O60888;C9IZG4,3;2;1,3;2;1,3;2;1,Protein CutA,sp|O60888|CUTA_HUMAN Protein CutA OS=Homo sapiens OX=9606 GN=CUTA PE=1 SV=2;tr|C9IZG4|C9IZG4_HUMAN Protein CutA OS=Homo sapiens OX=9606 GN=CUTA PE=1 SV=1,3,3,3,3,3,3,1,3,3,3,1,3,3,3,1,3,33.0,33.0,33.0,19.116,179,179;135;155,0.00058617,2.6,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.25389,0.83543,44.764,11,0,Leave out requantified,0.24874,0.4128,0.25389,0.35515,0.83543,1.2102,0.83526,1.1218,38.565,49.935,,40.204,4,3,1,3,0,0,0,0,Leave out requantified,Leave out requantified,Median,Leave out requantified,33.0,33.0,15.1,33.0,620790000,461310000,159480000,225200000,178180000,47016000,206560000,144950000,61610000,33422000,24555000,8866900,155610000,113620000,41985000,,,,1308,8321;14937;15889,True;True;True,11062;19328;20547,24898;24899;24900;43372;43373;43374;43375;43376;46085;46086;46087,44681;76530;76531;81550;81551;81552;81553;81554,44681;76530;81551,,,,,-1;-1;-1,protein_1309,quanti,quanti,quanti,quanti
WDR1,-2.74536954522221,0.0472744429325591,O75083;D6RD66,O75083;D6RD66,20;11,20;11,20;11,WD repeat-containing protein 1,sp|O75083|WDR1_HUMAN WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4;tr|D6RD66|D6RD66_HUMAN WD repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=1,2,20,20,20,12,14,2,9,12,14,2,9,12,14,2,9,55.8,55.8,55.8,66.193,606,606;245,0.0,31.254,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30573,0.93409,19.186,38,8,Leave out requantified,0.26297,0.34513,0.24688,0.32991,0.90679,0.95565,0.82506,1.034,22.725,16.284,20.836,18.144,14,14,2,8,3,0,2,3,Leave out requantified,Leave out requantified,Median,Leave out requantified,33.3,43.7,3.5,23.1,2353400000,1733900000,619500000,803590000,616710000,186880000,996320000,713110000,283210000,62812000,47763000,15048000,490660000,356290000,134370000,,,,1310,779;2944;3813;5373;5431;5721;6296;6676;7586;7720;10898;11700;12008;15078;16555;16899;17920;18263;18264;18872,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,966;3798;4894;7021;7098;7480;8312;8769;9949;10125;14333;15290;15683;19496;21372;21843;23180;23587;23588;24354,2216;8820;8821;11162;15970;16107;16917;18848;19864;19865;22598;22599;22600;22973;22974;32243;32244;32245;34307;35168;35169;35170;35171;35172;43773;48071;48072;48073;49246;52300;52301;52302;53197;53198;53199;53200;53201;54903;54904;54905,3980;3981;16412;16413;16414;16415;16416;20465;29038;29267;30644;34166;35991;35992;35993;35994;40927;40928;40929;40930;40931;40932;40933;40934;41613;41614;41615;57287;57288;57289;60739;62303;62304;62305;62306;62307;62308;62309;62310;62311;62312;62313;62314;77274;85422;85423;85424;85425;85426;85427;85428;87604;93269;93270;93271;93272;93273;93274;93275;94776;94777;94778;94779;94780;94781;94782;94783;94784;97641;97642;97643,3981;16415;20465;29038;29267;30644;34166;35993;40931;41613;57288;60739;62305;77274;85423;87604;93270;94779;94784;97643,1040;1041,,21;155,,-1;-1,protein_1311,quanti,quanti,quanti,quanti
CPNE3,-0.388344505221983,0.540791307972891,O75131;A0A087WYQ3;E5RHZ0;H0YB26;A0A087WXR6;E5RFT7;A0A087WUS8;Q86YQ8;Q96A23;Q9UBL6;Q8IYJ1;Q9HCH3;O95741,O75131,11;5;4;4;3;2;2;1;1;1;1;1;1,11;5;4;4;3;2;2;1;1;1;1;1;1,10;5;4;4;3;2;2;0;0;0;0;0;0,Copine-3,sp|O75131|CPNE3_HUMAN Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1,13,11,11,10,6,4,7,5,6,4,7,5,6,4,6,4,21.6,21.6,21.6,60.13,537,537;234;153;262;139;79;135;564;557;633;553;593;557,0.0,20.754,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28245,0.74859,17.594,23,11,Leave out requantified,0.28928,0.35185,0.25043,0.30867,0.95155,0.95574,0.66199,0.81135,181.79,21.33,30.083,21.402,6,4,8,5,4,1,4,2,Median,Leave out requantified,Leave out requantified,Leave out requantified,12.7,7.3,12.8,11.0,1461900000,989860000,471990000,526800000,299320000,227480000,270030000,192870000,77159000,400230000,306200000,94034000,264800000,191480000,73314000,,,,1311,2652;5522;6786;10859;14564;14565;14767;14768;15258;16307;17853,True;True;True;True;True;True;True;True;True;True;True,3419;3420;7215;8941;14287;18874;18875;19117;19118;19716;21066;23098,7985;7986;7987;16353;20309;32139;32140;32141;32142;42271;42272;42273;42877;42878;42879;42880;42881;44293;47368;52109;52110;52111;52112,14874;14875;14876;14877;29653;36875;36876;57080;57081;57082;57083;57084;57085;57086;57087;57088;74684;74685;74686;74687;75643;75644;75645;75646;75647;75648;78171;84059;92919;92920;92921;92922;92923;92924,14874;29653;36875;57082;74684;74686;75644;75647;78171;84059;92922,1042,,184,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1312,quanti,quanti,quanti,quanti
PDCD6,0.0402673058241021,0.936130601909955,O75340;A0A024QZ42;E7EPW6;H0Y9X3;A0A087WZ38;D6RA21;Q86W51,O75340;A0A024QZ42,5;3;2;2;2;1;1,5;3;2;2;2;1;1,5;3;2;2;2;1;1,Programmed cell death protein 6,"sp|O75340|PDCD6_HUMAN Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1;tr|A0A024QZ42|A0A024QZ42_HUMAN HCG1985580, isoform CRA_c OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1",7,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,49.2,49.2,49.2,21.868,191,191;121;73;104;123;39;55,0.0,10.45,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42314,1.1902,11.825,13,1,Leave out requantified,0.39962,0.47139,0.36448,0.42738,1.1699,1.2135,1.4204,1.1985,10.488,5.3244,26.529,16.391,3,4,3,3,0,0,1,0,Leave out requantified,Leave out requantified,Median,Leave out requantified,28.3,28.3,29.8,25.1,534880000,365690000,169190000,89850000,63795000,26055000,144470000,91495000,52971000,168710000,123330000,45383000,131860000,87075000,44784000,,,,1316,283;759;10265;13970;18526,True;True;True;True;True,345;938;13542;18124;23912,754;755;756;757;2128;30472;30473;30474;30475;40520;53917;53918;53919,1358;1359;3807;54219;54220;54221;54222;54223;54224;54225;54226;54227;54228;54229;71548;71549;95970;95971;95972;95973;95974;95975;95976;95977,1359;3807;54220;71548;95975,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1317,quanti,quanti,quanti,quanti
H2AFY,1.78332351216958,0.0179582237612258,O75367;B4DJC3;D6RCF2,O75367;B4DJC3,11;8;4,11;8;4,9;7;2,Core histone macro-H2A.1;Histone H2A,sp|O75367|H2AY_HUMAN Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=4;tr|B4DJC3|B4DJC3_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=1,3,11,11,9,3,4,10,7,3,4,10,7,2,3,8,5,37.4,37.4,32.8,39.617,372,372;200;165,0.0,20.501,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27488,0.84482,23.502,31,12,Leave out requantified,0.29949,0.34738,0.1879,0.28187,1.0888,0.88902,0.69019,0.91101,80.056,21.153,13.394,26.508,3,4,13,11,1,0,7,4,Median,Leave out requantified,Leave out requantified,Leave out requantified,11.8,16.4,37.1,27.4,1839900000,1411100000,428820000,159340000,112300000,47039000,194760000,138510000,56252000,890150000,706190000,183960000,595660000,454090000,141570000,,,,1319,193;754;4417;4861;5728;5946;7815;9411;11972;13618;14020,True;True;True;True;True;True;True;True;True;True;True,234;932;5649;6286;7489;7490;7816;10271;12461;15637;17694;17695;17696;18195;18196,524;525;2114;2115;2116;2117;12834;12835;12836;14259;16934;16935;16936;16937;16938;17721;17722;23275;28104;35065;35066;35067;39531;39532;39533;39534;39535;40697;40698;40699;40700;40701,948;949;3775;3776;3777;3778;3779;3780;3781;3782;3783;3784;3785;3786;23388;23389;23390;26078;30669;30670;30671;30672;30673;30674;32097;32098;42086;50354;62111;69871;69872;69873;69874;69875;71943;71944;71945;71946;71947;71948;71949;71950;71951,949;3785;23390;26078;30669;32097;42086;50354;62111;69872;71947,1046;1047,,18;307,,-1;-1;-1,protein_1320,quanti,quanti,quanti,quanti
