Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity CIAO1-N1,Intensity CIAO1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1;H0YF16,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,10,10,13.7,23.551803060018,24.5231195060782,27.355146740306,27.163653668047
Q9H1A4;H0Y564;A0A2R8YF63;F8WAS1,Q9H1A4;H0Y564,13;8;2;1,13;8;2;1,13;8;2;1,Anaphase-promoting complex subunit 1,ANAPC1,sp|Q9H1A4|APC1_HUMAN Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1;tr|H0Y564|H0Y564_HUMAN Anaphase-promoting complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1,13,13,8.4,4.29321427599828,4.26311898798562,27.1205035214227,26.0072937181229
Q9UJX5;D6RAP6;D6RFM7,Q9UJX5,14;3;2,14;3;2,14;3;2,Anaphase-promoting complex subunit 4,ANAPC4,sp|Q9UJX5|APC4_HUMAN Anaphase-promoting complex subunit 4 OS=Homo sapiens OX=9606 GN=ANAPC4 PE=1 SV=2,14,14,23.9,25.9699169504118,22.6965940393245,27.4883811401795,27.7180342463976
Q8IWZ3;H7C2F5;H0Y4P6;D6RHC4;A0A0A0MQZ8;H0Y7Y3;H0Y785;H0Y472;H7C2E1,Q8IWZ3,42;18;11;10;8;8;8;8;1,25;7;10;7;8;8;8;8;1,6;0;6;0;6;6;5;5;1,Ankyrin repeat and KH domain-containing protein 1,ANKHD1,sp|Q8IWZ3|ANKH1_HUMAN Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,42,6,22.3,27.1700688482037,25.822696076746,28.7849093177969,28.3651122833335
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,4.29321427599828,4.26311898798562,22.7074829937707,24.4367608419954
Q86XL3;F5H1D4;F5H6J0,Q86XL3,7;2;1,7;2;1,7;2;1,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4,7,7,14.5,26.0895823759139,24.8827833337449,24.3336085240731,22.8641211411291
O75179;H0YM23;H0YLQ3;A0A1W2PQ15,O75179;H0YM23,54;52;21;20,54;52;21;20,37;35;12;12,Ankyrin repeat domain-containing protein 17,ANKRD17,sp|O75179|ANR17_HUMAN Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3;tr|H0YM23|H0YM23_HUMAN Ankyrin repeat domain-containing protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=1,54,37,28.1,30.1434568638702,29.1059949630014,31.4862053821408,30.3933549403517
Q8NF67,Q8NF67,6,6,5,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,ANKRD20A12P,sp|Q8NF67|A2012_HUMAN Putative ankyrin repeat domain-containing protein 20A12 pseudogene OS=Homo sapiens OX=9606 GN=ANKRD20A12P PE=5 SV=3,6,5,21.7,26.2352580047989,25.201499379424,27.7935859461941,25.2385598479482
O15084;B4DIW9;Q8N8A2;H7C4A0;H7C209;A0A2R8Y7Y4,O15084;B4DIW9,14;11;1;1;1;1,14;11;1;1;1;1,14;11;1;1;1;1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,sp|O15084|ANR28_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5;tr|B4DIW9|B4DIW9_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens,14,14,19.3,27.3500958714258,25.5027296055349,26.9492678220172,26.0547174148817
Q9ULJ7,Q9ULJ7,3,3,3,Ankyrin repeat domain-containing protein 50,ANKRD50,sp|Q9ULJ7|ANR50_HUMAN Ankyrin repeat domain-containing protein 50 OS=Homo sapiens OX=9606 GN=ANKRD50 PE=1 SV=4,3,3,3.2,22.0958399670049,28.3635257570109,4.42522191267267,4.39210376514955
Q8NB46,Q8NB46,6,6,6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52,sp|Q8NB46|ANR52_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Homo sapiens OX=9606 GN=ANKRD52 PE=1 SV=3,6,6,8.6,23.1259866214458,23.9897118618365,25.5926910715236,25.0229722186525
Q92625;A0A3B3ISP1;A0A3B3ITU5,Q92625;A0A3B3ISP1,25;24;9,25;24;9,25;24;9,Ankyrin repeat and SAM domain-containing protein 1A,ANKS1A,sp|Q92625|ANS1A_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=4;tr|A0A3B3ISP1|A0A3B3ISP1_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=1,25,25,31.4,27.3250019315589,25.2676376796368,29.0798417616539,29.1521161891028
Q9NQW6;H7C3S1;H7C1K5;H7C1C2;C9JJT6;H7C0Y6;H7C167,Q9NQW6,40;10;9;7;4;1;1,40;10;9;7;4;1;1,40;10;9;7;4;1;1,Actin-binding protein anillin,ANLN,sp|Q9NQW6|ANLN_HUMAN Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,40,40,42.0,28.8911648674536,27.4418184568157,30.17771534396,29.986715406814
Q9NW15;C9IZD0;C9JA49;C9IYD3;C9JQC9;C9JPY2;H7C3N6;C9J670,Q9NW15,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,Anoctamin-10,ANO10,sp|Q9NW15|ANO10_HUMAN Anoctamin-10 OS=Homo sapiens OX=9606 GN=ANO10 PE=1 SV=2,3,3,6.5,24.3127134807653,25.2476418853497,24.5230086341165,24.294950201272
Q9BTT0;E9PPH5;Q5TB19;E9PLC4,Q9BTT0;E9PPH5,3;2;1;1,3;2;1;1,3;2;1;1,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1;tr|E9PPH5|E9PPH5_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens OX=9606 GN=ANP32,3,3,12.3,24.706987904619,24.4512991642625,26.6500671970334,25.5374184365192
P04083;Q5T3N1;Q5T3N0,P04083;Q5T3N1,22;11;7,22;11;7,22;11;7,Annexin A1;Annexin,ANXA1,sp|P04083|ANXA1_HUMAN Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2;tr|Q5T3N1|Q5T3N1_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=1,22,22,67.3,29.985087235806,28.857479003123,29.701257673839,29.5971887333906
P07355;H0YN42;A6NMY6;H0YM50;H0YMU9;H0YMD0;H0YN28;H0YL33;H0YNP5;H0YKS4;H0YMM1;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YNA0;H0YMW4;H0YKL9;H0YKV8;H0YN52;H0YMD9;H0YNB8;H0YKN4;H0YLE2,P07355;H0YN42;A6NMY6;H0YM50;H0YMU9;H0YMD0;H0YN28;H0YL33;H0YNP5,43;35;30;30;30;30;23;23;22;20;14;12;12;12;12;11;10;10;9;8;7;5;5;2,43;35;30;30;30;30;23;23;22;20;14;12;12;12;12;11;10;10;9;8;7;5;5;2,43;35;30;30;30;30;23;23;22;20;14;12;12;12;12;11;10;10;9;8;7;5;5;2,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;tr|H0YN42|H0YN42_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;sp|A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5,43,43,83.5,34.0101363771024,32.8468877870033,33.0026789303471,33.1444144906163
P08758;E9PHT9;D6RBL5;D6RBE9,P08758;E9PHT9;D6RBL5,4;3;2;1,4;3;2;1,4;3;2;1,Annexin A5;Annexin,ANXA5,sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;tr|E9PHT9|E9PHT9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|D6RBL5|D6RBL5_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1,4,4,14.7,4.29321427599828,4.26311898798562,24.7476050131339,25.0764714887988
O00203;F5GWU4;F5GYB0;A0A590UK30;A0A590UJ44;A0A590UK69;H0YBD0;A0A590UJE5,O00203,23;2;1;1;1;1;1;1,23;2;1;1;1;1;1;1,20;0;0;0;0;0;1;0,AP-3 complex subunit beta-1,AP3B1,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,23,20,25.8,27.3269741738905,26.5571020868953,27.9656521959396,27.4970895873912
O14617;A0A2R8Y611;A0A2R8Y4J3;A0A087WYN6;K7ELX8,O14617;A0A2R8Y611;A0A2R8Y4J3,19;13;11;4;1,19;13;11;4;1,19;13;11;4;1,AP-3 complex subunit delta-1,AP3D1,sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y611|A0A2R8Y611_HUMAN AP-3 complex subunit delta-1 (Fragment) OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y4J3|A0A2R8Y4J3_HUMAN AP-3 complex subu,19,19,21.4,26.8235952323007,26.9059831591297,28.1783091678173,27.5967623420646
O00213;J3KPL8;A0A075B7G8;A0A087X0V7;A0A087WYH9;V9GYR7;V9GY97,O00213;J3KPL8;A0A075B7G8;A0A087X0V7;A0A087WYH9;V9GYR7,9;9;8;7;7;5;3,9;9;8;7;7;5;3,9;9;8;7;7;5;3,Amyloid beta A4 precursor protein-binding family B member 1,APBB1,sp|O00213|APBB1_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV=2;tr|J3KPL8|J3KPL8_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV=1;tr|A0,9,9,17.7,27.0131109646008,26.5823331284411,26.3792634677559,26.1567470797613
Q92870;H0YAJ5;G5E9Y1;H0Y9U9;H0YA92,Q92870;H0YAJ5;G5E9Y1,4;4;4;1;1,4;4;4;1;1,4;4;4;1;1,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,sp|Q92870|APBB2_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 OS=Homo sapiens OX=9606 GN=APBB2 PE=1 SV=3;tr|H0YAJ5|H0YAJ5_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 (Fragment) OS=Homo sapiens OX=9606 GN=APBB2 PE=1,4,4,6.1,4.29321427599828,4.26311898798562,24.4466375833564,25.3485433887186
P25054;E9PFT7;A0A2Q2SV78;D6RFL6;R4GMU6;E7EMH9,P25054;E9PFT7;A0A2Q2SV78,6;6;5;1;1;1,6;6;5;1;1;1,6;6;5;1;1;1,Adenomatous polyposis coli protein,APC,sp|P25054|APC_HUMAN Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2;tr|E9PFT7|E9PFT7_HUMAN Adenomatous polyposis coli protein (Fragment) OS=Homo sapiens OX=9606 GN=APC PE=1 SV=8;tr|A0A2Q2SV78|A0A2Q2SV78_HUMAN Adenomatous polypos,6,6,3.5,20.4329822362,23.1754434773266,25.6391761825005,25.8322422001827
Q9BZZ5;G3V1C3;E9PQK6;H0YER7,Q9BZZ5;G3V1C3,6;6;2;2,6;6;2;2,6;6;2;2,Apoptosis inhibitor 5,API5,sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3;tr|G3V1C3|G3V1C3_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=1,6,6,15.3,25.5975333952232,25.0736551989417,26.8047665721425,26.4730988962387
Q8WWN8;G5E9Y3;Q05CH1,Q8WWN8;G5E9Y3,5;5;2,5;5;2,5;5;2,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",ARAP3,"sp|Q8WWN8|ARAP3_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ARAP3 PE=1 SV=1;tr|G5E9Y3|G5E9Y3_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX",5,5,4.5,25.8659435307717,25.2410437667881,24.5400821474755,23.2029942454171
P48444;B0YIW6;Q6P1Q5;E9PK34,P48444;B0YIW6;Q6P1Q5,18;17;9;3,18;17;9;3,18;17;9;3,Coatomer subunit delta,ARCN1,sp|P48444|COPD_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|B0YIW6|B0YIW6_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|Q6P1Q5|Q6P1Q5_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 P,18,18,37.0,27.7511090298299,26.0379168888293,27.5778032442053,27.543109840173
P61204;P84077;F5H423;C9J1Z8;P18085;F5H0C7;C9JPM4;H0YGG7;C9JAK5;F5H1V1;F5H6T5;F8WDB3,P61204;P84077;F5H423;C9J1Z8,10;10;8;5;4;4;4;2;2;1;1;1,10;10;8;5;4;4;4;2;2;1;1;1,5;5;3;0;0;0;0;2;0;0;0;0,ADP-ribosylation factor 3;ADP-ribosylation factor 1,ARF3;ARF1;ARF5,sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2;sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens OX=9606 GN=ARF1 PE=1 SV=2;tr|F5H423|F5H423_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV,10,5,56.4,26.5000415653643,26.4046573385215,27.1316334308385,27.082432836852
Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6;E5RHH7;F8VWB3;H0YIQ0;E5RGL6;E5RIU2,Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6,25;22;17;17;14;7;6;4;4;2,25;22;17;17;14;7;6;4;4;2,25;22;17;17;14;7;6;4;4;2,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,sp|Q8N6T3|ARFG1_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2;tr|F8VWH9|F8VWH9_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=1;tr|E5RHC5|E5RHC5_,25,25,61.1,30.7169392960713,29.85977601733,30.3544743119364,30.5957491573115
Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;H0YDN9;E9PIY6;E9PMU9;E9PMR9;E9PM63;E9PJT7;E9PK28;E9PN48;H0YDX1;E9PM18;H0YF45,Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;H0YDN9;E9PIY6,12;12;12;10;6;6;5;3;3;3;3;3;2;1;1,11;11;11;9;6;5;4;2;2;2;2;2;1;1;1,10;10;10;8;6;4;3;1;1;1;1;1;1;0;1,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,sp|Q8N6H7|ARFG2_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|A0A0D9SF70|A0A0D9SF70_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|G5E9L0,12,10,37.4,28.1605315221111,26.6534880148757,27.7720318031937,28.1520436377853
Q9NP61;H0Y6A0;B0QYV8;B0QYV9,Q9NP61;H0Y6A0,18;10;5;2,18;10;5;2,17;10;4;1,ADP-ribosylation factor GTPase-activating protein 3,ARFGAP3,sp|Q9NP61|ARFG3_HUMAN ADP-ribosylation factor GTPase-activating protein 3 OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1;tr|H0Y6A0|H0Y6A0_HUMAN ADP-ribosylation factor GTPase-activating protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1,18,17,47.7,28.7993723915341,27.5696424065049,28.3020380299053,28.0577567798463
Q9Y6D5,Q9Y6D5,5,5,5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,sp|Q9Y6D5|BIG2_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,5,5,3.9,22.9427063525132,24.8487138578157,25.7719059080812,24.198055298081
Q5TH69,Q5TH69,5,5,5,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,ARFGEF3,sp|Q5TH69|BIG3_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Homo sapiens OX=9606 GN=ARFGEF3 PE=1 SV=3,5,5,3.7,4.29321427599828,4.26311898798562,25.5266842922599,25.0276195359691
P53367,P53367,4,4,4,Arfaptin-1,ARFIP1,sp|P53367|ARFP1_HUMAN Arfaptin-1 OS=Homo sapiens OX=9606 GN=ARFIP1 PE=1 SV=2,4,4,17.2,25.3581687954941,25.369222161554,25.574183507549,25.6185732513347
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,22.8976389263138,19.9523374344187,23.3003369184145,21.8010452032896
Q07960;H0YE29;E9PNR6,Q07960;H0YE29,19;15;8,19;15;8,19;15;8,Rho GTPase-activating protein 1,ARHGAP1,sp|Q07960|RHG01_HUMAN Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1;tr|H0YE29|H0YE29_HUMAN Rho GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,19,19,61.0,29.7800037281135,27.3473948267971,28.5822972329149,29.1683003414633
Q8IWW6;Q1RLN5;H0Y5D8,Q8IWW6;Q1RLN5,10;10;2,10;10;2,10;10;2,Rho GTPase-activating protein 12,ARHGAP12,sp|Q8IWW6|RHG12_HUMAN Rho GTPase-activating protein 12 OS=Homo sapiens OX=9606 GN=ARHGAP12 PE=1 SV=1;tr|Q1RLN5|Q1RLN5_HUMAN ARHGAP12 protein OS=Homo sapiens OX=9606 GN=ARHGAP12 PE=1 SV=1,10,10,19.6,26.47401236186,25.5259678256534,25.9788451972157,25.8456785914294
Q68EM7;I3L4P6;C9IZD3,Q68EM7;I3L4P6;C9IZD3,2;1;1,2;1;1,2;1;1,Rho GTPase-activating protein 17,ARHGAP17,sp|Q68EM7|RHG17_HUMAN Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|I3L4P6|I3L4P6_HUMAN Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|C9IZD3|C9IZD3_HUMAN Rho GTPase-activati,2,2,2.6,4.29321427599828,4.26311898798562,24.4218819696263,24.2214767900315
Q5T5U3;A0A1B0GV73;A0A087WW76;A0A452Q6Z5;A0A1B0GTZ9;E7ESW5;Q5JSD8;H0Y468;A0A1B0GW11;H0Y5T2,Q5T5U3;A0A1B0GV73;A0A087WW76;A0A452Q6Z5;A0A1B0GTZ9;E7ESW5,10;8;8;8;5;5;4;2;1;1,10;8;8;8;5;5;4;2;1;1,10;8;8;8;5;5;4;2;1;1,Rho GTPase-activating protein 21,ARHGAP21,sp|Q5T5U3|RHG21_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=2;tr|A0A1B0GV73|A0A1B0GV73_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=1;tr|A0A087WW76|A0A087WW76_HUMAN Rho GTPase-act,10,10,6.1,4.29321427599828,4.26311898798562,26.9868510048254,26.6600333344167
Q52LW3;F8VWZ8,Q52LW3;F8VWZ8,34;26,34;26,34;26,Rho GTPase-activating protein 29,ARHGAP29,sp|Q52LW3|RHG29_HUMAN Rho GTPase-activating protein 29 OS=Homo sapiens OX=9606 GN=ARHGAP29 PE=1 SV=2;tr|F8VWZ8|F8VWZ8_HUMAN Rho GTPase-activating protein 29 OS=Homo sapiens OX=9606 GN=ARHGAP29 PE=1 SV=1,34,34,33.8,29.2463783674683,28.4196898811652,28.5065782896191,28.0234270488847
Q9NRY4,Q9NRY4,7,7,7,Rho GTPase-activating protein 35,ARHGAP35,sp|Q9NRY4|RHG35_HUMAN Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3,7,7,5.7,4.29321427599828,4.26311898798562,26.7356995905075,26.9789106418864
Q13017;A0A0A0MSK6;H0YK04,Q13017;A0A0A0MSK6,6;6;1,6;6;1,6;6;1,Rho GTPase-activating protein 5,ARHGAP5,sp|Q13017|RHG05_HUMAN Rho GTPase-activating protein 5 OS=Homo sapiens OX=9606 GN=ARHGAP5 PE=1 SV=2;tr|A0A0A0MSK6|A0A0A0MSK6_HUMAN Rho GTPase-activating protein 5 OS=Homo sapiens OX=9606 GN=ARHGAP5 PE=1 SV=1,6,6,5.1,4.29321427599828,4.26311898798562,25.7821179889762,25.4316057403059
P52565;J3QQX2;J3KTF8;J3KRE2,P52565;J3QQX2;J3KTF8;J3KRE2,2;2;2;1,2;2;2;1,2;2;2;1,Rho GDP-dissociation inhibitor 1,ARHGDIA,sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3;tr|J3QQX2|J3QQX2_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=1;tr|J3KTF8|J3KTF8_HUMAN Rho GDP-dissociation inhibitor 1,2,2,14.2,24.8333526155622,24.3469216236306,25.99595566793,26.137156577394
O15013;H0YAN8;E9PB39,O15013;H0YAN8,5;5;1,5;5;1,5;5;1,Rho guanine nucleotide exchange factor 10,ARHGEF10,sp|O15013|ARHGA_HUMAN Rho guanine nucleotide exchange factor 10 OS=Homo sapiens OX=9606 GN=ARHGEF10 PE=1 SV=4;tr|H0YAN8|H0YAN8_HUMAN Rho guanine nucleotide exchange factor 10 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGEF10 PE=1 SV=1,5,5,6.9,25.1676401807797,23.1575066902678,26.0698506104186,26.3216687217357
O15085,O15085,5,5,5,Rho guanine nucleotide exchange factor 11,ARHGEF11,sp|O15085|ARHGB_HUMAN Rho guanine nucleotide exchange factor 11 OS=Homo sapiens OX=9606 GN=ARHGEF11 PE=1 SV=1,5,5,4.2,4.29321427599828,4.26311898798562,25.2019106220044,24.557832469261
Q5VV41;B0QZD3;B0QZD4,Q5VV41,8;2;2,8;2;2,8;2;2,Rho guanine nucleotide exchange factor 16,ARHGEF16,sp|Q5VV41|ARHGG_HUMAN Rho guanine nucleotide exchange factor 16 OS=Homo sapiens OX=9606 GN=ARHGEF16 PE=1 SV=1,8,8,15.4,24.8565710449539,24.4866484676508,25.2846095050618,25.058334981233
A0A3B3IPE9;A0A087WZG4;Q6ZSZ5;A0A590UK10;M0QZS0,A0A3B3IPE9;A0A087WZG4;Q6ZSZ5;A0A590UK10;M0QZS0,12;12;11;10;9,12;12;11;10;9,12;12;11;10;9,Rho guanine nucleotide exchange factor 18,ARHGEF18,tr|A0A3B3IPE9|A0A3B3IPE9_HUMAN Rho guanine nucleotide exchange factor 18 OS=Homo sapiens OX=9606 GN=ARHGEF18 PE=1 SV=2;tr|A0A087WZG4|A0A087WZG4_HUMAN Rho guanine nucleotide exchange factor 18 OS=Homo sapiens OX=9606 GN=ARHGEF18 PE=1 SV=3;sp|Q6ZSZ5|ARHGI_HU,12,12,18.4,24.3515118980805,25.7193927902064,26.9737751294449,26.3088138107548
O14497;H0Y488;A0A1B0GTU5;A0A087WUV6;H0YCU6,O14497;H0Y488;A0A1B0GTU5,25;23;23;7;2,23;21;21;6;2,23;21;21;6;2,AT-rich interactive domain-containing protein 1A,ARID1A,sp|O14497|ARI1A_HUMAN AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3;tr|H0Y488|H0Y488_HUMAN AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=2;tr|A0A1B0GTU5|A0A1B0GTU5_,25,23,16.1,28.6867899900265,27.4411060734381,26.3195341751154,25.7676189243822
A0A3F2YNW7;Q8NFD5;A0A1B0GUC6;A0A1B0GUG2;A0A1B0GU09,A0A3F2YNW7;Q8NFD5,27;26;1;1;1,27;26;1;1;1,2;1;1;1;1,AT-rich interactive domain-containing protein 1B,ARID1B,tr|A0A3F2YNW7|A0A3F2YNW7_HUMAN AT-rich interactive domain-containing protein 1B OS=Homo sapiens OX=9606 GN=ARID1B PE=1 SV=1;sp|Q8NFD5|ARI1B_HUMAN AT-rich interactive domain-containing protein 1B OS=Homo sapiens OX=9606 GN=ARID1B PE=1 SV=2,27,2,16.6,29.1520920057357,28.0369009321798,26.7099085806097,25.5614788448863
