Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity POC1B-N1,Intensity POC1B-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;I3L1M4;A0A5K1VW72;J3QS00;A0A5F9ZHZ9,P51648;J3QRD1;A0A5F9ZI12;A0A5F9ZHI5;A0A5F9ZGX4;A0A5F9ZHN9;I3L1M4;A0A5K1VW72,3;3;3;3;3;3;2;2;1;1,3;3;3;3;3;3;2;2;1;1,3;3;3;3;3;3;2;2;1;1,Fatty aldehyde dehydrogenase,ALDH3A2,sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|J3QRD1|J3QRD1_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZI12|A0A5F9ZI12_HUMAN Aldehy,3,3,8.0,4.12024628707503,4.14613732404923,25.3963021742974,25.1967053728
P04075;H3BMQ8;H3BUH7;H3BR04;H3BPS8;H3BQN4;J3KPS3;H3BU78,P04075;H3BMQ8;H3BUH7;H3BR04;H3BPS8;H3BQN4;J3KPS3;H3BU78,2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;1,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,ALDOA,sp|P04075|ALDOA_HUMAN Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2;tr|H3BMQ8|H3BMQ8_HUMAN Fructose-bisphosphate aldolase A (Fragment) OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=1;tr|H3BUH7|H3BUH7_HUMAN Fructose-bisphosphate ald,2,2,7.1,25.1071603620027,24.9457452998849,4.49387385714151,4.39812296881927
Q8TCU4;A0A087WV20;A0A087WTU9;H7C1D9;A0A494BZW1,Q8TCU4;A0A087WV20;A0A087WTU9,53;53;53;22;7,53;53;53;22;7,53;53;53;22;7,Alstrom syndrome protein 1,ALMS1,sp|Q8TCU4|ALMS1_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=4;tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;tr|A0A087WTU9|A0A087WTU9_HUMAN Alstrom syndrome protein 1 OS=Ho,53,53,21.9,4.12024628707503,4.14613732404923,30.2168551829906,29.3583784255552
Q86V81;E9PB61,Q86V81;E9PB61,3;3,3;3,3;3,THO complex subunit 4,ALYREF,sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3;tr|E9PB61|E9PB61_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1,3,3,17.1,4.12024628707503,4.14613732404923,24.9518040577262,24.9272339790603
Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1;H0YF16,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,10,10,13.7,4.12024628707503,4.14613732404923,27.355146740306,27.4501823871732
Q9H1A4;H0Y564;F8WAS1;A0A2R8YF63,Q9H1A4;H0Y564,13;7;2;1,13;7;2;1,13;7;2;1,Anaphase-promoting complex subunit 1,ANAPC1,sp|Q9H1A4|APC1_HUMAN Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1;tr|H0Y564|H0Y564_HUMAN Anaphase-promoting complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1,13,13,8.5,24.3010350529749,23.9827771975262,26.9828318992247,26.0072937181229
Q9UJX5;D6RAP6;D6RFM7,Q9UJX5,12;3;2,12;3;2,12;3;2,Anaphase-promoting complex subunit 4,ANAPC4,sp|Q9UJX5|APC4_HUMAN Anaphase-promoting complex subunit 4 OS=Homo sapiens OX=9606 GN=ANAPC4 PE=1 SV=2,12,12,20.4,4.12024628707503,4.14613732404923,27.4883811401795,27.2443607862179
A0A5F9ZH58;A0A5F9ZH70;A0A5F9ZI30;A0A5F9ZI53;A0A5F9ZH30;A0A5F9ZH35;A0A5F9ZHY6;A0A5F9ZHA1;A0A5F9ZHC9;A0A5F9ZGZ5;A0A5F9ZHR2;A0A5F9ZHL9;A0A5F9ZHJ4;A0A5F9ZI73;A0A5F9ZGY4;A0A5F9ZGX8;A0A5F9ZI69;A0A5F9ZH38;A0A5F9ZI40;A0A5F9ZHE4;A0A5F9ZI65;A0A5F9ZGS5;A0A5F9ZHL5;A0A5F9ZH19;A0A5F9ZHN5;A0A5F9ZI18;A0A5F9ZH34;I6L894;A0A5F9ZGY3;A0A5F9ZHG3;A0A5F9ZHR8;D6RHE1;A0A5F9ZI56;A0A5F9ZI81;A0A5F9ZHJ6;A0A5F9ZHQ5;Q01484;A0A5F9ZI15;A0A5F9ZGS7;A0A5F9ZGZ1;A0A5F9ZH39;A0A5F9ZHD2;A0A5F9ZGX3;A0A5F9ZHS1;A0A5F9ZGY1;A0A5F9ZHT4;A0A5F9ZI46;A0A5F9ZHT8;A0A5F9ZI36;A0A5F9ZH17;A0A5F9ZHE2;A0A5F9ZHL3;A0A5F9ZH03;A0A5F9ZI08;A0A5F9ZHN0;A0A5F9ZHQ3;A0A5F9ZHF7;A0A5F9ZHM6;A0A5F9ZI45;E9PHW9;E9PCH6;A0A0U1RQN6;A0A5F9ZH18;A0A5F9ZH10;A0A5F9ZH99;A0A5F9ZI16;A0A669KB19;A0A5F9ZHV4;B7Z651;H0Y8Y2;H0Y931;A0A5F9ZI41;A0A5K1VW73;H0YAG3;D6RIY9,A0A5F9ZH58;A0A5F9ZH70;A0A5F9ZI30;A0A5F9ZI53;A0A5F9ZH30;A0A5F9ZH35;A0A5F9ZHY6;A0A5F9ZHA1;A0A5F9ZHC9;A0A5F9ZGZ5;A0A5F9ZHR2;A0A5F9ZHL9;A0A5F9ZHJ4;A0A5F9ZI73;A0A5F9ZGY4;A0A5F9ZGX8;A0A5F9ZI69;A0A5F9ZH38;A0A5F9ZI40;A0A5F9ZHE4;A0A5F9ZI65;A0A5F9ZGS5;A0A5F9ZHL5;A0A5F9ZH19;A0A5F9ZHN5;A0A5F9ZI18;A0A5F9ZH34;I6L894;A0A5F9ZGY3;A0A5F9ZHG3;A0A5F9ZHR8;D6RHE1;A0A5F9ZI56;A0A5F9ZI81;A0A5F9ZHJ6;A0A5F9ZHQ5;Q01484;A0A5F9ZI15;A0A5F9ZGS7;A0A5F9ZGZ1;A0A5F9ZH39;A0A5F9ZHD2;A0A5F9ZGX3;A0A5F9ZHS1;A0A5F9ZGY1;A0A5F9ZHT4;A0A5F9ZI46;A0A5F9ZHT8;A0A5F9ZI36;A0A5F9ZH17;A0A5F9ZHE2;A0A5F9ZHL3;A0A5F9ZH03;A0A5F9ZI08;A0A5F9ZHN0;A0A5F9ZHQ3;A0A5F9ZHF7;A0A5F9ZHM6;A0A5F9ZI45;E9PHW9;E9PCH6;A0A0U1RQN6;A0A5F9ZH18;A0A5F9ZH10;A0A5F9ZH99;A0A5F9ZI16;A0A669KB19;A0A5F9ZHV4;B7Z651;H0Y8Y2;H0Y931,26;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;24;24;24;24;24;24;24;24;24;24;24;24;24;23;23;23;23;23;23;23;23;23;23;23;23;22;20;19;16;16;16;16;16;16;15;14;14;14;13;11;5;3;2,26;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;24;24;24;24;24;24;24;24;24;24;24;24;24;23;23;23;23;23;23;23;23;23;23;23;23;22;20;19;16;16;16;16;16;16;15;14;14;14;13;11;5;3;2,22;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;19;16;15;14;12;14;14;14;14;12;13;11;13;12;9;5;3;2,Ankyrin-2,ANK2,tr|A0A5F9ZH58|A0A5F9ZH58_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|A0A5F9ZH70|A0A5F9ZH70_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|A0A5F9ZI30|A0A5F9ZI30_HUMAN Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1;tr|A0A5,26,22,23.6,4.12024628707503,4.14613732404923,29.0531020866642,28.8786794668631
Q8IWZ3;H0Y4P6;A0A0A0MQZ8;H0Y7Y3;H0Y785;H0Y472;H7C2E1,Q8IWZ3,38;9;7;7;7;7;1,23;8;7;7;7;7;1,4;4;4;4;3;3;1,Ankyrin repeat and KH domain-containing protein 1,ANKHD1,sp|Q8IWZ3|ANKH1_HUMAN Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,38,4,22.9,4.12024628707503,4.14613732404923,28.7141737090275,28.4318926186084
H7C0V5,H7C0V5,6,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,6,2,18.6,4.12024628707503,4.14613732404923,22.7074829937707,24.4367608419954
Q86XL3;F5H1D4,Q86XL3;F5H1D4,3;2,3;2,3;2,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4;tr|F5H1D4|F5H1D4_HUMAN Ankyrin repeat and LEM domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=1,3,3,5.1,4.12024628707503,4.14613732404923,24.3336085240731,22.8641211411291
O75179;H0YM23;A0A1W2PQ15;H0YLQ3,O75179;H0YM23,49;46;20;19,49;46;20;19,34;31;11;13,Ankyrin repeat domain-containing protein 17,ANKRD17,sp|O75179|ANR17_HUMAN Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3;tr|H0YM23|H0YM23_HUMAN Ankyrin repeat domain-containing protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=1,49,34,26.9,26.2648133863206,25.7749997432705,31.5192523402389,30.3915124176991
Q8NF67,Q8NF67,3,3,3,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,ANKRD20A12P,sp|Q8NF67|A2012_HUMAN Putative ankyrin repeat domain-containing protein 20A12 pseudogene OS=Homo sapiens OX=9606 GN=ANKRD20A12P PE=5 SV=3,3,3,12.2,4.12024628707503,4.14613732404923,27.7935859461941,24.2324244405929
O15084;B4DIW9,O15084;B4DIW9,7;6,7;6,7;6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,sp|O15084|ANR28_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5;tr|B4DIW9|B4DIW9_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens,7,7,10.0,4.12024628707503,4.14613732404923,26.6517102019078,25.8327492349707
Q8NB46,Q8NB46,5,5,5,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52,sp|Q8NB46|ANR52_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Homo sapiens OX=9606 GN=ANKRD52 PE=1 SV=3,5,5,7.2,4.12024628707503,4.14613732404923,25.5926910715236,25.0229722186525
Q92625;A0A3B3ISP1;A0A3B3ITU5,Q92625;A0A3B3ISP1,23;22;8,23;22;8,23;22;8,Ankyrin repeat and SAM domain-containing protein 1A,ANKS1A,sp|Q92625|ANS1A_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=4;tr|A0A3B3ISP1|A0A3B3ISP1_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=1,23,23,28.7,4.12024628707503,4.14613732404923,29.0798417616539,29.1940628026594
Q9NQW6;H7C1K5;H7C3S1;H7C1C2;C9JJT6,Q9NQW6,33;9;8;7;3,33;9;8;7;3,33;9;8;7;3,Actin-binding protein anillin,ANLN,sp|Q9NQW6|ANLN_HUMAN Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,33,33,35.0,4.12024628707503,4.14613732404923,30.0638112257088,29.8992271395176
Q9BTT0;E9PPH5;Q5TB19;E9PLC4,Q9BTT0;E9PPH5,3;2;1;1,3;2;1;1,3;2;1;1,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1;tr|E9PPH5|E9PPH5_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens OX=9606 GN=ANP32,3,3,12.3,4.12024628707503,4.14613732404923,26.6500671970334,25.5374184365192
P04083;Q5T3N1;Q5T3N0,P04083;Q5T3N1,16;8;5,16;8;5,16;8;5,Annexin A1;Annexin,ANXA1,sp|P04083|ANXA1_HUMAN Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2;tr|Q5T3N1|Q5T3N1_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=1,16,16,51.4,22.6519355259837,22.2789507606393,29.4685927851877,29.5700587869993
P07355;H0YN42;H0YMU9;H0YMD0;A6NMY6;H0YM50;H0YKS4;H0YNP5;H0YN28;H0YL33;H0YMM1;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YNA0;H0YMW4;H0YKL9;H0YKV8;H0YN52;H0YMD9;H0YNB8;H0YKN4;H0YLE2,P07355;H0YN42;H0YMU9;H0YMD0;A6NMY6;H0YM50;H0YKS4;H0YNP5;H0YN28;H0YL33,28;24;22;22;21;18;18;15;14;14;12;10;10;10;10;10;9;9;8;8;7;5;5;2,28;24;22;22;21;18;18;15;14;14;12;10;10;10;10;10;9;9;8;8;7;5;5;2,28;24;22;22;21;18;18;15;14;14;12;10;10;10;10;10;9;9;8;8;7;5;5;2,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;tr|H0YN42|H0YN42_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;tr|H0YMU9|H0YMU9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;tr|H0YMD0|H0YMD0_HUMA,28,28,72.9,30.2006952484736,29.9556000708409,32.921069511015,33.1430310478619
P08758;E9PHT9;D6RBL5;D6RBE9,P08758;E9PHT9;D6RBL5,4;3;2;1,4;3;2;1,4;3;2;1,Annexin A5;Annexin,ANXA5,sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;tr|E9PHT9|E9PHT9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|D6RBL5|D6RBL5_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1,4,4,14.7,4.12024628707503,4.14613732404923,24.7476050131339,25.0764714887988
O43747,O43747,3,3,3,AP-1 complex subunit gamma-1,AP1G1,sp|O43747|AP1G1_HUMAN AP-1 complex subunit gamma-1 OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=5,3,3,6.9,4.12024628707503,4.14613732404923,27.2040583932636,23.9988630907927
O00203;Q13367;A0A590UJW5;A0A590UKD3;A0A590UJU0;A0A590UJ60;A0A590UK04;A0A5F9UJV3;A0A2R8Y2A8;A0A590UKC4;A0A590UK30;F5GWU4;A0A590UJU7;A0A590UJE5,O00203,16;2;2;2;2;2;2;2;2;2;1;1;1;1,16;2;2;2;2;2;2;2;2;2;1;1;1;1,16;2;2;2;2;2;2;2;2;2;1;1;1;1,AP-3 complex subunit beta-1,AP3B1,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,16,16,16.8,4.12024628707503,4.14613732404923,27.7017368894276,27.4166733304051
O14617;A0A2R8Y611;A0A087WYN6,O14617;A0A2R8Y611,15;11;3,15;11;3,6;6;0,AP-3 complex subunit delta-1,AP3D1,sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y611|A0A2R8Y611_HUMAN AP-3 complex subunit delta-1 (Fragment) OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,15,6,17.2,4.12024628707503,4.14613732404923,28.1783091678173,27.5967623420646
O00213;A0A075B7G8;J3KPL8;A0A087X0V7;A0A087WYH9;V9GYR7;V9GY97,O00213;A0A075B7G8;J3KPL8;A0A087X0V7;A0A087WYH9,7;7;7;5;5;3;2,7;7;7;5;5;3;2,7;7;7;5;5;3;2,Amyloid beta A4 precursor protein-binding family B member 1,APBB1,sp|O00213|APBB1_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV=2;tr|A0A075B7G8|A0A075B7G8_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV,7,7,14.4,4.12024628707503,4.14613732404923,26.3792634677559,26.1567470797613
Q92870;H0YAJ5;G5E9Y1;H0Y9U9;H0YA92,Q92870;H0YAJ5;G5E9Y1,4;4;4;1;1,4;4;4;1;1,4;4;4;1;1,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,sp|Q92870|APBB2_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 OS=Homo sapiens OX=9606 GN=APBB2 PE=1 SV=3;tr|H0YAJ5|H0YAJ5_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 (Fragment) OS=Homo sapiens OX=9606 GN=APBB2 PE=1,4,4,6.1,4.12024628707503,4.14613732404923,24.4466375833564,25.3485433887186
P25054;E9PFT7;A0A2Q2SV78;D6RFL6;R4GMU6;E7EMH9,P25054;E9PFT7;A0A2Q2SV78,5;5;4;1;1;1,5;5;4;1;1;1,5;5;4;1;1;1,Adenomatous polyposis coli protein,APC,sp|P25054|APC_HUMAN Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2;tr|E9PFT7|E9PFT7_HUMAN Adenomatous polyposis coli protein (Fragment) OS=Homo sapiens OX=9606 GN=APC PE=1 SV=8;tr|A0A2Q2SV78|A0A2Q2SV78_HUMAN Adenomatous polypos,5,5,2.9,4.12024628707503,4.14613732404923,24.7812176175879,25.8322422001827
Q9BZZ5;G3V1C3;E9PQK6;H0YER7,Q9BZZ5;G3V1C3,5;5;2;2,5;5;2;2,5;5;2;2,Apoptosis inhibitor 5,API5,sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3;tr|G3V1C3|G3V1C3_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=1,5,5,11.8,4.12024628707503,4.14613732404923,26.6687144891004,26.4730988962387
Q9UH17;Q96AK3;Q6ICH2;B0QYD3,Q9UH17;Q96AK3;Q6ICH2;B0QYD3,2;2;2;2,2;2;2;2,2;2;2;2,DNA dC->dU-editing enzyme APOBEC-3B;DNA dC->dU-editing enzyme APOBEC-3D,APOBEC3B;APOBEC3D;bK150C2.9,sp|Q9UH17|ABC3B_HUMAN DNA dC->dU-editing enzyme APOBEC-3B OS=Homo sapiens OX=9606 GN=APOBEC3B PE=1 SV=1;sp|Q96AK3|ABC3D_HUMAN DNA dC->dU-editing enzyme APOBEC-3D OS=Homo sapiens OX=9606 GN=APOBEC3D PE=1 SV=1;tr|Q6ICH2|Q6ICH2_HUMAN BK150C2.9 protein OS=Homo,2,2,7.9,4.12024628707503,4.14613732404923,28.8698087196243,28.7240986020378
Q8WWN8;G5E9Y3;Q05CH1,Q8WWN8;G5E9Y3;Q05CH1,2;2;1,2;2;1,2;2;1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",ARAP3,"sp|Q8WWN8|ARAP3_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ARAP3 PE=1 SV=1;tr|G5E9Y3|G5E9Y3_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX",2,2,1.4,4.12024628707503,4.14613732404923,24.1449936222789,24.2264151314139
P48444;B0YIW6;Q6P1Q5;E9PK34,P48444;B0YIW6;Q6P1Q5,12;12;7;2,12;12;7;2,12;12;7;2,Coatomer subunit delta,ARCN1,sp|P48444|COPD_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|B0YIW6|B0YIW6_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|Q6P1Q5|Q6P1Q5_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 P,12,12,24.9,4.12024628707503,4.14613732404923,27.5778032442053,27.4769964441479
P61204;P84077;F5H423;P84085;C9J1Z8;F5H0C7;F5H1V1;F5H6T5;F8WDB3;H0YGG7,P61204;P84077;F5H423;P84085;C9J1Z8,7;7;6;4;4;3;1;1;1;1,7;7;6;4;4;3;1;1;1;1,4;4;3;1;1;0;0;0;0;1,ADP-ribosylation factor 3;ADP-ribosylation factor 1;ADP-ribosylation factor 5,ARF3;ARF1;ARF5,sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2;sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens OX=9606 GN=ARF1 PE=1 SV=2;tr|F5H423|F5H423_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV,7,4,47.0,22.5996876940106,22.9709702047319,27.0283364240389,26.79178649407
Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6;E5RHH7;F8VWB3;H0YIQ0;E5RGL6;E5RIU2,Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6,18;16;12;12;11;5;4;3;2;1,18;16;12;12;11;5;4;3;2;1,18;16;12;12;11;5;4;3;2;1,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,sp|Q8N6T3|ARFG1_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2;tr|F8VWH9|F8VWH9_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=1;tr|E5RHC5|E5RHC5_,18,18,54.2,24.584341853835,24.9892787631448,30.2725313335759,30.5957491573115
Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;E9PIY6;E9PMU9;H0YDN9;E9PMR9;E9PM63;E9PJT7;E9PK28;E9PN48;E9PNY8;H0YDX1;E9PM18;H0YF45,Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;E9PIY6,11;11;11;9;6;5;5;3;3;3;3;3;2;2;1;1,10;10;10;8;5;4;5;2;2;2;2;2;1;1;1;1,10;10;10;8;5;4;5;2;2;2;2;2;1;1;1;1,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,sp|Q8N6H7|ARFG2_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|A0A0D9SF70|A0A0D9SF70_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|G5E9L0,11,10,34.0,4.12024628707503,4.14613732404923,27.878357903273,27.911536727468
Q9NP61;H0Y6A0;B0QYV8;B0QYV9,Q9NP61;H0Y6A0,12;6;4;2,12;6;4;2,11;6;3;1,ADP-ribosylation factor GTPase-activating protein 3,ARFGAP3,sp|Q9NP61|ARFG3_HUMAN ADP-ribosylation factor GTPase-activating protein 3 OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1;tr|H0Y6A0|H0Y6A0_HUMAN ADP-ribosylation factor GTPase-activating protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1,12,11,33.7,22.0507853904709,21.6604468731168,28.2524142369699,28.1223315628485
Q9Y6D5;Q9Y6D6;E5RIF2,Q9Y6D5,4;1;1,4;1;1,4;1;1,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,sp|Q9Y6D5|BIG2_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,4,4,3.6,4.12024628707503,4.14613732404923,24.6317308194308,25.6692012556936
Q5TH69,Q5TH69,4,4,4,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,ARFGEF3,sp|Q5TH69|BIG3_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Homo sapiens OX=9606 GN=ARFGEF3 PE=1 SV=3,4,4,3.0,4.12024628707503,4.14613732404923,25.2375755583775,25.0276195359691
P53367,P53367,3,3,3,Arfaptin-1,ARFIP1,sp|P53367|ARFP1_HUMAN Arfaptin-1 OS=Homo sapiens OX=9606 GN=ARFIP1 PE=1 SV=2,3,3,10.7,4.12024628707503,4.14613732404923,25.574183507549,25.6185732513347
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.12024628707503,4.14613732404923,23.3003369184145,21.8010452032896
