Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDR53-N1,Intensity WDR53-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,21;9;8;8;5;3;2;1,21;9;8;8;5;3;2;1,21;9;8;8;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",21,21,32.3,4.09271599355779,3.98362812786341,28.7351185224829,28.5913504490892
Q02952,Q02952,20,20,20,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,20,20,18.5,4.09271599355779,3.98362812786341,28.6428569685844,28.2236600888725
Q9Y2D5,Q9Y2D5,31,31,5,A-kinase anchor protein 2,AKAP2,sp|Q9Y2D5|AKAP2_HUMAN A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,31,5,46.6,23.5420324145053,21.7456666124423,32.1723002847568,31.9284303965225
P54886,P54886,3,3,3,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,sp|P54886|P5CS_HUMAN Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,3,3,4.5,24.0118851296909,21.0176822228216,21.9534035965864,22.9976598375744
P30837,P30837,4,4,4,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,"sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=3",4,4,10.1,23.7828678694655,20.9833582786439,27.0701551307725,26.9160439942283
P51648;J3QRD1;A0A5F9ZHI5;A0A5F9ZHN9;A0A5K1VW72;A0A5F9ZI12;A0A5F9ZGX4;I3L1M4;A0A5F9ZHZ9;J3QKK9;J3QS00;J3KTG1;I3L0X1;A0A5F9ZHP6,P51648;J3QRD1;A0A5F9ZHI5;A0A5F9ZHN9;A0A5K1VW72;A0A5F9ZI12;A0A5F9ZGX4,5;5;5;5;4;4;4;2;2;1;1;1;1;1,5;5;5;5;4;4;4;2;2;1;1;1;1;1,5;5;5;5;4;4;4;2;2;1;1;1;1;1,Fatty aldehyde dehydrogenase,ALDH3A2,sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|J3QRD1|J3QRD1_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;tr|A0A5F9ZHI5|A0A5F9ZHI5_HUMAN Aldehy,5,5,13.4,20.8221319959225,20.4490383187838,25.801291948581,25.4658792343339
Q8TCU4;A0A087WV20;A0A087WTU9;H7C1D9;A0A494BZW1,Q8TCU4;A0A087WV20;A0A087WTU9,50;50;50;20;7,50;50;50;20;7,50;50;50;20;7,Alstrom syndrome protein 1,ALMS1,sp|Q8TCU4|ALMS1_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=4;tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1;tr|A0A087WTU9|A0A087WTU9_HUMAN Alstrom syndrome protein 1 OS=Ho,50,50,19.9,22.305801256477,21.7764095718702,30.1887206582716,29.2777276794828
Q86V81;E9PB61,Q86V81;E9PB61,5;4,5;4,5;4,THO complex subunit 4,ALYREF,sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3;tr|E9PB61|E9PB61_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1,5,5,22.2,23.3590406564105,20.1647203727635,25.9082071524975,24.9272339790603
Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6;E9PJF6;A0A590UJX5;E9PIJ1;H0YF16,Q01433;A0A5F9UK94;H0Y360;A0A590UK85;A0A590UJY6,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,10;10;10;7;7;3;3;2;2,AMP deaminase 2,AMPD2,sp|Q01433|AMPD2_HUMAN AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5F9UK94|A0A5F9UK94_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=1;tr|H0Y360|H0Y360_HUMAN AMP deaminase OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2;tr|A0A5,10,10,13.7,4.09271599355779,3.98362812786341,27.355146740306,27.163653668047
Q9H1A4;H0Y564;A0A2R8YF63;F8WAS1,Q9H1A4;H0Y564,13;8;2;1,13;8;2;1,13;8;2;1,Anaphase-promoting complex subunit 1,ANAPC1,sp|Q9H1A4|APC1_HUMAN Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1;tr|H0Y564|H0Y564_HUMAN Anaphase-promoting complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1,13,13,8.4,4.09271599355779,3.98362812786341,27.1205035214227,26.0072937181229
Q9UJX5;D6RAP6;D6RFM7,Q9UJX5,14;3;2,14;3;2,14;3;2,Anaphase-promoting complex subunit 4,ANAPC4,sp|Q9UJX5|APC4_HUMAN Anaphase-promoting complex subunit 4 OS=Homo sapiens OX=9606 GN=ANAPC4 PE=1 SV=2,14,14,23.9,4.09271599355779,3.98362812786341,27.5894943416006,27.7180342463976
Q495B1;D6RD28;A0A0C4DFZ5;A0A0C4DGZ7,Q495B1;D6RD28;A0A0C4DFZ5;A0A0C4DGZ7,2;1;1;1,2;1;1;1,2;1;1;1,Ankyrin repeat and death domain-containing protein 1A,ANKDD1A,sp|Q495B1|AKD1A_HUMAN Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKDD1A PE=2 SV=2;tr|D6RD28|D6RD28_HUMAN Ankyrin repeat and death domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKDD1A PE=4 SV=1;tr|A0A0C4DFZ5,2,2,3.4,4.09271599355779,3.98362812786341,23.3721221777558,24.3747070749609
Q8IWZ3;H7C2F5;D6RHC4;H0Y4P6;A0A0A0MQZ8;H0Y7Y3;H0Y785;H0Y472;H7C2E1,Q8IWZ3,39;15;11;9;7;7;7;7;1,24;6;8;8;7;7;7;7;1,5;0;0;5;5;5;4;4;1,Ankyrin repeat and KH domain-containing protein 1,ANKHD1,sp|Q8IWZ3|ANKH1_HUMAN Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,39,5,22.0,4.09271599355779,3.98362812786341,28.5430729553368,28.3558188554082
H7C0V5,H7C0V5,5,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,5,2,12.6,4.09271599355779,3.98362812786341,22.7074829937707,24.4367608419954
Q86XL3;F5H1D4,Q86XL3;F5H1D4,3;2,3;2,3;2,Ankyrin repeat and LEM domain-containing protein 2,ANKLE2,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=4;tr|F5H1D4|F5H1D4_HUMAN Ankyrin repeat and LEM domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ANKLE2 PE=1 SV=1,3,3,5.1,4.09271599355779,3.98362812786341,24.3336085240731,22.8641211411291
O75179;H0YM23;H0YLQ3;A0A1W2PQ15,O75179;H0YM23,42;41;16;16,42;41;16;16,27;26;9;8,Ankyrin repeat domain-containing protein 17,ANKRD17,sp|O75179|ANR17_HUMAN Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3;tr|H0YM23|H0YM23_HUMAN Ankyrin repeat domain-containing protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=1,42,27,18.9,25.5690339128203,22.6223631463874,31.4704364851714,30.2085071694268
Q8NF67,Q8NF67,4,4,4,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,ANKRD20A12P,sp|Q8NF67|A2012_HUMAN Putative ankyrin repeat domain-containing protein 20A12 pseudogene OS=Homo sapiens OX=9606 GN=ANKRD20A12P PE=5 SV=3,4,4,16.0,4.09271599355779,3.98362812786341,27.7935859461941,25.2385598479482
O15084;B4DIW9;Q8N8A2;H7C4A0;H7C209;A0A2R8Y7Y4,O15084;B4DIW9,7;6;1;1;1;1,7;6;1;1;1;1,7;6;1;1;1;1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,sp|O15084|ANR28_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5;tr|B4DIW9|B4DIW9_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens,7,7,10.3,4.09271599355779,3.98362812786341,26.8030426277096,26.0547174148817
Q8NB46,Q8NB46,5,5,5,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,ANKRD52,sp|Q8NB46|ANR52_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Homo sapiens OX=9606 GN=ANKRD52 PE=1 SV=3,5,5,7.2,4.09271599355779,3.98362812786341,25.5926910715236,25.0229722186525
Q92625;A0A3B3ISP1;A0A3B3ITU5,Q92625;A0A3B3ISP1,23;22;8,23;22;8,23;22;8,Ankyrin repeat and SAM domain-containing protein 1A,ANKS1A,sp|Q92625|ANS1A_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=4;tr|A0A3B3ISP1|A0A3B3ISP1_HUMAN Ankyrin repeat and SAM domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ANKS1A PE=1 SV=1,23,23,28.7,4.09271599355779,3.98362812786341,29.0798417616539,29.1417528452318
Q9NQW6;H7C3S1;H7C1K5;H7C1C2;C9JJT6,Q9NQW6,36;9;9;7;4,36;9;9;7;4,36;9;9;7;4,Actin-binding protein anillin,ANLN,sp|Q9NQW6|ANLN_HUMAN Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,36,36,39.0,4.09271599355779,3.98362812786341,30.1441865418968,29.9593363700952
Q9BTT0;E9PPH5;Q5TB19;E9PLC4,Q9BTT0;E9PPH5,3;2;1;1,3;2;1;1,3;2;1;1,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1;tr|E9PPH5|E9PPH5_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens OX=9606 GN=ANP32,3,3,12.3,4.09271599355779,3.98362812786341,26.6500671970334,25.5374184365192
P04083;Q5T3N1;Q5T3N0,P04083;Q5T3N1,18;10;6,18;10;6,18;10;6,Annexin A1;Annexin,ANXA1,sp|P04083|ANXA1_HUMAN Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2;tr|Q5T3N1|Q5T3N1_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=1,18,18,57.5,25.1569591940072,20.9362497254421,29.5121474907467,29.5700587869993
P07355;H0YN42;A6NMY6;H0YMU9;H0YMD0;H0YM50;H0YKS4;H0YNP5;H0YN28;H0YL33;H0YMM1;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YNA0;H0YMW4;H0YKL9;H0YKV8;H0YN52;H0YMD9;H0YNB8;H0YKN4;H0YLE2,P07355;H0YN42;A6NMY6;H0YMU9;H0YMD0;H0YM50;H0YKS4;H0YNP5,39;31;29;28;28;25;20;20;19;19;14;12;12;12;12;11;10;10;9;8;7;5;5;2,39;31;29;28;28;25;20;20;19;19;14;12;12;12;12;11;10;10;9;8;7;5;5;2,39;31;29;28;28;25;20;20;19;19;14;12;12;12;12;11;10;10;9;8;7;5;5;2,Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;tr|H0YN42|H0YN42_HUMAN Annexin (Fragment) OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=1;sp|A6NMY6|AXA2L_HUMAN Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5,39,39,82.6,31.7581170566151,30.0631683421186,32.9303881479711,33.1444144906163
P08758;E9PHT9;D6RBL5;D6RBE9,P08758;E9PHT9;D6RBL5,4;3;2;1,4;3;2;1,4;3;2;1,Annexin A5;Annexin,ANXA5,sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;tr|E9PHT9|E9PHT9_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1;tr|D6RBL5|D6RBL5_HUMAN Annexin OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=1,4,4,14.7,4.09271599355779,3.98362812786341,24.7476050131339,25.0764714887988
O00203;Q13367;A0A2R8Y2A8;A0A590UKC4;A0A5F9UJV3;A0A590UJ60;A0A590UJW5;A0A590UK04;A0A590UJU0;A0A590UKD3;F5GWU4;A0A590UK30;A0A590UJE5;H0YBD0;A0A590UK69;A0A590UJ44;A0A590UJU7;F5GYB0,O00203,19;3;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1,19;3;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1,19;3;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1,AP-3 complex subunit beta-1,AP3B1,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,19,19,21.8,4.09271599355779,3.98362812786341,27.9656521959396,27.4970895873912
O14617;A0A2R8Y611;A0A2R8Y4J3;A0A087WYN6,O14617;A0A2R8Y611;A0A2R8Y4J3,15;11;9;3,15;11;9;3,15;11;9;3,AP-3 complex subunit delta-1,AP3D1,sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y611|A0A2R8Y611_HUMAN AP-3 complex subunit delta-1 (Fragment) OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1;tr|A0A2R8Y4J3|A0A2R8Y4J3_HUMAN AP-3 complex subu,15,15,17.2,4.09271599355779,3.98362812786341,28.1783091678173,27.5967623420646
O00213;A0A075B7G8;J3KPL8;A0A087X0V7;A0A087WYH9;V9GYR7;V9GY97,O00213;A0A075B7G8;J3KPL8;A0A087X0V7;A0A087WYH9,7;7;7;5;5;3;2,7;7;7;5;5;3;2,7;7;7;5;5;3;2,Amyloid beta A4 precursor protein-binding family B member 1,APBB1,sp|O00213|APBB1_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV=2;tr|A0A075B7G8|A0A075B7G8_HUMAN Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens OX=9606 GN=APBB1 PE=1 SV,7,7,14.4,4.09271599355779,3.98362812786341,26.3792634677559,26.1567470797613
Q92870;H0YAJ5;G5E9Y1;H0Y9U9;H0YA92,Q92870;H0YAJ5;G5E9Y1,4;4;4;1;1,4;4;4;1;1,4;4;4;1;1,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,sp|Q92870|APBB2_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 OS=Homo sapiens OX=9606 GN=APBB2 PE=1 SV=3;tr|H0YAJ5|H0YAJ5_HUMAN Amyloid-beta A4 precursor protein-binding family B member 2 (Fragment) OS=Homo sapiens OX=9606 GN=APBB2 PE=1,4,4,6.1,4.09271599355779,3.98362812786341,24.4466375833564,25.3485433887186
P25054;E9PFT7;A0A2Q2SV78;D6RFL6;R4GMU6;E7EMH9,P25054;E9PFT7;A0A2Q2SV78,5;5;4;1;1;1,5;5;4;1;1;1,5;5;4;1;1;1,Adenomatous polyposis coli protein,APC,sp|P25054|APC_HUMAN Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2;tr|E9PFT7|E9PFT7_HUMAN Adenomatous polyposis coli protein (Fragment) OS=Homo sapiens OX=9606 GN=APC PE=1 SV=8;tr|A0A2Q2SV78|A0A2Q2SV78_HUMAN Adenomatous polypos,5,5,2.9,4.09271599355779,3.98362812786341,24.7812176175879,25.8322422001827
Q9BZZ5;G3V1C3;E9PQK6;H0YER7,Q9BZZ5;G3V1C3,6;6;2;2,6;6;2;2,6;6;2;2,Apoptosis inhibitor 5,API5,sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3;tr|G3V1C3|G3V1C3_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=1,6,6,15.3,4.09271599355779,3.98362812786341,26.6687144891004,26.6374082752079
Q8WWN8;G5E9Y3;Q05CH1,Q8WWN8;G5E9Y3;Q05CH1,2;2;1,2;2;1,2;2;1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",ARAP3,"sp|Q8WWN8|ARAP3_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=ARAP3 PE=1 SV=1;tr|G5E9Y3|G5E9Y3_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens OX",2,2,1.4,4.09271599355779,3.98362812786341,24.1449936222789,24.1544219110755
P48444;B0YIW6;Q6P1Q5;E9PK34,P48444;B0YIW6;Q6P1Q5,12;12;7;2,12;12;7;2,12;12;7;2,Coatomer subunit delta,ARCN1,sp|P48444|COPD_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|B0YIW6|B0YIW6_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;tr|Q6P1Q5|Q6P1Q5_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 P,12,12,24.9,4.09271599355779,3.98362812786341,27.5778032442053,27.4769964441479
P61204;P84077;F5H423;P84085;C9J1Z8;P18085;F5H0C7;C9JPM4;F5H1V1;F5H6T5;F8WDB3;H0YGG7;C9JAK5,P61204;P84077;F5H423;P84085;C9J1Z8,7;7;6;4;4;3;3;3;1;1;1;1;1,7;7;6;4;4;3;3;3;1;1;1;1;1,7;7;6;4;4;3;3;3;1;1;1;1;1,ADP-ribosylation factor 3;ADP-ribosylation factor 1;ADP-ribosylation factor 5,ARF3;ARF1;ARF5,sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2;sp|P84077|ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens OX=9606 GN=ARF1 PE=1 SV=2;tr|F5H423|F5H423_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV,7,7,47.0,21.5835272223896,21.8180016575352,27.0283364240389,27.082432836852
Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6;E5RHH7;F8VWB3;H0YIQ0;E5RGL6;E5RIU2,Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6,18;16;12;12;11;5;4;3;2;1,18;16;12;12;11;5;4;3;2;1,18;16;12;12;11;5;4;3;2;1,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,sp|Q8N6T3|ARFG1_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2;tr|F8VWH9|F8VWH9_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=1;tr|E5RHC5|E5RHC5_,18,18,54.2,25.3037893864697,20.8507179326118,30.2725313335759,30.5957491573115
Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;E9PIY6;E9PMU9;H0YDN9;E9PMR9;E9PM63;E9PJT7;E9PK28;E9PN48;E9PNY8;H0YDX1;E9PM18;H0YF45,Q8N6H7;A0A0D9SF70;G5E9L0;E9PQP3;E9PIY6;E9PMU9,10;10;10;9;6;5;4;3;3;3;3;3;2;2;1;1,9;9;9;8;5;4;4;2;2;2;2;2;1;1;1;1,9;9;9;8;5;4;4;2;2;2;2;2;1;1;1;1,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,sp|Q8N6H7|ARFG2_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|A0A0D9SF70|A0A0D9SF70_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|G5E9L0,10,9,25.7,4.09271599355779,3.98362812786341,28.0082772961175,28.1520436377853
Q9NP61;H0Y6A0;B0QYV8;B0QYV9,Q9NP61;H0Y6A0,13;7;5;2,13;7;5;2,12;7;4;1,ADP-ribosylation factor GTPase-activating protein 3,ARFGAP3,sp|Q9NP61|ARFG3_HUMAN ADP-ribosylation factor GTPase-activating protein 3 OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1;tr|H0Y6A0|H0Y6A0_HUMAN ADP-ribosylation factor GTPase-activating protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP3 PE=1 SV=1,13,12,39.0,4.09271599355779,3.98362812786341,28.4488442625338,28.2869637168334
Q9Y6D5,Q9Y6D5,4,4,3,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,sp|Q9Y6D5|BIG2_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,4,3,3.6,4.09271599355779,3.98362812786341,24.6317308194308,25.6692012556936
Q5TH69,Q5TH69,5,5,5,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,ARFGEF3,sp|Q5TH69|BIG3_HUMAN Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Homo sapiens OX=9606 GN=ARFGEF3 PE=1 SV=3,5,5,3.7,4.09271599355779,3.98362812786341,25.5266842922599,25.0276195359691
P53367,P53367,3,3,3,Arfaptin-1,ARFIP1,sp|P53367|ARFP1_HUMAN Arfaptin-1 OS=Homo sapiens OX=9606 GN=ARFIP1 PE=1 SV=2,3,3,10.7,4.09271599355779,3.98362812786341,25.574183507549,25.6185732513347
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.09271599355779,3.98362812786341,23.3003369184145,21.8010452032896
Q07960;H0YE29;E9PNR6,Q07960;H0YE29,15;12;6,15;12;6,15;12;6,Rho GTPase-activating protein 1,ARHGAP1,sp|Q07960|RHG01_HUMAN Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1;tr|H0YE29|H0YE29_HUMAN Rho GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,15,15,48.3,4.09271599355779,3.98362812786341,28.6053369725052,29.0662772399468
Q8IWW6;Q1RLN5;H0Y5D8,Q8IWW6;Q1RLN5,6;6;2,6;6;2,6;6;2,Rho GTPase-activating protein 12,ARHGAP12,sp|Q8IWW6|RHG12_HUMAN Rho GTPase-activating protein 12 OS=Homo sapiens OX=9606 GN=ARHGAP12 PE=1 SV=1;tr|Q1RLN5|Q1RLN5_HUMAN ARHGAP12 protein OS=Homo sapiens OX=9606 GN=ARHGAP12 PE=1 SV=1,6,6,10.2,4.09271599355779,3.98362812786341,25.9788451972157,25.8456785914294
Q68EM7;I3L4P6;C9IZD3,Q68EM7;I3L4P6;C9IZD3,2;1;1,2;1;1,2;1;1,Rho GTPase-activating protein 17,ARHGAP17,sp|Q68EM7|RHG17_HUMAN Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|I3L4P6|I3L4P6_HUMAN Rho GTPase-activating protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1;tr|C9IZD3|C9IZD3_HUMAN Rho GTPase-activati,2,2,2.6,4.09271599355779,3.98362812786341,24.4218819696263,24.2214767900315
Q5T5U3;A0A1B0GV73;A0A087WW76;A0A452Q6Z5;E7ESW5;A0A1B0GTZ9;Q5JSD8;H0Y468;A0A1B0GW11;H0Y5T2,Q5T5U3;A0A1B0GV73;A0A087WW76;A0A452Q6Z5;E7ESW5;A0A1B0GTZ9,12;10;9;9;7;6;4;2;1;1,12;10;9;9;7;6;4;2;1;1,12;10;9;9;7;6;4;2;1;1,Rho GTPase-activating protein 21,ARHGAP21,sp|Q5T5U3|RHG21_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=2;tr|A0A1B0GV73|A0A1B0GV73_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=1;tr|A0A087WW76|A0A087WW76_HUMAN Rho GTPase-act,12,12,8.2,4.09271599355779,3.98362812786341,26.9868510048254,26.8767782779767
Q52LW3;F8VWZ8,Q52LW3;F8VWZ8,24;18,24;18,24;18,Rho GTPase-activating protein 29,ARHGAP29,sp|Q52LW3|RHG29_HUMAN Rho GTPase-activating protein 29 OS=Homo sapiens OX=9606 GN=ARHGAP29 PE=1 SV=2;tr|F8VWZ8|F8VWZ8_HUMAN Rho GTPase-activating protein 29 OS=Homo sapiens OX=9606 GN=ARHGAP29 PE=1 SV=1,24,24,24.7,21.603722319608,21.1324036870884,28.5065782896191,27.8206161521632
Q9NRY4,Q9NRY4,6,6,6,Rho GTPase-activating protein 35,ARHGAP35,sp|Q9NRY4|RHG35_HUMAN Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3,6,6,4.6,4.09271599355779,3.98362812786341,26.7356995905075,26.4073182102561
