Gene_names,NUP43_vs_BirA_logFC,NUP43_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_NUP43_N1,Peptides_NUP43_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_NUP43_N1,Razor___unique_peptides_NUP43_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_NUP43_N1,Unique_peptides_NUP43_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_NUP43_N1,Identification_type_NUP43_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_NUP43_N1,Ratio_H_L_NUP43_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_NUP43_N1,Ratio_H_L_normalized_NUP43_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____NUP43_N1,Ratio_H_L_variability_____NUP43_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_NUP43_N1,Ratio_H_L_count_NUP43_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_NUP43_N1,Ratio_H_L_iso_count_NUP43_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_NUP43_N1,Ratio_H_L_type_NUP43_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_NUP43_N1____,Sequence_coverage_NUP43_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_NUP43_N1,Intensity_L_NUP43_N1,Intensity_H_NUP43_N1,Intensity_NUP43_N2,Intensity_L_NUP43_N2,Intensity_H_NUP43_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_NUP43_N1,metacell_Intensity_L_NUP43_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
PYCRL,-20.9363257097885,1.12545687894591e-07,Q53H96;A0A0A0MQS1;F8WEI0;B5MD87,Q53H96;A0A0A0MQS1;F8WEI0;B5MD87,2;2;1;1,2;2;1;1,2;2;1;1,Pyrroline-5-carboxylate reductase 3;Pyrroline-5-carboxylate reductase,sp|Q53H96|P5CR3_HUMAN Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=3;tr|A0A0A0MQS1|A0A0A0MQS1_HUMAN Pyrroline-5-carboxylate reductase OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=1;tr|F8WEI0|F8WEI0_HUMAN Pyrroline-5-carboxylate ,4,2,2,2,2,2,0,0,2,2,0,0,2,2,0,0,8.8,8.8,8.8,28.663,274,274;286;44;137,0.0,9.0806,By MS/MS,By MS/MS,,,0.51481,1.3534,7.5231,4,0,Leave out requantified,0.49425,0.53622,,,1.4114,1.2977,,,13.422,1.6245,,,2,2,0,0,0,0,0,0,Median,Median,Median,Median,8.8,8.8,0.0,0.0,98993000,66105000,32888000,48064000,34465000,13598000,50930000,31640000,19290000,0,0,0,0,0,0,,,,117,247;12514,True;True,275;14499,660;661;36389;36390,1167;1168;67780;67781;67782,1167;67780,,,,,-1;-1;-1;-1,protein_118,imputed MEC,imputed MEC,quanti,quanti
WDR18,2.86395894597996,0.015074642020705,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0;A0A087X237;K7EKX5;K7EML4,Q9BV38;U3KQC1;A0A0A0MQU0;K7EIR0,4;4;4;2;1;1;1,4;4;4;2;1;1;1,4;4;4;2;1;1;1,WD repeat-containing protein 18,sp|Q9BV38|WDR18_HUMAN WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2;tr|U3KQC1|U3KQC1_HUMAN WD repeat-containing protein 18 (Fragment) OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=1;tr|A0A0A0MQU0|A0A0A0MQU0_HUMAN WD repeat-containin,7,4,4,4,1,1,3,4,1,1,3,4,1,1,3,4,14.8,14.8,14.8,47.405,432,432;394;429;409;144;152;268,0.0,6.3549,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31439,0.79447,101.63,10,2,Leave out requantified,1.0492,0.30576,0.31439,0.35132,3.2678,0.52072,0.77657,0.84486,,,111.84,97.784,1,1,3,5,0,0,0,2,Median,Median,Leave out requantified,Leave out requantified,2.3,1.9,10.9,14.8,495980000,319330000,176650000,29905000,15576000,14329000,7152600,5022000,2130600,183000000,120530000,62466000,275920000,178190000,97724000,,,,118,3009;5870;10322;16849,True;True;True;True,3462;6778;12007;19371,8951;8952;8953;17010;17011;30229;30230;48544;48545;48546,17031;17032;17033;31990;31991;56605;89816;89817,17033;31990;56605;89817,,,,,-1;-1;-1;-1;-1;-1;-1,protein_119,quanti,quanti,quanti,quanti
FGF2,1.18977162019319,0.166117430548893,P09038;A0A0A0MQV6,P09038;A0A0A0MQV6,2;2,2;2,2;2,Fibroblast growth factor 2,sp|P09038|FGF2_HUMAN Fibroblast growth factor 2 OS=Homo sapiens OX=9606 GN=FGF2 PE=1 SV=3;tr|A0A0A0MQV6|A0A0A0MQV6_HUMAN Fibroblast growth factor OS=Homo sapiens OX=9606 GN=FGF2 PE=1 SV=1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3.8,3.8,3.8,30.77,288,288;288,0.0010055,3.199,By MS/MS,By matching,By MS/MS,By MS/MS,0.32545,0.78349,41.289,4,1,Median,0.35799,0.29587,0.47367,0.27506,0.84629,0.42545,1.1399,0.72535,,,,,1,1,1,1,1,0,0,0,Median,Median,Median,Median,3.8,3.5,3.5,3.5,110500000,80978000,29524000,15174000,10853000,4320500,4610400,3505100,1105300,36071000,24143000,11929000,54646000,42476000,12169000,,,,120,998;999,True;True,1130;1131,2885;2886;2887;2888,5333;5334;5335;5336;5337,5333;5337,,,,,-1;-1,protein_121,quanti,quanti,quanti,quanti
EPB41L3,0.893049525255378,0.432113336391974,A0A0A0MRA8;Q9Y2J2;A0A0A0MSA4;A8K968;A0A1B0GTF8;J3KT37;J3QS55;J3QRQ6;J3QR33;J3KS70;J3QLU5;J3KRD1;J3QKY2;J3QKK4;A0A2R8YFR9;A0A2U3TZH6;A0A2R8Y5Z6;A0A2R8Y5G2;A0A2R8Y570;A0A2R8Y6G5;A0A2R8YD30;Q4VB86;A0A3B3IUD6;A0A2R8Y7Y3;A0A2R8Y420;A0A3B3ITP0;A0A2R8Y6D0;A0A2R8Y4N6;A0A0J9YY18;P11171,A0A0A0MRA8;Q9Y2J2;A0A0A0MSA4;A8K968;A0A1B0GTF8,8;8;7;6;5;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,7;7;6;5;4;2;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,6;6;5;4;3;1;3;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",tr|A0A0A0MRA8|A0A0A0MRA8_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=1;sp|Q9Y2J2|E41L3_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=2;tr|A0A0A0MSA4|A0A0A0MSA4_HUMAN Band 4.1-like protein 3 OS=Homo sa,30,8,7,6,2,4,7,4,1,3,7,4,1,3,6,3,12.5,11.8,10.7,102.29,918,918;1087;1046;756;571;147;162;79;127;90;96;116;113;125;675;841;787;782;766;680;655;622;607;601;544;542;542;387;325;864,0.0,17.752,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52723,1.5374,28.988,14,5,Leave out requantified,0.27985,0.49538,0.57004,0.78783,0.77988,1.3198,1.752,2.1999,,22.48,28.219,41.858,1,3,7,3,1,1,2,1,Median,Plateau,Leave out requantified,Plateau,2.3,5.2,11.8,5.6,669660000,420260000,249410000,21600000,16732000,4868000,103170000,68868000,34301000,406330000,253420000,152910000,138570000,81239000,57328000,,,,125,675;1939;2317;4081;4714;15664;18534;19035,True;True;True;True;False;True;True;True,749;2226;2659;4671;5400;18042;21260;21841,1887;5831;5832;5833;5834;6990;11739;13551;13552;45084;45085;45086;53416;53417;54946;54947;54948,3411;3412;3413;3414;11131;11132;11133;11134;11135;11136;11137;11138;13439;13440;22083;22084;25446;25447;83357;99743;99744;99745;102831;102832;102833;102834;102835;102836,3411;11131;13439;22083;25446;83357;99745;102835,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_126,quanti,quanti,quanti,quanti
APP,17.6992473439526,2.81011770735802e-07,P05067;A0A0A0MRG2;E9PG40;H7C0V9,P05067;A0A0A0MRG2;E9PG40;H7C0V9,2;2;2;1,2;2;2;1,2;2;2;1,Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31,sp|P05067|A4_HUMAN Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=3;tr|A0A0A0MRG2|A0A0A0MRG2_HUMAN Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=1;tr|E9PG40|E9PG40_HUMAN Amyloid-beta precursor protein OS=Homo ,4,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,4.7,4.7,4.7,86.942,770,770;660;714;485,0.0075277,1.3405,,,By MS/MS,By MS/MS,4.4941,11.175,15.914,2,2,Median,,,5.1012,3.9593,,,12.506,9.986,,,,,0,0,1,1,0,0,1,1,Median,Median,Median,Median,0.0,0.0,1.3,4.7,83339000,17072000,66268000,0,0,0,0,0,0,37575000,5860800,31714000,45765000,11211000,34554000,,,,128,5217;17376,True;True,5966;19952,14932;14933;50054;50055,28100;28101;92891;92892,28100;92892,,,,,-1;-1;-1;-1,protein_129,quanti,quanti,imputed MEC,imputed MEC
PCMT1,-1.61127270962776,0.00160675538591229,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6;C9J0F2,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6,5;5;5;5;4;1,5;5;5;5;4;1,5;5;5;5;4;1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Protein-L-isoaspartate O-methyltransferase,sp|P22061|PIMT_HUMAN Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4;tr|A0A3F2YNX8|A0A3F2YNX8_HUMAN Protein-L-isoaspartate O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=1;tr|A0A0A0MRJ6|A0A0A,6,5,5,5,4,4,2,3,4,4,2,3,4,4,2,3,45.4,45.4,45.4,24.636,227,227;250;285;286;250;96,0.0,7.1082,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28085,0.91074,23.837,12,2,Leave out requantified,0.25448,0.37506,0.26949,0.38098,0.93333,1.0996,0.82865,1.0876,29.911,17.75,27.489,32.005,4,3,2,3,1,0,0,1,Leave out requantified,Leave out requantified,Median,Plateau,37.9,37.9,18.9,26.4,954550000,688190000,266360000,250570000,194060000,56506000,277540000,198840000,78700000,179470000,128060000,51409000,246970000,167230000,79741000,,,,131,1227;10607;12849;12956;19748,True;True;True;True;True,1409;12322;14870;15001;22676,3633;3634;3635;3636;31020;31021;31022;31023;37332;37333;37646;57044;57045;57046;57047,6780;6781;6782;6783;6784;6785;6786;6787;6788;6789;58078;58079;58080;58081;58082;69506;69507;69508;69509;69510;69511;69512;70049;106911;106912;106913;106914;106915,6784;58082;69510;70049;106912,,,,,-1;-1;-1;-1;-1;-1,protein_132,quanti,quanti,quanti,quanti
NOLC1,2.16832875741952,0.00282899526789795,Q14978;A0A0A0MRM9;S4R349;S4R402,Q14978;A0A0A0MRM9,9;9;4;3,9;9;4;3,6;6;1;0,Nucleolar and coiled-body phosphoprotein 1,sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;tr|A0A0A0MRM9|A0A0A0MRM9_HUMAN Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1,4,9,9,6,2,3,7,7,2,3,7,7,2,3,5,4,13.6,13.6,9.4,73.602,699,699;708;258;46,0.0,18.373,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36147,0.95705,16.822,20,3,Leave out requantified,0.28742,0.36717,0.42321,0.33591,0.88432,0.91027,1.1406,0.98257,35.726,19.895,14.377,33.97,2,2,8,8,0,0,1,2,Median,Median,Leave out requantified,Leave out requantified,3.3,4.9,9.6,10.9,1668900000,1210400000,458590000,75604000,58361000,17244000,63668000,45188000,18480000,541270000,379590000,161680000,988400000,727220000,261180000,,,,133,160;2081;3139;5174;11632;13769;15308;19786;20190,True;True;True;True;True;True;True;True;True,177;178;2383;3617;5916;13508;15904;17644;22716;23184,428;429;430;431;432;6258;9337;14832;14833;33934;33935;39922;39923;44099;44100;57143;57144;57145;58317;58318;58319;58320,771;772;773;774;775;776;777;11929;17804;27926;63332;63333;63334;63335;63336;63337;63338;63339;74224;81582;81583;81584;81585;81586;81587;81588;107078;107079;107080;107081;107082;109402;109403;109404;109405;109406;109407;109408;109409;109410;109411;109412;109413;109414;109415;109416;109417;109418;109419;109420;109421;109422;109423,773;11929;17804;27926;63336;74224;81588;107081;109416,31,,452,,-1;-1;-1;-1,protein_134,quanti,quanti,quanti,quanti
DYDC2,20.1490882314177,1.26232178671143e-05,Q96IM9;X1WI30;A0A0A0MRQ7,Q96IM9;X1WI30;A0A0A0MRQ7,2;2;2,2;2;2,2;2;2,DPY30 domain-containing protein 2,sp|Q96IM9|DYDC2_HUMAN DPY30 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=DYDC2 PE=1 SV=1;tr|X1WI30|X1WI30_HUMAN DPY30 domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=DYDC2 PE=1 SV=7;tr|A0A0A0MRQ7|A0A0A0MRQ7_HUMAN DPY30 domain-co,3,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,13.6,13.6,13.6,20.586,177,177;125;191,0.0097733,1.2649,,,By MS/MS,By matching,0.5222,1.4583,22.165,3,0,Median,,,0.42505,0.61996,,,1.2269,1.5605,,,24.432,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,13.6,7.9,186190000,100500000,85684000,0,0,0,0,0,0,139790000,73996000,65794000,46396000,26506000,19890000,,,,134,3815;9407,True;True,4372;10947,11090;27506;27507,20978;51513,20978;51513,32;33,,100;101,,-1;-1;-1,protein_135,quanti,quanti,imputed MEC,imputed MEC
ABI1,0.405390090203184,0.124435029262336,Q8IZP0;B6VEX4;A0A0A0MRT6,Q8IZP0;B6VEX4;A0A0A0MRT6,2;2;2,2;2;2,2;2;2,Abl interactor 1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5.5,5.5,5.5,55.08,508,508;393;475,0.0,4.0305,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42321,1.0715,15.986,4,4,Median,0.41004,0.39903,0.43682,0.44014,1.0449,0.83955,1.0987,1.2288,,,,,1,1,1,1,1,1,1,1,Median,Median,Median,Median,3.1,3.1,2.4,2.4,151310000,101150000,50160000,17454000,12298000,5155800,17501000,12478000,5022300,44231000,30203000,14027000,72125000,46171000,25955000,,,,135,476;7635,True;True,534;8878,1323;1324;1325;22293;22294,2405;2406;2407;2408;2409;41983;41984;41985;41986,2406;41985,,,,,-1;-1;-1,protein_136,quanti,quanti,quanti,quanti
HADH,1.33356692779175,0.0840053708800778,Q16836;A0A1W2PQV5;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQ78;A0A1W2PQC2;A0A1W2PRT2,Q16836;A0A1W2PQV5;A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;A0A1W2PQ78,3;3;3;3;3;3;2;1;1,3;3;3;3;3;3;2;1;1,3;3;3;3;3;3;2;1;1,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial","sp|Q16836|HCDH_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3;tr|A0A1W2PQV5|A0A1W2PQV5_HUMAN Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=1;tr|A0A1W2PNM1|A0",9,3,3,3,2,1,3,3,2,1,3,3,2,1,3,3,14.0,14.0,14.0,34.293,314,314;245;267;317;318;390;176;165;183,0.0,10.156,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32401,0.82395,22.078,9,3,Leave out requantified,0.23405,0.4495,0.29363,0.34931,0.66775,1.1002,0.97675,0.97698,31.986,,20.241,23.463,2,1,3,3,0,0,1,2,Median,Median,Plateau,Median,9.6,3.5,14.0,14.0,609710000,456390000,153320000,69150000,51762000,17388000,30248000,21039000,9209700,211700000,160950000,50749000,298620000,222640000,75972000,,,,137,1293;4174;11195,True;True;True,1486;4777;13011,3838;3839;3840;11998;11999;32775;32776;32777;32778,7151;7152;7153;7154;7155;7156;7157;22583;22584;22585;22586;61376;61377;61378;61379;61380;61381,7152;22584;61380,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_138,quanti,quanti,quanti,quanti
DDX42,1.38983655443575,0.0262083207409919,Q86XP3;A0A0A0MSJ0;J3KRE3,Q86XP3;A0A0A0MSJ0,8;8;1,8;8;1,8;8;1,ATP-dependent RNA helicase DDX42,sp|Q86XP3|DDX42_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1;tr|A0A0A0MSJ0|A0A0A0MSJ0_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,3,8,8,8,3,2,3,6,3,2,3,6,3,2,3,6,13.3,13.3,13.3,102.97,938,938;708;99,0.0,24.417,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51894,1.4203,60.669,13,2,Leave out requantified,0.25522,0.51161,0.74443,0.443,0.62044,1.0774,1.9543,1.1677,26.347,3.5045,31.714,73.374,2,2,4,5,0,1,0,1,Median,Median,Leave out requantified,Leave out requantified,6.1,4.3,6.8,8.7,730790000,456840000,273940000,47610000,40430000,7180300,35726000,24739000,10987000,265520000,143190000,122330000,381930000,248490000,133440000,,,,139,2923;2931;5765;9223;9379;11335;19856;20194,True;True;True;True;True;True;True;True,3361;3369;6649;10737;10915;13170;22792;23188,8744;8760;8761;8762;16656;26994;27431;33142;33143;57317;57318;57319;57320;57321;57322;58325,16703;16722;16723;16724;16725;31379;31380;50708;51393;62011;62012;107394;107395;107396;107397;107398;107399;107400;107401;109429;109430,16703;16725;31380;50708;51393;62012;107399;109429,,,,,-1;-1;-1,protein_140,quanti,quanti,quanti,quanti
PLS3,-1.55272458126199,0.00635432044391318,P13797;A0A0A0MSQ0;U3KQI3;Q5TBN3,P13797;A0A0A0MSQ0,6;6;2;1,6;6;2;1,3;3;1;0,Plastin-3,sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4;tr|A0A0A0MSQ0|A0A0A0MSQ0_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=1,4,6,6,3,4,4,1,2,4,4,1,2,2,3,0,0,11.1,11.1,5.7,70.81,630,630;617;164;246,0.0,15.293,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44126,1.1385,7.5385,11,1,Leave out requantified,0.38492,0.45494,0.33102,0.445,1.1062,1.2205,0.99351,1.2564,8.2566,4.7807,,18.862,4,4,1,2,0,1,0,0,Leave out requantified,Leave out requantified,Median,Median,7.6,7.8,1.9,4.0,659120000,456850000,202270000,149810000,105750000,44061000,208710000,145120000,63592000,85879000,65976000,19903000,214730000,140010000,74715000,,,,142,2282;2483;7823;12900;13360;20280,True;True;True;True;True;True,2618;2852;9105;14929;15453;23283,6891;7477;7478;22921;37461;37462;37463;38792;38793;58560;58561,13250;14352;14353;43257;69747;69748;69749;69750;69751;72031;72032;72033;72034;109860;109861;109862;109863;109864,13250;14353;43257;69751;72034;109863,,,,,-1;-1;-1;-1,protein_143,quanti,quanti,quanti,quanti
SLC4A7,20.2162857731876,7.02262462498744e-07,Q9Y6M7;C9JRP1;A0A0A0MST8;E9PFN4,Q9Y6M7;C9JRP1;A0A0A0MST8;E9PFN4,3;3;3;3,3;3;3;3,2;2;2;2,Sodium bicarbonate cotransporter 3;Anion exchange protein,sp|Q9Y6M7|S4A7_HUMAN Sodium bicarbonate cotransporter 3 OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=2;tr|C9JRP1|C9JRP1_HUMAN Anion exchange protein (Fragment) OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=1;tr|A0A0A0MST8|A0A0A0MST8_HUMAN Anion exchange protein O,4,3,3,2,0,0,2,3,0,0,2,3,0,0,1,2,3.9,3.9,2.5,136.04,1214,1214;1051;1201;1210,0.0,3.93,,,By MS/MS,By MS/MS,0.38313,0.86558,38.552,5,1,Leave out requantified,,,0.41394,0.36219,,,0.87417,0.75334,,,49.944,20.599,0,0,2,3,0,0,0,1,Median,Median,Median,Median,0.0,0.0,2.4,3.9,150350000,102960000,47396000,0,0,0,0,0,0,46869000,29181000,17689000,103480000,73775000,29707000,,,,143,2445;9721;15817,True;True;True,2810;11323;18216,7382;7383;28445;45560;45561,14206;53176;84295,14206;53176;84295,,,,,-1;-1;-1;-1,protein_144,quanti,quanti,imputed MEC,imputed MEC
PITPNB;PITPNA,-2.6606855927716,0.00018547382256373,P48739;B3KYB6;B3KYB7;A0A0A0MSW4;Q00169;I3L3W1;I3L2X8;I3L471;I3L4C0;I3L4U7;I3L459;I3L4H1;F5GWE5,P48739;B3KYB6;B3KYB7;A0A0A0MSW4;Q00169;I3L3W1;I3L2X8;I3L471;I3L4C0;I3L4U7;I3L459;I3L4H1;F5GWE5,2;2;2;2;1;1;1;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1;1;1;1,Phosphatidylinositol transfer protein beta isoform;Phosphatidylinositol transfer protein alpha isoform,sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2;tr|B3KYB6|B3KYB6_HUMAN Phosphatidylinositol transfer protein beta isoform (Fragment) OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=1;tr|B3KYB7|,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.1,8.1,8.1,31.54,271,271;120;167;271;270;44;83;98;115;121;142;209;270,0.0,4.7721,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30575,0.8681,17.032,10,4,Leave out requantified,0.47785,0.35104,0.32475,0.32051,1.7196,0.97921,0.83306,0.82827,34.561,75.328,4.038,10.389,3,3,2,2,2,1,1,0,Median,Median,Median,Median,8.1,8.1,8.1,8.1,802000000,621590000,180400000,284820000,212180000,72639000,310620000,244000000,66616000,88409000,71194000,17215000,118150000,94217000,23932000,,,,145,2457;12869,True;True,2824;14896,7415;7416;7417;7418;37386;37387;37388;37389;37390;37391,14273;14274;14275;14276;14277;14278;14279;69615;69616;69617;69618;69619;69620;69621;69622,14275;69621,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_146,quanti,quanti,quanti,quanti
IVD,0.760957095405622,0.027392994805962,P26440;A0A0A0MT83;A0A0S2Z4K7;H0YLC3;H7C4G6;H0YN10;H0YKV0;A0A087WVD3,P26440;A0A0A0MT83;A0A0S2Z4K7,9;9;8;4;4;3;2;2,9;9;8;4;4;3;2;2,9;9;8;4;4;3;2;2,"Isovaleryl-CoA dehydrogenase, mitochondrial","sp|P26440|IVD_HUMAN Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0A0MT83|A0A0A0MT83_HUMAN Isovaleryl-CoA dehydrogenase isoform 1 OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2;tr|A0A0S2Z4K7|A0A0S2Z4K7_HUMAN Isovalery",8,9,9,9,5,5,7,8,5,5,7,8,5,5,7,8,24.6,24.6,24.6,46.65,426,426;423;393;243;307;212;145;211,0.0,13.968,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4012,1.0223,13.047,22,8,Leave out requantified,0.35563,0.41258,0.40575,0.34895,0.95655,1.0199,1.0818,0.97457,19.854,1.308,15.912,16.744,4,4,7,7,3,1,2,2,Median,Leave out requantified,Leave out requantified,Leave out requantified,11.3,12.0,23.0,23.0,1040300000,703030000,337250000,99889000,72788000,27101000,112470000,71232000,41242000,378300000,248100000,130200000,449620000,310900000,138710000,,,,147,619;1972;4697;5782;7514;12220;12408;12409;17150,True;True;True;True;True;True;True;True;True,686;2260;5380;6671;8745;14172;14386;14387;19698,1728;5932;5933;13495;13496;13497;13498;16723;16724;16725;16726;21948;21949;21950;21951;35582;35583;36136;36137;36138;36139;36140;36141;49383;49384;49385,3107;11304;11305;25339;25340;25341;25342;31513;31514;31515;31516;31517;31518;31519;31520;31521;41345;41346;41347;41348;41349;66253;66254;66255;67328;67329;67330;67331;67332;67333;67334;67335;67336;91506;91507;91508,3107;11305;25342;31521;41348;66253;67328;67334;91507,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_148,quanti,quanti,quanti,quanti
