Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NUP43-N1,Intensity NUP43-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P04080;A0A1W2PS52,P04080;A0A1W2PS52,2;1,2;1,2;1,Cystatin-B,CSTB,sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2;tr|A0A1W2PS52|A0A1W2PS52_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=1,2,2,24.5,21.6898717464561,24.5449823501851,24.402300643813,24.1044560668272
Q6PD62;H0YCE8,Q6PD62;H0YCE8,2;2,2;2,2;2,RNA polymerase-associated protein CTR9 homolog,CTR9,sp|Q6PD62|CTR9_HUMAN RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens OX=9606 GN=CTR9 PE=1 SV=1;tr|H0YCE8|H0YCE8_HUMAN RNA polymerase-associated protein CTR9 homolog (Fragment) OS=Homo sapiens OX=9606 GN=CTR9 PE=1 SV=1,2,2,2.3,22.4657298019405,23.7203050655473,4.42963131265863,4.37131702904701
Q9P0U4;K7EQZ1;K7EQ21;A0A669KB29;K7EJR0,Q9P0U4;K7EQZ1;K7EQ21;A0A669KB29;K7EJR0,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,CXXC-type zinc finger protein 1,CXXC1,"sp|Q9P0U4|CXXC1_HUMAN CXXC-type zinc finger protein 1 OS=Homo sapiens OX=9606 GN=CXXC1 PE=1 SV=2;tr|K7EQZ1|K7EQZ1_HUMAN CXXC-type zinc finger protein 1 OS=Homo sapiens OX=9606 GN=CXXC1 PE=1 SV=9;tr|K7EQ21|K7EQ21_HUMAN CXXC finger 1 (PHD domain), isoform CR",2,2,4.6,22.6596446292241,23.2023665903485,4.42963131265863,4.37131702904701
P00167,P00167,2,2,2,Cytochrome b5,CYB5A,sp|P00167|CYB5_HUMAN Cytochrome b5 OS=Homo sapiens OX=9606 GN=CYB5A PE=1 SV=2,2,2,25.4,4.20354318657847,4.29426065740498,24.5299337746478,24.3254424223402
Q96F07;E7EVJ5;E7EW33;H7C229;A0A087WVE1;A0A087WTQ3;A0A087WWZ1,Q96F07;E7EVJ5;E7EW33;H7C229,4;4;3;3;1;1;1,2;2;2;2;0;0;0,2;2;2;2;0;0;0,Cytoplasmic FMR1-interacting protein 2,CYFIP2,sp|Q96F07|CYFP2_HUMAN Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2;tr|E7EVJ5|E7EVJ5_HUMAN Cytoplasmic FMR1-interacting protein OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=1;tr|E7EW33|E7EW33_HUMAN Cytoplasmic FMR1-interac,4,2,3.4,23.7335306213344,22.7270861819029,21.6644889514324,21.8830071635554
Q9NXZ2,Q9NXZ2,2,2,2,Probable ATP-dependent RNA helicase DDX43,DDX43,sp|Q9NXZ2|DDX43_HUMAN Probable ATP-dependent RNA helicase DDX43 OS=Homo sapiens OX=9606 GN=DDX43 PE=1 SV=2,2,2,3.5,4.20354318657847,4.29426065740498,24.5152310190897,22.85918062675
Q9BQ39;A0A087WVC1,Q9BQ39;A0A087WVC1,4;4,2;2,2;2,ATP-dependent RNA helicase DDX50,DDX50,sp|Q9BQ39|DDX50_HUMAN ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1;tr|A0A087WVC1|A0A087WVC1_HUMAN ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1,4,2,6.6,24.1821512341117,22.4894687469851,4.42963131265863,4.37131702904701
Q9Y2R4;A0A087X1P7;A0A087WTD6;A0A087X069,Q9Y2R4;A0A087X1P7;A0A087WTD6;A0A087X069,2;1;1;1,2;1;1;1,2;1;1;1,Probable ATP-dependent RNA helicase DDX52,DDX52,sp|Q9Y2R4|DDX52_HUMAN Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens OX=9606 GN=DDX52 PE=1 SV=3;tr|A0A087X1P7|A0A087X1P7_HUMAN Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens OX=9606 GN=DDX52 PE=1 SV=1;tr|A0A087WTD6|A0A087WTD6_HUMAN Pr,2,2,3.5,22.1418639111808,22.4624633306166,4.42963131265863,4.37131702904701
P35659;D6R9L5;H0Y8X0;A0A494C198;H0Y993;B4DFG0;A0A494C028,P35659;D6R9L5;H0Y8X0;A0A494C198;H0Y993;B4DFG0;A0A494C028,2;2;2;2;2;1;1,2;2;2;2;2;1;1,2;2;2;2;2;1;1,Protein DEK,DEK,sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;tr|D6R9L5|D6R9L5_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|H0Y8X0|H0Y8X0_HUMAN Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=2;tr|A0A494C198|A0A494C198_HUMAN,2,2,8.3,27.1843286016263,27.4999029534699,23.7540247046207,22.8914870660134
A0A3B3ISW2;Q15700;F8VYC1;E9PIW2;B7Z2T4;E9PN83;A0A3B3ITF1,A0A3B3ISW2;Q15700;F8VYC1;E9PIW2;B7Z2T4;E9PN83;A0A3B3ITF1,4;3;3;3;3;3;3,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Disks large homolog 2,DLG2,tr|A0A3B3ISW2|A0A3B3ISW2_HUMAN Disks large homolog 2 OS=Homo sapiens OX=9606 GN=DLG2 PE=1 SV=1;sp|Q15700|DLG2_HUMAN Disks large homolog 2 OS=Homo sapiens OX=9606 GN=DLG2 PE=1 SV=3;tr|F8VYC1|F8VYC1_HUMAN Disks large homolog 2 (Fragment) OS=Homo sapiens OX=9,4,2,9.4,4.20354318657847,4.29426065740498,25.317551728622,23.3390572890842
Q8N4W6,Q8N4W6,2,2,2,DnaJ homolog subfamily C member 22,DNAJC22,sp|Q8N4W6|DJC22_HUMAN DnaJ homolog subfamily C member 22 OS=Homo sapiens OX=9606 GN=DNAJC22 PE=1 SV=1,2,2,8.2,4.20354318657847,4.29426065740498,25.0808685872898,24.4069075273809
Q05193;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;P50570;A0A1B0GUX5;A0A1B0GU67,Q05193;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;P50570;A0A1B0GUX5;A0A1B0GU67,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Dynamin-1;Dynamin-2,DNM1;DNM2,sp|Q05193|DYN1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2;tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0U1RQP1|A0A0U1RQP1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0D9SFE4|A0A,2,2,4.6,23.6399765528078,24.4295323467486,22.7722332125255,23.3610794494622
Q01658,Q01658,2,2,2,Protein Dr1,DR1,sp|Q01658|NC2B_HUMAN Protein Dr1 OS=Homo sapiens OX=9606 GN=DR1 PE=1 SV=1,2,2,15.3,25.2614456154994,25.4149651787615,4.42963131265863,4.37131702904701
P51452;K7ES89,P51452;K7ES89,2;1,2;1,2;1,Dual specificity protein phosphatase 3,DUSP3,sp|P51452|DUS3_HUMAN Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1;tr|K7ES89|K7ES89_HUMAN Dual specificity protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1,2,2,14.6,4.20354318657847,4.29426065740498,23.7209848377199,24.3778909763675
P63167;Q96FJ2,P63167;Q96FJ2,2;2,2;2,2;2,"Dynein light chain 1, cytoplasmic;Dynein light chain 2, cytoplasmic",DYNLL1;DYNLL2,"sp|P63167|DYL1_HUMAN Dynein light chain 1, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL1 PE=1 SV=1;sp|Q96FJ2|DYL2_HUMAN Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1",2,2,24.7,22.5832058327698,21.9304500471841,4.42963131265863,4.37131702904701
Q5VYK3;J3KN16;R4GMY1,Q5VYK3;J3KN16;R4GMY1,2;2;1,2;2;1,2;2;1,Proteasome-associated protein ECM29 homolog,ECM29;KIAA0368,sp|Q5VYK3|ECM29_HUMAN Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=2;tr|J3KN16|J3KN16_HUMAN Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=1;tr|R4GMY1|R4GMY1_HUMAN Proteasome,2,2,2.1,4.20354318657847,4.29426065740498,22.7683612320097,23.5156892523841
Q96F86;H3BPN4,Q96F86;H3BPN4,2;1,2;1,2;1,Enhancer of mRNA-decapping protein 3,EDC3,sp|Q96F86|EDC3_HUMAN Enhancer of mRNA-decapping protein 3 OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1;tr|H3BPN4|H3BPN4_HUMAN Enhancer of mRNA-decapping protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1,2,2,4.3,4.20354318657847,4.29426065740498,23.9500247098922,24.2256010933299
O60869,O60869,2,2,2,Endothelial differentiation-related factor 1,EDF1,sp|O60869|EDF1_HUMAN Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1,2,2,18.2,22.0741453835687,23.3438446004035,25.6716866121573,25.631481052565
P49770;H0YK01,P49770;H0YK01,2;1,2;1,2;1,Translation initiation factor eIF-2B subunit beta,EIF2B2,sp|P49770|EI2BB_HUMAN Translation initiation factor eIF-2B subunit beta OS=Homo sapiens OX=9606 GN=EIF2B2 PE=1 SV=3;tr|H0YK01|H0YK01_HUMAN Translation initiation factor eIF-2B subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=EIF2B2 PE=1 SV=2,2,2,7.7,4.20354318657847,4.29426065740498,23.5342154778295,23.7827679079175
A0A0A0MTI6;Q9NYP7,A0A0A0MTI6;Q9NYP7,2;1,2;1,2;1,Elongation of very long chain fatty acids protein;Elongation of very long chain fatty acids protein 5,ELOVL5,tr|A0A0A0MTI6|A0A0A0MTI6_HUMAN Elongation of very long chain fatty acids protein OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1;sp|Q9NYP7|ELOV5_HUMAN Elongation of very long chain fatty acids protein 5 OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1,2,2,8.8,23.2126271332633,22.4741485580268,24.8544429294946,23.6232143936251
Q9H329,Q9H329,3,3,2,Band 4.1-like protein 4B,EPB41L4B,sp|Q9H329|E41LB_HUMAN Band 4.1-like protein 4B OS=Homo sapiens OX=9606 GN=EPB41L4B PE=2 SV=2,3,2,4.4,23.3535323853734,23.5773353265221,24.7887035986894,22.8002355823884
B1AKC9;P29323,B1AKC9;P29323,3;2,2;1,2;1,Receptor protein-tyrosine kinase;Ephrin type-B receptor 2,EPHB2,tr|B1AKC9|B1AKC9_HUMAN Ephrin type-B receptor 2 OS=Homo sapiens OX=9606 GN=EPHB2 PE=1 SV=1;sp|P29323|EPHB2_HUMAN Ephrin type-B receptor 2 OS=Homo sapiens OX=9606 GN=EPHB2 PE=1 SV=5,3,2,6.2,4.20354318657847,4.29426065740498,24.3358043089117,24.7971905025005
O95208;F6PQP6;E9PBC1;I3L2B2;I3L356;I3L2H1,O95208;F6PQP6;E9PBC1;I3L2B2;I3L356;I3L2H1,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,Epsin-2,EPN2,sp|O95208|EPN2_HUMAN Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=3;tr|F6PQP6|F6PQP6_HUMAN Epsin-2 (Fragment) OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=8;tr|E9PBC1|E9PBC1_HUMAN Epsin-2 OS=Homo sapiens OX=9606 GN=EPN2 PE=1 SV=1;tr|I3L2B2|I3L2B2_HUMAN Epsin,2,2,3.1,4.20354318657847,4.29426065740498,24.4062849141503,23.7462215261033
Q12929;A0A2R8YE63;A0A2R8Y4W2,Q12929;A0A2R8YE63;A0A2R8Y4W2,2;2;2,2;2;2,2;2;2,Epidermal growth factor receptor kinase substrate 8,EPS8,sp|Q12929|EPS8_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1;tr|A0A2R8YE63|A0A2R8YE63_HUMAN Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1;tr|A0A2R8Y4W2|A0,2,2,4.5,4.20354318657847,4.29426065740498,24.8186551160885,23.6346692689283
Q9C0D9;A0A087WW58;C9JEZ2;C9JAG1,Q9C0D9;A0A087WW58;C9JEZ2;C9JAG1,2;2;1;1,2;2;1;1,2;2;1;1,Ethanolaminephosphotransferase 1,EPT1,sp|Q9C0D9|EPT1_HUMAN Ethanolaminephosphotransferase 1 OS=Homo sapiens OX=9606 GN=SELENOI PE=1 SV=3;tr|A0A087WW58|A0A087WW58_HUMAN Ethanolaminephosphotransferase 1 OS=Homo sapiens OX=9606 GN=SELENOI PE=1 SV=1;tr|C9JEZ2|C9JEZ2_HUMAN Ethanolaminephosphotransf,2,2,10.6,22.5282487496447,21.4572365766995,29.1008422072348,29.0017699806611
Q92817;K7EKI0,Q92817;K7EKI0,2;2,2;2,2;2,Envoplakin,EVPL,sp|Q92817|EVPL_HUMAN Envoplakin OS=Homo sapiens OX=9606 GN=EVPL PE=1 SV=3;tr|K7EKI0|K7EKI0_HUMAN Envoplakin OS=Homo sapiens OX=9606 GN=EVPL PE=1 SV=1,2,2,1.9,24.3439436444442,24.8749436846842,29.2878224442474,29.2538798291949
Q01469,Q01469,2,2,2,"Fatty acid-binding protein, epidermal",FABP5,sp|Q01469|FABP5_HUMAN Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3,2,2,13.3,24.3416382610806,24.8725946048781,4.42963131265863,4.37131702904701
Q96E09;A0A590UJT9,Q96E09;A0A590UJT9,2;2,2;2,2;2,Protein FAM122A,FAM122A,sp|Q96E09|F122A_HUMAN Protein FAM122A OS=Homo sapiens OX=9606 GN=FAM122A PE=1 SV=1;tr|A0A590UJT9|A0A590UJT9_HUMAN Phosphatidylinositol 4-phosphate 5-kinase type-1 beta OS=Homo sapiens OX=9606 GN=PIP5K1B PE=4 SV=1,2,2,17.4,22.7594891886066,23.3989784864771,24.5375961703396,23.8988294178364
C9JLW8;I3L2L5;I3L317;I3L4Q0,C9JLW8;I3L2L5;I3L317;I3L4Q0,2;2;2;2,2;2;2;2,2;2;2;2,Protein FAM195B,FAM195B,sp|C9JLW8|MCRI1_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1;tr|I3L2L5|I3L2L5_HUMAN Mapk-regulated corepressor-interacting protein 1 OS=Homo sapiens OX=9606 GN=MCRIP1 PE=1 SV=1;tr|I3L317|I3L317_HUMAN Ma,2,2,20.6,4.20354318657847,4.29426065740498,23.1742472853396,24.3114092726671
Q6PEV8,Q6PEV8,2,2,2,Protein FAM199X,FAM199X,sp|Q6PEV8|F199X_HUMAN Protein FAM199X OS=Homo sapiens OX=9606 GN=FAM199X PE=1 SV=1,2,2,9.8,23.7909418393632,23.6422923641866,4.42963131265863,4.37131702904701
Q9Y421;K7EIY1;K7ENN5;K7ELZ8,Q9Y421;K7EIY1;K7ENN5;K7ELZ8,2;2;2;1,2;2;2;1,2;2;2;1,Protein FAM32A,FAM32A,sp|Q9Y421|FA32A_HUMAN Protein FAM32A OS=Homo sapiens OX=9606 GN=FAM32A PE=1 SV=2;tr|K7EIY1|K7EIY1_HUMAN Protein FAM32A OS=Homo sapiens OX=9606 GN=FAM32A PE=1 SV=1;tr|K7ENN5|K7ENN5_HUMAN Protein FAM32A OS=Homo sapiens OX=9606 GN=FAM32A PE=1 SV=1;tr|K7ELZ8|K,2,2,16.1,23.6422923641866,24.628730759346,4.42963131265863,4.37131702904701
Q0JRZ9;H0YAE2;H7BXJ4,Q0JRZ9;H0YAE2;H7BXJ4,2;1;1,2;1;1,2;1;1,F-BAR domain only protein 2,FCHO2,sp|Q0JRZ9|FCHO2_HUMAN F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2;tr|H0YAE2|H0YAE2_HUMAN F-BAR domain only protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=9;tr|H7BXJ4|H7BXJ4_HUMAN F-BAR domain only protein 2 OS=Homo,2,2,3.1,4.20354318657847,4.29426065740498,23.1259866214458,22.9616220848894
Q13642;A0A0D9SFI6;A0A0D9SFB0;Q5JXH9;A0A0D9SFZ9;Q5JXH8;Q5JXH7;Q5JXI3;Q5JXI2;Q5JXI8;A0A494C0D6;A0A494C0J3;A0A0D9SGD1;A0A0D9SGB2;Q5JXI0,Q13642;A0A0D9SFI6;A0A0D9SFB0;Q5JXH9;A0A0D9SFZ9;Q5JXH8;Q5JXH7;Q5JXI3;Q5JXI2;Q5JXI8;A0A494C0D6;A0A494C0J3;A0A0D9SGD1;A0A0D9SGB2;Q5JXI0,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,Four and a half LIM domains protein 1,FHL1,sp|Q13642|FHL1_HUMAN Four and a half LIM domains protein 1 OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=4;tr|A0A0D9SFI6|A0A0D9SFI6_HUMAN Four and a half LIM domains protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=1;tr|A0A0D9SFB0|A0A0D9SFB0_HUMAN Fo,2,2,5.9,4.20354318657847,4.29426065740498,24.5689469641965,24.8047911850015
Q60FE5;A0A087WWY3,Q60FE5;A0A087WWY3,155;129,2;2,2;2,,FLNA,tr|Q60FE5|Q60FE5_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1;tr|A0A087WWY3|A0A087WWY3_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1,155,2,71.9,28.3053472645409,28.602296351843,30.4711151495626,30.9903720871198
Q06787;R9WNI0;A8MQB8;G3V0J0;Q8IXW7;A0A087WXI3;A0A087WWR6;A0A087WY29;A0A087X1M7;A0A087WWU4,Q06787;R9WNI0;A8MQB8;G3V0J0;Q8IXW7;A0A087WXI3;A0A087WWR6;A0A087WY29,4;4;4;4;3;3;2;2;1;1,2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;1;1;1;1,Fragile X mental retardation protein 1,FMR1,sp|Q06787|FMR1_HUMAN Synaptic functional regulator FMR1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|R9WNI0|R9WNI0_HUMAN Fragile X mental retardation 1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1;tr|A8MQB8|A8MQB8_HUMAN Synaptic functional regulator FMR1 OS=H,4,2,7.9,4.20354318657847,4.29426065740498,23.6332285132463,22.2837903616895
A0A140T9V1;O95866;A0A0G2JJG8,A0A140T9V1;O95866;A0A0G2JJG8,2;1;1,2;1;1,2;1;1,Protein G6b,G6B,tr|A0A140T9V1|A0A140T9V1_HUMAN Megakaryocyte and platelet inhibitory receptor G6b OS=Homo sapiens OX=9606 GN=MPIG6B PE=1 SV=1;sp|O95866|G6B_HUMAN Megakaryocyte and platelet inhibitory receptor G6b OS=Homo sapiens OX=9606 GN=MPIG6B PE=1 SV=1;tr|A0A0G2JJG8|A,2,2,18.9,23.8021308537304,23.7770586202685,23.5415598645369,26.9981959784194
P38435,P38435,2,2,2,Vitamin K-dependent gamma-carboxylase,GGCX,sp|P38435|VKGC_HUMAN Vitamin K-dependent gamma-carboxylase OS=Homo sapiens OX=9606 GN=GGCX PE=1 SV=2,2,2,3.8,25.9755254421144,26.1835269824131,4.42963131265863,4.37131702904701
Q9Y2X7;J3QLH1;J3QRU8;A0A0C4DGN6,Q9Y2X7;J3QLH1;J3QRU8;A0A0C4DGN6,2;2;2;2,2;2;2;2,2;2;2;2,ARF GTPase-activating protein GIT1,GIT1,sp|Q9Y2X7|GIT1_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=2;tr|J3QLH1|J3QLH1_HUMAN ARF GTPase-activating protein GIT1 (Fragment) OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=8;tr|J3QRU8|J3QRU8_HUMAN ARF GTPase-activating pr,2,2,4.6,4.20354318657847,4.29426065740498,24.4673727075945,22.8367076321382
Q92990;M0QX84;M0QXG8,Q92990;M0QX84;M0QXG8,2;1;1,2;1;1,2;1;1,Glomulin,GLMN,sp|Q92990|GLMN_HUMAN Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2;tr|M0QX84|M0QX84_HUMAN Glomulin (Fragment) OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=1;tr|M0QXG8|M0QXG8_HUMAN Glomulin (Fragment) OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2,2,2,3.5,4.20354318657847,4.29426065740498,24.1801793028267,23.7201498843343
Q9HC38;F6TLX2;I3L1I0;I3L3Q4,Q9HC38;F6TLX2;I3L1I0;I3L3Q4,2;2;1;1,2;2;1;1,2;2;1;1,Glyoxalase domain-containing protein 4,GLOD4,sp|Q9HC38|GLOD4_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1;tr|F6TLX2|F6TLX2_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1;tr|I3L1I0|I3L1I0_HUMAN Glyoxalase domain-contai,2,2,10.5,23.9079413418649,24.0112880053491,23.6712006835448,23.4542520958071
Q9UKD1;Q5JTV1,Q9UKD1;Q5JTV1,2;2,2;2,2;2,Glucocorticoid modulatory element-binding protein 2,GMEB2,"sp|Q9UKD1|GMEB2_HUMAN Glucocorticoid modulatory element-binding protein 2 OS=Homo sapiens OX=9606 GN=GMEB2 PE=1 SV=1;tr|Q5JTV1|Q5JTV1_HUMAN Glucocorticoid modulatory element binding protein 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=GMEB2 PE=1 SV=1",2,2,2.6,23.3586919131059,23.6341153023889,4.42963131265863,4.37131702904701
P62879;Q9HAV0;C9JZN1;C9JIS1;C9JXA5;P62873;C9JD14;B1AKQ8;F6X3N5;F6UT28;E7EP32,P62879;Q9HAV0;C9JZN1;C9JIS1;C9JXA5;P62873;C9JD14;B1AKQ8;F6X3N5;F6UT28;E7EP32,2;2;2;2;2;1;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1;1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2;Guanine nucleotide-binding protein subunit beta-4;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB2;GNB4;GNB1,sp|P62879|GBB2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens OX=9606 GN=GNB2 PE=1 SV=3;sp|Q9HAV0|GBB4_HUMAN Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens OX=9606 GN=GNB4 PE=1 SV=3;tr|C9JZN1|C9JZN,2,2,7.4,24.8156780206834,23.0308301047734,4.42963131265863,4.37131702904701
Q8N158,Q8N158,2,2,2,Glypican-2;Secreted glypican-2,GPC2,sp|Q8N158|GPC2_HUMAN Glypican-2 OS=Homo sapiens OX=9606 GN=GPC2 PE=2 SV=1,2,2,3.5,25.6857209871839,25.6843171607313,24.5641857817308,24.3736340408768
P57764;E9PIB2;G3V1A6,P57764;E9PIB2;G3V1A6,2;2;2,2;2;2,2;2;2,Gasdermin-D,GSDMD,"sp|P57764|GSDMD_HUMAN Gasdermin-D OS=Homo sapiens OX=9606 GN=GSDMD PE=1 SV=1;tr|E9PIB2|E9PIB2_HUMAN Gasdermin-D (Fragment) OS=Homo sapiens OX=9606 GN=GSDMD PE=1 SV=1;tr|G3V1A6|G3V1A6_HUMAN Gasdermin domain containing 1, isoform CRA_d OS=Homo sapiens OX=960",2,2,6.2,4.20354318657847,4.29426065740498,24.1755422412435,24.6890719228955
Q8IYD1,Q8IYD1,7,2,2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,GSPT2,sp|Q8IYD1|ERF3B_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens OX=9606 GN=GSPT2 PE=1 SV=2,7,2,12.3,4.20354318657847,4.29426065740498,25.1480234344689,24.9875016979316
Q8NEC7;D6RCC4;D6RCC9;D6R9W2,Q8NEC7;D6RCC4;D6RCC9;D6R9W2,2;1;1;1,2;1;1;1,2;1;1;1,Glutathione S-transferase C-terminal domain-containing protein,GSTCD,sp|Q8NEC7|GSTCD_HUMAN Glutathione S-transferase C-terminal domain-containing protein OS=Homo sapiens OX=9606 GN=GSTCD PE=1 SV=2;tr|D6RCC4|D6RCC4_HUMAN Glutathione S-transferase C-terminal domain-containing protein (Fragment) OS=Homo sapiens OX=9606 GN=GSTC,2,2,4.3,4.20354318657847,4.29426065740498,22.3283856721932,23.2843270943648
C9JND4;A0PJZ3,C9JND4;A0PJZ3,2;1,2;1,2;1,Glucoside xylosyltransferase 2,GXYLT2,tr|C9JND4|C9JND4_HUMAN Glucoside xylosyltransferase 2 (Fragment) OS=Homo sapiens OX=9606 GN=GXYLT2 PE=1 SV=1;sp|A0PJZ3|GXLT2_HUMAN Glucoside xylosyltransferase 2 OS=Homo sapiens OX=9606 GN=GXYLT2 PE=2 SV=2,2,2,22.6,24.4449208718968,25.2249758414891,4.42963131265863,4.37131702904701
A6NEM2,A6NEM2,58,58,2,,HCFC1,tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,58,2,36.8,33.4410961767473,33.8037624710803,31.7369093977406,31.7321854015299
Q13547;Q5TEE2;E5RFI6;E5RJ04;E5RGV4;E5RHE7;E5RH52;E5RG37;E5RFP9;H3BM24;E5RK19,Q13547;Q5TEE2,5;4;2;2;2;2;2;2;2;2;1,2;1;0;0;0;0;0;0;0;0;0,2;1;0;0;0;0;0;0;0;0;0,Histone deacetylase 1,HDAC1,sp|Q13547|HDAC1_HUMAN Histone deacetylase 1 OS=Homo sapiens OX=9606 GN=HDAC1 PE=1 SV=1;tr|Q5TEE2|Q5TEE2_HUMAN Histone deacetylase 1 (Fragment) OS=Homo sapiens OX=9606 GN=HDAC1 PE=1 SV=1,5,2,13.5,23.5349278612071,24.787060012426,4.42963131265863,4.37131702904701
Q02539,Q02539,6,2,2,Histone H1.1,HIST1H1A,sp|Q02539|H11_HUMAN Histone H1.1 OS=Homo sapiens OX=9606 GN=H1-1 PE=1 SV=3,6,2,27.0,25.8276466247212,23.48222301927,4.42963131265863,4.37131702904701
