Gene_names,DCAF7_vs_BirA_logFC,DCAF7_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_R10K8_N1,Peptides_BirA_alone_R10K8_N2,Peptides_DCAF7_R10K8_N2_04_02,Peptides_DCAF7_R10K8_N2_20_01,Razor___unique_peptides_BirA_alone_R10K8_N1,Razor___unique_peptides_BirA_alone_R10K8_N2,Razor___unique_peptides_DCAF7_R10K8_N2_04_02,Razor___unique_peptides_DCAF7_R10K8_N2_20_01,Unique_peptides_BirA_alone_R10K8_N1,Unique_peptides_BirA_alone_R10K8_N2,Unique_peptides_DCAF7_R10K8_N2_04_02,Unique_peptides_DCAF7_R10K8_N2_20_01,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_R10K8_N1,Identification_type_BirA_alone_R10K8_N2,Identification_type_DCAF7_R10K8_N2_04_02,Identification_type_DCAF7_R10K8_N2_20_01,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_R10K8_N1,Ratio_H_L_BirA_alone_R10K8_N2,Ratio_H_L_DCAF7_R10K8_N2_04_02,Ratio_H_L_DCAF7_R10K8_N2_20_01,Ratio_H_L_normalized_BirA_alone_R10K8_N1,Ratio_H_L_normalized_BirA_alone_R10K8_N2,Ratio_H_L_normalized_DCAF7_R10K8_N2_04_02,Ratio_H_L_normalized_DCAF7_R10K8_N2_20_01,Ratio_H_L_variability_____BirA_alone_R10K8_N1,Ratio_H_L_variability_____BirA_alone_R10K8_N2,Ratio_H_L_variability_____DCAF7_R10K8_N2_04_02,Ratio_H_L_variability_____DCAF7_R10K8_N2_20_01,Ratio_H_L_count_BirA_alone_R10K8_N1,Ratio_H_L_count_BirA_alone_R10K8_N2,Ratio_H_L_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_iso_count_BirA_alone_R10K8_N1,Ratio_H_L_iso_count_BirA_alone_R10K8_N2,Ratio_H_L_iso_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_iso_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_type_BirA_alone_R10K8_N1,Ratio_H_L_type_BirA_alone_R10K8_N2,Ratio_H_L_type_DCAF7_R10K8_N2_04_02,Ratio_H_L_type_DCAF7_R10K8_N2_20_01,Sequence_coverage_BirA_alone_R10K8_N1____,Sequence_coverage_BirA_alone_R10K8_N2____,Sequence_coverage_DCAF7_R10K8_N2_04_02____,Sequence_coverage_DCAF7_R10K8_N2_20_01____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_R10K8_N1,Intensity_L_BirA_alone_R10K8_N1,Intensity_H_BirA_alone_R10K8_N1,Intensity_BirA_alone_R10K8_N2,Intensity_L_BirA_alone_R10K8_N2,Intensity_H_BirA_alone_R10K8_N2,Intensity_DCAF7_R10K8_N2_04_02,Intensity_L_DCAF7_R10K8_N2_04_02,Intensity_H_DCAF7_R10K8_N2_04_02,Intensity_DCAF7_R10K8_N2_20_01,Intensity_L_DCAF7_R10K8_N2_20_01,Intensity_H_DCAF7_R10K8_N2_20_01,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF7_R10K8_N2_04_02,metacell_Intensity_L_DCAF7_R10K8_N2_20_01,metacell_Intensity_L_BirA_alone_R10K8_N1,metacell_Intensity_L_BirA_alone_R10K8_N2
NIFK,21.1729839640839,7.54684733718048e-08,Q9BYG3;C9J6C5;C9J808,Q9BYG3;C9J6C5;C9J808,4;4;2,4;4;2,4;4;2,MKI67 FHA domain-interacting nucleolar phosphoprotein,sp|Q9BYG3|MK67I_HUMAN MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens OX=9606 GN=NIFK PE=1 SV=1;tr|C9J6C5|C9J6C5_HUMAN MKI67 FHA domain-interacting nucleolar phosphoprotein (Fragment) OS=Homo sapiens OX=9606 GN=NIFK PE=1 SV=1;tr|C9J80,3,4,4,4,0,0,4,4,0,0,4,4,0,0,4,4,19.5,19.5,19.5,34.222,293,293;166;164,0.0,8.027,,,By MS/MS,By MS/MS,0.97687,1.7519,12.947,8,2,Leave out requantified,,,0.99655,0.91986,,,2.104,1.4588,,,16.609,9.5766,0,0,4,4,0,0,1,1,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,19.5,19.5,391000000,173430000,217570000,0,0,0,0,0,0,195170000,86577000,108590000,195830000,86853000,108980000,,,,455,2147;6071;9032;9419,True;True;True;True,2327;6600;9879;10302,6468;6469;17191;17192;26030;26031;27166;27167,13734;13735;13736;35549;35550;35551;35552;53889;53890;53891;56338;56339;56340;56341,13736;35551;53889;56341,,,,,-1;-1;-1,protein_456,quanti,quanti,imputed MEC,imputed MEC
ZC3HAV1,-21.9449828889736,1.58591345005382e-07,Q7Z2W4;C9J6P4;H7C5K1,Q7Z2W4;C9J6P4,4;4;1,4;4;1,4;4;1,Zinc finger CCCH-type antiviral protein 1,sp|Q7Z2W4|ZCCHV_HUMAN Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens OX=9606 GN=ZC3HAV1 PE=1 SV=3;tr|C9J6P4|C9J6P4_HUMAN Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens OX=9606 GN=ZC3HAV1 PE=1 SV=1,3,4,4,4,4,4,0,0,4,4,0,0,4,4,0,0,5.7,5.7,5.7,101.43,902,902;1024;264,0.0,11.187,By MS/MS,By MS/MS,,,0.56119,1.4992,15.048,8,0,Leave out requantified,0.52916,0.59517,,,1.5451,1.4324,,,20.867,9.8008,,,4,4,0,0,0,0,0,0,Leave out requantified,Leave out requantified,Median,Median,5.7,5.7,0.0,0.0,190050000,117730000,72324000,100290000,64271000,36017000,89762000,53455000,36307000,0,0,0,0,0,0,,,,457,2018;16547;16941;19918,True;True;True;True,2187;17986;18407;21633,6105;6106;47462;47463;48564;48565;57397;57398,12995;12996;12997;97569;99805;99806;118862,12996;97569;99806;118862,,,,,-1;-1;-1,protein_458,imputed MEC,imputed MEC,quanti,quanti
RHEB,-1.92799976355525,0.0031967681863819,Q15382;C9J931;C9J469,Q15382;C9J931;C9J469,2;2;1,2;2;1,2;2;1,GTP-binding protein Rheb,sp|Q15382|RHEB_HUMAN GTP-binding protein Rheb OS=Homo sapiens OX=9606 GN=RHEB PE=1 SV=1;tr|C9J931|C9J931_HUMAN GTP-binding protein Rheb OS=Homo sapiens OX=9606 GN=RHEB PE=1 SV=1;tr|C9J469|C9J469_HUMAN GTP-binding protein Rheb (Fragment) OS=Homo sapiens OX=,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,15.2,15.2,15.2,20.497,184,184;79;19,0.001912,2.3155,By matching,By MS/MS,By MS/MS,By matching,0.77886,1.6033,49.067,4,0,Median,0.96053,0.78011,0.58807,0.77762,3.0482,2.0799,1.0425,1.2359,,,,,1,1,1,1,0,0,0,0,Median,Median,Median,Median,8.7,8.7,6.5,6.5,118720000,53677000,65044000,33087000,14753000,18333000,45393000,18874000,26519000,17842000,8558200,9283900,22399000,11491000,10908000,,,,463,8124;20097,True;True,8885;21823,23338;23339;57882;57883,48394;48395;48396;119909,48396;119909,,,,,-1;-1;-1,protein_464,quanti,quanti,quanti,quanti
RBM28,18.7751227270363,1.56731774175718e-06,Q9NW13;C9JE21;C9JAA9,Q9NW13;C9JE21;C9JAA9,2;2;1,2;2;1,2;2;1,RNA-binding protein 28,sp|Q9NW13|RBM28_HUMAN RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3;tr|C9JE21|C9JE21_HUMAN RNA-binding protein 28 (Fragment) OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=1;tr|C9JAA9|C9JAA9_HUMAN RNA-binding protein 28 (Fragment) OS=Homo sap,3,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,2.2,2.2,2.2,85.737,759,759;204;283,0.0,3.9262,,,By MS/MS,By MS/MS,0.76789,1.2533,1.6323,3,1,Median,,,0.69062,0.78376,,,1.2533,1.2424,,,,2.1956,0,0,1,2,0,0,0,1,Median,Median,Median,Median,0.0,0.0,1.2,2.2,61120000,34319000,26802000,0,0,0,0,0,0,19324000,12289000,7034700,41797000,22030000,19767000,,,,472,805;5829,True;True,861;6327,2247;2248;16462,4656;4657;4658;33962,4658;33962,,,,,-1;-1;-1,protein_473,quanti,quanti,imputed MEC,imputed MEC
CYCS,22.8897576177641,4.2767268554716e-07,P99999;C9JFR7;CON__P62894,P99999;C9JFR7,7;7;3,7;7;3,7;7;3,Cytochrome c,sp|P99999|CYC_HUMAN Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2;tr|C9JFR7|C9JFR7_HUMAN Cytochrome c (Fragment) OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=1,3,7,7,7,0,0,6,7,0,0,6,7,0,0,6,7,58.1,58.1,58.1,11.749,105,105;101;105,0.0,13.801,,,By MS/MS,By MS/MS,0.53583,1.0419,7.0447,13,3,Leave out requantified,,,0.42704,0.64327,,,1.0058,1.0889,,,9.9969,5.713,0,0,6,7,0,0,2,1,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,56.2,58.1,916060000,585660000,330410000,0,0,0,0,0,0,331320000,225720000,105600000,584740000,359930000,224810000,,,,474,419;6113;7264;13166;17682;17683;17685,True;True;True;True;True;True;True,449;6647;7947;14361;19186;19187;19189,1163;1164;17317;17318;20838;38055;38056;50632;50633;50634;50635;50636;50641;50642,2449;2450;2451;2452;35770;35771;35772;35773;35774;42975;42976;78413;78414;78415;104053;104054;104055;104056;104057;104058;104059;104060;104070,2449;35774;42976;78414;104056;104060;104070,,,,,-1;-1;-1,protein_475,quanti,quanti,imputed MEC,imputed MEC
APEH,0.361486788439148,0.177134928707163,P13798;C9JIF9;H7C393;H7C1U0;C9JLK2;F8WEH5,P13798;C9JIF9;H7C393,14;14;7;6;4;2,14;14;7;6;4;2,14;14;7;6;4;2,Acylamino-acid-releasing enzyme,sp|P13798|ACPH_HUMAN Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=4;tr|C9JIF9|C9JIF9_HUMAN Acylamino-acid-releasing enzyme OS=Homo sapiens OX=9606 GN=APEH PE=1 SV=1;tr|H7C393|H7C393_HUMAN Acylamino-acid-releasing enzyme (Fragment,6,14,14,14,4,5,10,8,4,5,10,8,4,5,10,8,28.8,28.8,28.8,81.224,732,732;737;284;308;232;50,0.0,36.413,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45007,1.0683,24.443,28,5,Leave out requantified,0.41739,0.60038,0.39214,0.54515,1.2763,1.4615,0.96697,0.96965,22.693,11.867,24.95,10.506,4,6,10,8,0,2,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,7.0,9.3,19.7,15.6,2048900000,1358900000,689970000,212400000,150740000,61662000,300380000,198500000,101880000,807710000,552660000,255050000,728400000,457020000,271370000,,,,476,764;1252;6762;9163;13090;15012;15148;15573;15667;15944;18207;18512;19208;20398,True;True;True;True;True;True;True;True;True;True;True;True;True;True,812;1353;7367;10020;14281;16338;16484;16946;17051;17341;19756;20080;20831;22141,2104;2105;3688;3689;3690;19321;26398;37860;37861;37862;43138;43468;43469;43470;43471;43472;44668;44948;44949;45634;52167;52168;53066;55114;55115;58649;58650;58651,4328;7643;7644;7645;7646;7647;7648;7649;7650;7651;7652;7653;7654;7655;39868;39869;39870;54669;54670;54671;54672;54673;54674;54675;54676;78081;78082;78083;78084;88711;89296;89297;89298;89299;89300;89301;89302;91752;92349;92350;92351;93728;93729;107558;107559;107560;109466;113926;113927;121373;121374;121375;121376;121377,4328;7654;39870;54674;78083;88711;89301;91752;92351;93728;107560;109466;113926;121377,,,,,-1;-1;-1;-1;-1;-1,protein_477,quanti,quanti,quanti,quanti
MRPS34,21.1917001932065,1.21993636343329e-06,P82930;C9JJ19,P82930;C9JJ19,5;5,5;5,5;5,"28S ribosomal protein S34, mitochondrial","sp|P82930|RT34_HUMAN 28S ribosomal protein S34, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS34 PE=1 SV=2;tr|C9JJ19|C9JJ19_HUMAN 28S ribosomal protein S34, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS34 PE=1 SV=2",2,5,5,5,0,0,3,5,0,0,3,5,0,0,3,5,25.7,25.7,25.7,25.65,218,218;225,0.0,7.8945,,,By MS/MS,By MS/MS,0.54746,1.0198,18.495,9,0,Leave out requantified,,,0.46432,0.63169,,,0.91106,1.0597,,,6.25,20.359,0,0,3,6,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,16.1,25.7,298930000,184760000,114170000,0,0,0,0,0,0,98791000,63799000,34992000,200140000,120960000,79178000,,,,478,2498;3370;11467;11766;20175,True;True;True;True;True,2719;3667;12545;12862;21902,7521;7522;9920;9921;33429;34218;34219;58058;58059,16003;16004;16005;20757;20758;20759;69366;70840;70841;70842;120152;120153,16005;20758;69366;70841;120152,,,,,-1;-1,protein_479,quanti,quanti,imputed MEC,imputed MEC
POLR2H,1.12854563452785,0.160046996591945,P52434;C9JLU1,P52434;C9JLU1,2;2,2;2,2;2,"DNA-directed RNA polymerases I, II, and III subunit RPABC3","sp|P52434|RPAB3_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Homo sapiens OX=9606 GN=POLR2H PE=1 SV=4;tr|C9JLU1|C9JLU1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC3 (Fragment) OS=Homo sapiens OX=9606 GN=POLR2H PE=1",2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,21.3,21.3,21.3,17.143,150,150;148,0.0,4.4122,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.85859,2.1836,62.302,5,0,Median,1.1793,1.241,0.62058,0.53041,3.6133,3.0308,1.5307,0.88897,,,50.241,,1,1,2,1,0,0,0,0,Median,Median,Median,Median,10.7,10.7,21.3,10.7,275090000,157030000,118060000,28545000,11124000,17421000,26074000,11090000,14984000,173990000,106500000,67493000,46479000,28318000,18161000,,,,480,11867;20675,True;True,12972;22456,34477;34478;34479;59525;59526,71353;71354;71355;71356;71357;123166;123167;123168,71355;123168,,,,,-1;-1,protein_481,quanti,quanti,quanti,quanti
ARF4,-4.18881593065346,0.00097825280738895,P18085;C9JPM4;C9JAK5;F8WDB3;C9J6P1,P18085;C9JPM4;C9JAK5,5;5;3;2;1,2;2;2;1;1,2;2;2;1;1,ADP-ribosylation factor 4,sp|P18085|ARF4_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3;tr|C9JPM4|C9JPM4_HUMAN ADP-ribosylation factor 4 (Fragment) OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=1;tr|C9JAK5|C9JAK5_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens ,5,5,2,2,3,3,4,4,1,1,1,1,1,1,1,1,42.2,13.3,13.3,20.511,180,180;127;153;59;22,0.0,4.0164,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44141,1.0669,44.693,4,0,Leave out requantified,0.28275,0.29503,0.58762,0.77449,0.80896,0.74789,1.4972,1.4305,,,,,1,1,1,1,0,0,0,0,Median,Median,Median,Median,25.0,25.0,34.4,34.4,1873500000,1409000000,464410000,729430000,569020000,160400000,857460000,668710000,188750000,199140000,124210000,74932000,87431000,47104000,40327000,,,,484,6433;7490;8404;8672;10635,True;False;False;True;False,7007;8217;9207;9208;9498;11648,18406;18407;21612;21613;21614;21615;21616;24276;24277;24278;24279;24280;25020;25021;30921;30922;30923;30924,38103;44770;44771;44772;44773;44774;44775;44776;44777;44778;44779;44780;44781;44782;44783;44784;44785;44786;44787;44788;44789;50367;50368;50369;50370;50371;50372;50373;50374;50375;51862;51863;51864;51865;51866;64187;64188;64189;64190;64191,38103;44785;50369;51862;64189,,,,,-1;-1;-1;-1;-1,protein_485,quanti,quanti,quanti,quanti
CCDC58,21.2258371333322,4.87929960982214e-07,Q4VC31;C9JQ41;H7C525,Q4VC31;C9JQ41;H7C525,3;3;3,3;3;3,3;3;3,Coiled-coil domain-containing protein 58,sp|Q4VC31|CCD58_HUMAN Coiled-coil domain-containing protein 58 OS=Homo sapiens OX=9606 GN=CCDC58 PE=1 SV=1;tr|C9JQ41|C9JQ41_HUMAN Coiled-coil domain-containing protein 58 OS=Homo sapiens OX=9606 GN=CCDC58 PE=1 SV=1;tr|H7C525|H7C525_HUMAN Coiled-coil domain,3,3,3,3,0,0,2,3,0,0,2,3,0,0,2,3,28.5,28.5,28.5,16.62,144,144;130;141,0.0,11.354,,,By MS/MS,By MS/MS,0.54388,1.0612,12.738,5,4,Median,,,0.45355,0.57272,,,1.0114,1.0612,,,16.131,13.581,0,0,2,3,0,0,2,2,Median,Median,Median,Median,0.0,0.0,19.4,28.5,274560000,184080000,90484000,0,0,0,0,0,0,105720000,72553000,33170000,168840000,111520000,57314000,,,,485,9084;13759;14983,True;True;True,9935;14997;16304,26177;26178;39719;39720;39721;43057,54192;54193;81669;81670;81671;88562,54193;81670;88562,,,,,-1;-1;-1,protein_486,quanti,quanti,imputed MEC,imputed MEC
C7orf50,-0.357059116260796,0.538985560668354,Q9BRJ6;H7C0T1;H7C2R9;C9JQV0,Q9BRJ6;H7C0T1;H7C2R9;C9JQV0,2;2;2;2,2;2;2;2,2;2;2;2,Uncharacterized protein C7orf50,sp|Q9BRJ6|CG050_HUMAN Uncharacterized protein C7orf50 OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1;tr|H7C0T1|H7C0T1_HUMAN Uncharacterized protein C7orf50 (Fragment) OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1;tr|H7C2R9|H7C2R9_HUMAN Uncharacterized protein,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,13.9,13.9,13.9,22.083,194,194;162;179;192,0.0,6.2321,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.4195,3.4517,118.33,4,3,Median,2.856,2.4416,0.82528,0.46304,9.873,6.1454,1.9387,0.70999,,,,,1,1,1,1,1,1,1,0,Median,Median,Median,Median,6.2,6.2,6.2,7.7,149640000,51124000,98518000,45346000,11909000,33436000,32396000,6449100,25947000,52492000,21764000,30728000,19409000,11001000,8407500,,,,486,12007;15974,True;True,13117;17373,34831;45730;45731;45732,71951;71952;93936;93937;93938;93939;93940;93941,71952;93936,,,,,-1;-1;-1;-1,protein_487,quanti,quanti,quanti,quanti
DNAJB2,18.913611792377,9.89608702854675e-08,P25686;C9JRD2;C9JXB9;C9J1G2;E7ETU0;C9JX00,P25686;C9JRD2;C9JXB9;C9J1G2;E7ETU0;C9JX00,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,DnaJ homolog subfamily B member 2,sp|P25686|DNJB2_HUMAN DnaJ homolog subfamily B member 2 OS=Homo sapiens OX=9606 GN=DNAJB2 PE=1 SV=3;tr|C9JRD2|C9JRD2_HUMAN DnaJ homolog subfamily B member 2 (Fragment) OS=Homo sapiens OX=9606 GN=DNAJB2 PE=1 SV=1;tr|C9JXB9|C9JXB9_HUMAN DnaJ homolog subfamil,6,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,8.3,8.3,8.3,35.58,324,324;228;244;122;132;148,0.0,4.795,,,By MS/MS,By MS/MS,2.1737,3.6432,18.106,3,3,Median,,,1.509,2.5409,,,3.3607,4.1601,,,,18.764,0,0,1,2,0,0,1,2,Median,Median,Median,Median,0.0,0.0,3.7,8.3,114120000,36272000,77846000,0,0,0,0,0,0,46751000,19078000,27673000,67367000,17194000,50173000,,,,489,465;17239,True;True,497;18717,1290;49394;49395,2705;101440;101441,2705;101440,,,,,-1;-1;-1;-1;-1;-1,protein_490,quanti,quanti,imputed MEC,imputed MEC
L2HGDH,0.931957058734103,0.0957771172283871,Q9H9P8;C9JVN9;G3V272;G3V5S1,Q9H9P8;C9JVN9,6;6;2;1,6;6;2;1,6;6;2;1,"L-2-hydroxyglutarate dehydrogenase, mitochondrial","sp|Q9H9P8|L2HDH_HUMAN L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=3;tr|C9JVN9|C9JVN9_HUMAN L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=L2HGDH PE=1 SV=1",4,6,6,6,1,2,3,3,1,2,3,3,1,2,3,3,16.8,16.8,16.8,50.315,463,463;441;236;211,0.0,13.788,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38912,0.85843,40.63,9,6,Leave out requantified,0.25601,0.40189,0.50333,0.42925,0.59543,0.90607,1.19,0.68665,,7.6396,62.118,34.116,1,2,3,3,1,0,3,2,Median,Median,Plateau,Median,3.7,8.2,8.6,7.6,283150000,200220000,82936000,14431000,11814000,2617400,42012000,28844000,13167000,122980000,84424000,38558000,103730000,75136000,28593000,,,,492,5170;6387;6529;11042;12903;16145,True;True;True;True;True;True,5595;6959;7119;12081;14082;17560,14556;18286;18717;32128;32129;37344;37345;46279;46280,29851;37807;38720;66750;66751;77038;77039;77040;95167;95168,29851;37807;38720;66750;77040;95167,,,,,-1;-1;-1;-1,protein_493,quanti,quanti,quanti,quanti
RPL22L1,0.278349398643304,0.751783882670562,Q6P5R6;C9JYQ9;H0Y8C2,Q6P5R6;C9JYQ9;H0Y8C2,5;5;5,3;3;3,3;3;3,60S ribosomal protein L22-like 1,sp|Q6P5R6|RL22L_HUMAN 60S ribosomal protein L22-like 1 OS=Homo sapiens OX=9606 GN=RPL22L1 PE=1 SV=2;tr|C9JYQ9|C9JYQ9_HUMAN 60S ribosomal protein L22-like 1 OS=Homo sapiens OX=9606 GN=RPL22L1 PE=1 SV=1;tr|H0Y8C2|H0Y8C2_HUMAN 60S ribosomal protein L22-like 1,3,5,3,3,3,2,4,5,2,1,3,3,2,1,3,3,46.7,39.3,39.3,14.606,122,122;121;142,0.0,11.281,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.7069,1.2499,43.616,11,2,Leave out requantified,0.31921,0.7069,0.67828,1.1824,1.1065,1.7426,1.574,1.841,60.874,0.0,41.726,27.9,2,2,3,4,0,0,1,1,Median,Median,Plateau,Linear,26.2,16.4,45.9,46.7,596810000,381900000,214900000,126600000,94553000,32049000,55070000,24183000,30887000,179190000,120950000,58234000,235940000,142210000,93731000,,,,496,5150;9713;14226;17680;20439,True;False;False;True;True,5575;10631;15488;19184;22185,14512;14513;14514;28040;41007;41008;41009;41010;50624;50625;50626;50627;50628;58767;58768;58769;58770;58771,29764;29765;58124;84494;84495;84496;84497;84498;84499;104043;104044;104045;104046;104047;104048;104049;104050;121607;121608;121609;121610;121611,29764;58124;84494;104049;121607,,,,,-1;-1;-1,protein_497,quanti,quanti,quanti,quanti
RFC4,-0.9652133283683,0.0173009734349312,P35249;C9JZI1;C9J8M3;C9JTT7;C9JXZ7;C9JGY5;F8WE44;C9JW34;H7C1P0,P35249;C9JZI1;C9J8M3;C9JTT7,14;14;12;9;6;3;3;1;1,14;14;12;9;6;3;3;1;1,14;14;12;9;6;3;3;1;1,Replication factor C subunit 4,sp|P35249|RFC4_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2;tr|C9JZI1|C9JZI1_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=1;tr|C9J8M3|C9J8M3_HUMAN Replication factor C subunit 4 (Fragment) O,9,14,14,14,8,8,5,7,8,8,5,7,8,8,5,7,41.9,41.9,41.9,39.681,363,363;336;214;167;123;95;97;43;111,0.0,21.657,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44573,1.0307,18.766,32,11,Leave out requantified,0.3637,0.45761,0.45875,0.61272,1.0435,1.1269,1.0715,1.0309,18.645,18.701,32.634,19.1,9,10,6,7,4,2,3,2,Leave out requantified,Leave out requantified,Median,Leave out requantified,24.5,29.2,19.3,26.2,1084500000,691420000,393070000,196260000,138750000,57512000,284430000,183050000,101370000,263610000,175960000,87648000,340200000,193660000,146530000,,,,497,1087;4025;4638;4964;6840;8093;8789;9091;12063;13820;16371;18369;19530;19637,True;True;True;True;True;True;True;True;True;True;True;True;True;True,1166;4369;5033;5379;7453;8851;9619;9942;13174;15063;17800;19923;21200;21320,3129;3130;3131;3132;3133;11571;11572;11573;11574;13099;13100;14020;19527;23234;25314;25315;26188;26189;26190;26191;26192;34978;39869;46946;46947;46948;46949;52601;56201;56202;56535;56536,6524;6525;6526;6527;6528;6529;6530;23973;23974;23975;23976;23977;23978;23979;23980;23981;26936;26937;26938;28738;28739;40249;40250;48153;48154;52386;52387;54207;54208;54209;54210;54211;54212;54213;72228;81969;96584;96585;96586;96587;108350;116265;116944;116945,6529;23974;26937;28739;40249;48153;52387;54210;72228;81969;96585;108350;116265;116945,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_498,quanti,quanti,quanti,quanti
