Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity ATG16L1-N1,Intensity ATG16L1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q9BZH6;S4R3Z0,Q9BZH6;S4R3Z0,2;1,2;1,2;1,WD repeat-containing protein 11,WDR11,sp|Q9BZH6|WDR11_HUMAN WD repeat-containing protein 11 OS=Homo sapiens OX=9606 GN=WDR11 PE=1 SV=1;tr|S4R3Z0|S4R3Z0_HUMAN WD repeat-containing protein 11 (Fragment) OS=Homo sapiens OX=9606 GN=WDR11 PE=1 SV=1,2,2,2.5,4.5103917704062,4.37962167650643,23.5692556476484,23.099167354356
P42229;K7EK35;P51692,P42229;K7EK35;P51692,2;2;1,2;2;1,2;2;1,Signal transducer and activator of transcription 5A;Signal transducer and activator of transcription;Signal transducer and activator of transcription 5B,STAT5A;STAT5B,sp|P42229|STA5A_HUMAN Signal transducer and activator of transcription 5A OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1;tr|K7EK35|K7EK35_HUMAN Signal transducer and activator of transcription OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1;sp|P51692|STA5B_HUMAN,2,2,2.6,27.2164157987428,27.1432622207181,28.9637226015554,28.793709963648
Q8IWZ6;H0Y973,Q8IWZ6;H0Y973,2;1,2;1,2;1,Bardet-Biedl syndrome 7 protein,BBS7,sp|Q8IWZ6|BBS7_HUMAN Bardet-Biedl syndrome 7 protein OS=Homo sapiens OX=9606 GN=BBS7 PE=1 SV=2;tr|H0Y973|H0Y973_HUMAN Bardet-Biedl syndrome 7 protein (Fragment) OS=Homo sapiens OX=9606 GN=BBS7 PE=1 SV=1,2,2,2.7,23.7881559446254,23.1344407348656,4.4278525700598,4.37954704379713
Q9NYI0;E5RJ29,Q9NYI0;E5RJ29,2;2,2;2,2;2,PH and SEC7 domain-containing protein 3,PSD3,sp|Q9NYI0|PSD3_HUMAN PH and SEC7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=PSD3 PE=1 SV=2;tr|E5RJ29|E5RJ29_HUMAN PH and SEC7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=PSD3 PE=1 SV=1,2,2,2.7,24.0737744024829,22.5874698913888,23.150163770875,23.9871323562686
Q9NYV4;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;J3QSD7;A0A2R8Y4Z0,Q9NYV4;Q14004;A0A2R8YEB7;A0A2R8Y644;Q9BVE2;A0A087X209;A0A2R8YD28;A0A2R8YF61;A0A2R8Y7W5;J3QSD7;A0A2R8Y4Z0,3;2;2;2;2;2;2;2;2;2;2,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,Cyclin-dependent kinase 12;Cyclin-dependent kinase 13,CDK12;CDK13,sp|Q9NYV4|CDK12_HUMAN Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2;sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sapiens OX=9606 GN=CDK13 PE=1 SV=2;tr|A0A2R8YEB7|A0A2R8YEB7_HUMAN Cyclin-dependent kinase 13 (Fragment) OS=,3,2,2.7,4.5103917704062,4.37962167650643,24.8146516958088,24.3059125583627
Q8N4C6;E9PN67;C9J066;H7C162;A0A669KBI5;A0A669KBE5,Q8N4C6;E9PN67;C9J066;H7C162;A0A669KBI5,3;3;3;2;2;1,2;2;2;2;2;1,2;2;2;2;2;1,Ninein,NIN,sp|Q8N4C6|NIN_HUMAN Ninein OS=Homo sapiens OX=9606 GN=NIN PE=1 SV=4;tr|E9PN67|E9PN67_HUMAN Ninein OS=Homo sapiens OX=9606 GN=NIN PE=1 SV=1;tr|C9J066|C9J066_HUMAN Ninein OS=Homo sapiens OX=9606 GN=NIN PE=1 SV=1;tr|H7C162|H7C162_HUMAN Ninein (Fragment) OS=Ho,3,2,2.7,23.387586145132,23.8613595670428,4.4278525700598,4.37954704379713
Q14289;E5RHL2;E5RK84;E5RJ77;C9JHV9,Q14289,3;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Protein-tyrosine kinase 2-beta,PTK2B,sp|Q14289|FAK2_HUMAN Protein-tyrosine kinase 2-beta OS=Homo sapiens OX=9606 GN=PTK2B PE=1 SV=2,3,2,2.7,26.2275853918574,26.1981864734704,4.4278525700598,4.37954704379713
Q7Z3E2,Q7Z3E2,2,2,2,Coiled-coil domain-containing protein 186,CCDC186,sp|Q7Z3E2|CC186_HUMAN Coiled-coil domain-containing protein 186 OS=Homo sapiens OX=9606 GN=CCDC186 PE=1 SV=2,2,2,2.8,24.1117960120829,24.1442935303143,22.4517623762501,21.2424903045545
Q2KHT3,Q2KHT3,2,2,2,Protein CLEC16A,CLEC16A,sp|Q2KHT3|CL16A_HUMAN Protein CLEC16A OS=Homo sapiens OX=9606 GN=CLEC16A PE=1 SV=2,2,2,2.8,24.1586164675952,24.1269268210739,4.4278525700598,4.37954704379713
Q96GP6,Q96GP6,2,2,2,Scavenger receptor class F member 2,SCARF2,sp|Q96GP6|SREC2_HUMAN Scavenger receptor class F member 2 OS=Homo sapiens OX=9606 GN=SCARF2 PE=1 SV=5,2,2,2.8,22.9265645695625,23.6085129284311,4.4278525700598,4.37954704379713
P12882;Q9UKX2;P11055;E7EX84,P12882;Q9UKX2;P11055,3;2;2;1,2;1;1;1,2;1;1;1,Myosin-1;Myosin-2;Myosin-3,MYH1;MYH2;MYH3,sp|P12882|MYH1_HUMAN Myosin-1 OS=Homo sapiens OX=9606 GN=MYH1 PE=1 SV=3;sp|Q9UKX2|MYH2_HUMAN Myosin-2 OS=Homo sapiens OX=9606 GN=MYH2 PE=1 SV=1;sp|P11055|MYH3_HUMAN Myosin-3 OS=Homo sapiens OX=9606 GN=MYH3 PE=1 SV=3,3,2,2.8,23.4424039308541,25.410508026572,4.4278525700598,4.37954704379713
P46934;H0Y8X6,P46934;H0Y8X6,3;3,2;2,2;2,E3 ubiquitin-protein ligase NEDD4,NEDD4,sp|P46934|NEDD4_HUMAN E3 ubiquitin-protein ligase NEDD4 OS=Homo sapiens OX=9606 GN=NEDD4 PE=1 SV=4;tr|H0Y8X6|H0Y8X6_HUMAN E3 ubiquitin-protein ligase NEDD4 (Fragment) OS=Homo sapiens OX=9606 GN=NEDD4 PE=1 SV=1,3,2,2.8,28.2038250946908,27.7897361077842,26.1363744380775,25.9972528785638
Q63HR2;F8VV64,Q63HR2;F8VV64,3;2,2;1,2;1,Tensin-2,TNS2,sp|Q63HR2|TNS2_HUMAN Tensin-2 OS=Homo sapiens OX=9606 GN=TNS2 PE=1 SV=2;tr|F8VV64|F8VV64_HUMAN Tensin-2 OS=Homo sapiens OX=9606 GN=TNS2 PE=1 SV=1,3,2,2.8,4.5103917704062,4.37962167650643,27.4860806798629,22.9358002737294
Q96NW7;A0A075B6E9;A0A494C1A4,Q96NW7;A0A075B6E9;A0A494C1A4,4;4;4,2;2;2,2;2;2,Leucine-rich repeat-containing protein 7,LRRC7,sp|Q96NW7|LRRC7_HUMAN Leucine-rich repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=LRRC7 PE=1 SV=1;tr|A0A075B6E9|A0A075B6E9_HUMAN Leucine-rich repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=LRRC7 PE=1 SV=1;tr|A0A494C1A4|A0A494C1A4_HUMAN Leuc,4,2,2.8,25.9711237400953,25.6801103076178,23.4248316116103,24.1140307616654
O00159;F5H6E2,O00159;F5H6E2,2;2,2;2,2;2,Unconventional myosin-Ic,MYO1C,sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4;tr|F5H6E2|F5H6E2_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=1,2,2,2.9,23.7419088402073,26.6949801437942,4.4278525700598,4.37954704379713
Q9UPQ7;H7C566;C9JWE6;E7ENB6;B7ZAG0,Q9UPQ7;H7C566;C9JWE6;E7ENB6;B7ZAG0,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,E3 ubiquitin-protein ligase PDZRN3,PDZRN3,sp|Q9UPQ7|PZRN3_HUMAN E3 ubiquitin-protein ligase PDZRN3 OS=Homo sapiens OX=9606 GN=PDZRN3 PE=1 SV=2;tr|H7C566|H7C566_HUMAN E3 ubiquitin-protein ligase PDZRN3 (Fragment) OS=Homo sapiens OX=9606 GN=PDZRN3 PE=1 SV=1;tr|C9JWE6|C9JWE6_HUMAN E3 ubiquitin-protei,2,2,2.9,24.2465680422145,22.7403242862884,25.5192635900101,25.1913604377668
Q9UJF2;H0Y638,Q9UJF2;H0Y638,2;1,2;1,2;1,Ras GTPase-activating protein nGAP,RASAL2,sp|Q9UJF2|NGAP_HUMAN Ras GTPase-activating protein nGAP OS=Homo sapiens OX=9606 GN=RASAL2 PE=1 SV=2;tr|H0Y638|H0Y638_HUMAN Ras GTPase-activating protein nGAP (Fragment) OS=Homo sapiens OX=9606 GN=RASAL2 PE=1 SV=1,2,2,2.9,23.6757296648946,23.3376563051599,23.1362570805991,24.1663903033988
Q9ULV0;A0A0A0MR36,Q9ULV0;A0A0A0MR36,4;2,2;2,2;2,Unconventional myosin-Vb,MYO5B,sp|Q9ULV0|MYO5B_HUMAN Unconventional myosin-Vb OS=Homo sapiens OX=9606 GN=MYO5B PE=1 SV=3;tr|A0A0A0MR36|A0A0A0MR36_HUMAN Unconventional myosin-Vb (Fragment) OS=Homo sapiens OX=9606 GN=MYO5B PE=1 SV=1,4,2,2.9,4.5103917704062,4.37962167650643,24.6030884067683,24.5224824111362
Q9P1Y5,Q9P1Y5,2,2,2,Calmodulin-regulated spectrin-associated protein 3,CAMSAP3,sp|Q9P1Y5|CAMP3_HUMAN Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens OX=9606 GN=CAMSAP3 PE=1 SV=2,2,2,3.0,23.0179277511491,25.5485731224855,4.4278525700598,4.37954704379713
Q96EA4;D6RDK5;D6RCL1;D6REZ1;D6R936;D6RIF7;D6RIB8;D6RC83;H0YBG5,Q96EA4;D6RDK5;D6RCL1;D6REZ1;D6R936;D6RIF7;D6RIB8;D6RC83;H0YBG5,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,Protein Spindly,SPDL1,sp|Q96EA4|SPDLY_HUMAN Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=2;tr|D6RDK5|D6RDK5_HUMAN Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=2;tr|D6RCL1|D6RCL1_HUMAN Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=1;tr|D6REZ1|D,2,2,3.0,27.4809297022485,27.4203727566967,22.1927984783112,22.1106336846668
Q8N137;I3L0P9;I3L1B0,Q8N137;I3L0P9;I3L1B0,2;1;1,2;1;1,2;1;1,Centrobin,CNTROB,sp|Q8N137|CNTRB_HUMAN Centrobin OS=Homo sapiens OX=9606 GN=CNTROB PE=1 SV=1;tr|I3L0P9|I3L0P9_HUMAN Centrobin (Fragment) OS=Homo sapiens OX=9606 GN=CNTROB PE=1 SV=1;tr|I3L1B0|I3L1B0_HUMAN Centrobin (Fragment) OS=Homo sapiens OX=9606 GN=CNTROB PE=1 SV=1,2,2,3.1,23.858990998064,23.4996006740955,4.4278525700598,4.37954704379713
Q13144;A0A3B3ITG6;A0A3B3IUB1;A0A3B3ITK8;A0A3B3IST9;A0A3B3ISI2;A0A3B3ISS1;A0A3B3IS56;A0A3B3ISV1;A0A3B3IRP4;A0A3B3ITQ2;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ISX3,Q13144;A0A3B3ITG6;A0A3B3IUB1;A0A3B3ITK8;A0A3B3IST9;A0A3B3ISI2;A0A3B3ISS1;A0A3B3IS56;A0A3B3ISV1;A0A3B3IRP4;A0A3B3ITQ2;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ISX3,2;2;2;1;1;1;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1;1;1;1,Translation initiation factor eIF-2B subunit epsilon,EIF2B5,sp|Q13144|EI2BE_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3;tr|A0A3B3ITG6|A0A3B3ITG6_HUMAN Translation initiation factor eIF-2B subunit epsilon (Fragment) OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=,2,2,3.1,25.1000501538968,23.7683006497833,4.4278525700598,4.37954704379713
Q0JRZ9;H0YAE2;H7BXJ4,Q0JRZ9;H0YAE2;H7BXJ4,2;1;1,2;1;1,2;1;1,F-BAR domain only protein 2,FCHO2,sp|Q0JRZ9|FCHO2_HUMAN F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2;tr|H0YAE2|H0YAE2_HUMAN F-BAR domain only protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=9;tr|H7BXJ4|H7BXJ4_HUMAN F-BAR domain only protein 2 OS=Homo,2,2,3.1,4.5103917704062,4.37962167650643,23.1259866214458,22.9616220848894
Q6P0Q8;A0A669KBJ4;V9GXZ1;E7ERL6;Q9Y2H9;K7EJZ9;K7EME4,Q6P0Q8;A0A669KBJ4;V9GXZ1;E7ERL6;Q9Y2H9,4;4;3;3;2;1;1,2;2;1;1;0;0;0,2;2;1;1;0;0;0,Microtubule-associated serine/threonine-protein kinase 2;Microtubule-associated serine/threonine-protein kinase 1,MAST2;MAST1,sp|Q6P0Q8|MAST2_HUMAN Microtubule-associated serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=MAST2 PE=1 SV=2;tr|A0A669KBJ4|A0A669KBJ4_HUMAN Microtubule-associated serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=MAST2 PE=4 SV=1;tr|,4,2,3.1,26.435680433333,26.1671937154526,21.6997317167708,22.552168041993
Q96M89;H7C005,Q96M89;H7C005,2;1,2;1,2;1,Coiled-coil domain-containing protein 138,CCDC138,sp|Q96M89|CC138_HUMAN Coiled-coil domain-containing protein 138 OS=Homo sapiens OX=9606 GN=CCDC138 PE=1 SV=1;tr|H7C005|H7C005_HUMAN Coiled-coil domain-containing protein 138 (Fragment) OS=Homo sapiens OX=9606 GN=CCDC138 PE=1 SV=1,2,2,3.2,22.2602040071028,23.4173817809205,4.4278525700598,4.37954704379713
O75385,O75385,2,2,2,Serine/threonine-protein kinase ULK1,ULK1,sp|O75385|ULK1_HUMAN Serine/threonine-protein kinase ULK1 OS=Homo sapiens OX=9606 GN=ULK1 PE=1 SV=2,2,2,3.2,25.3085534575805,25.8926593541168,4.4278525700598,4.37954704379713
Q5W0V3;Q5W0V4,Q5W0V3;Q5W0V4,2;1,2;1,2;1,Protein FAM160B1,FAM160B1,sp|Q5W0V3|F16B1_HUMAN Protein FAM160B1 OS=Homo sapiens OX=9606 GN=FAM160B1 PE=1 SV=1;tr|Q5W0V4|Q5W0V4_HUMAN Protein FAM160B1 OS=Homo sapiens OX=9606 GN=FAM160B1 PE=1 SV=1,2,2,3.3,24.8421093707253,24.4052905517079,4.4278525700598,4.37954704379713
Q96ED9,Q96ED9,2,2,2,Protein Hook homolog 2,HOOK2,sp|Q96ED9|HOOK2_HUMAN Protein Hook homolog 2 OS=Homo sapiens OX=9606 GN=HOOK2 PE=1 SV=3,2,2,3.3,24.9332328710436,23.9717596411625,4.4278525700598,4.37954704379713
Q15554;J3KSJ9;H3BTA7;U3KQ35;H3BR06,Q15554;J3KSJ9;H3BTA7;U3KQ35;H3BR06,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Telomeric repeat-binding factor 2,TERF2,sp|Q15554|TERF2_HUMAN Telomeric repeat-binding factor 2 OS=Homo sapiens OX=9606 GN=TERF2 PE=1 SV=3;tr|J3KSJ9|J3KSJ9_HUMAN Telomeric repeat-binding factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=TERF2 PE=1 SV=1;tr|H3BTA7|H3BTA7_HUMAN Telomeric repeat-bindin,2,2,3.3,23.7398506402136,23.3775600602386,22.1243939728766,23.2009283222173
Q9ULJ8,Q9ULJ8,3,2,2,Neurabin-1,PPP1R9A,sp|Q9ULJ8|NEB1_HUMAN Neurabin-1 OS=Homo sapiens OX=9606 GN=PPP1R9A PE=1 SV=2,3,2,3.3,24.3437570638664,22.2483804627379,24.2684945989557,24.0472055509054
P38646;H0YBG6,P38646;H0YBG6,2;1,2;1,2;1,"Stress-70 protein, mitochondrial",HSPA9,"sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2;tr|H0YBG6|H0YBG6_HUMAN Stress-70 protein, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=1",2,2,3.4,26.0929254744526,25.5059426011132,24.9707947157351,23.9882387955086
Q4G0J3;H0YA82;D6R9Z6,Q4G0J3;H0YA82;D6R9Z6,2;2;1,2;2;1,2;2;1,La-related protein 7,LARP7,sp|Q4G0J3|LARP7_HUMAN La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1;tr|H0YA82|H0YA82_HUMAN La-related protein 7 (Fragment) OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1;tr|D6R9Z6|D6R9Z6_HUMAN La-related protein 7 (Fragment) OS=Homo sapiens O,2,2,3.4,4.5103917704062,4.37962167650643,22.4696100226578,23.1675559646496
Q8IXI1;H3BMP9;H3BVI5;H3BUX4;H3BST5;I3L2C6,Q8IXI1;H3BMP9;H3BVI5;H3BUX4;H3BST5;I3L2C6,2;1;1;1;1;1,2;1;1;1;1;1,2;1;1;1;1;1,Mitochondrial Rho GTPase 2,RHOT2,sp|Q8IXI1|MIRO2_HUMAN Mitochondrial Rho GTPase 2 OS=Homo sapiens OX=9606 GN=RHOT2 PE=1 SV=2;tr|H3BMP9|H3BMP9_HUMAN Mitochondrial Rho GTPase 2 OS=Homo sapiens OX=9606 GN=RHOT2 PE=1 SV=1;tr|H3BVI5|H3BVI5_HUMAN Mitochondrial Rho GTPase 2 OS=Homo sapiens OX=96,2,2,3.4,24.4061992951273,22.9920829369529,22.1427677090174,23.1710735411219
O94804,O94804,3,2,2,Serine/threonine-protein kinase 10,STK10,sp|O94804|STK10_HUMAN Serine/threonine-protein kinase 10 OS=Homo sapiens OX=9606 GN=STK10 PE=1 SV=1,3,2,3.4,4.5103917704062,4.37962167650643,23.351781459935,24.5147867594709
Q92990;M0QX84;M0QXG8,Q92990;M0QX84;M0QXG8,2;1;1,2;1;1,2;1;1,Glomulin,GLMN,sp|Q92990|GLMN_HUMAN Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2;tr|M0QX84|M0QX84_HUMAN Glomulin (Fragment) OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=1;tr|M0QXG8|M0QXG8_HUMAN Glomulin (Fragment) OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2,2,2,3.5,25.5262066873921,24.6689308500847,24.1801793028267,23.7201498843343
Q9Y3T9,Q9Y3T9,2,2,2,Nucleolar complex protein 2 homolog,NOC2L,sp|Q9Y3T9|NOC2L_HUMAN Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4,2,2,3.5,4.5103917704062,4.37962167650643,24.8432122203325,24.8159711223079
Q9P2I0,Q9P2I0,2,2,2,Cleavage and polyadenylation specificity factor subunit 2,CPSF2,sp|Q9P2I0|CPSF2_HUMAN Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2,2,2,3.6,26.0567230491897,25.514636289082,22.3133502916523,23.6696878581068
P18887;F5H8D7;M0QZ96;M0R0D2;M0R1U8;M0QYS5,P18887;F5H8D7;M0QZ96;M0R0D2;M0R1U8;M0QYS5,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,DNA repair protein XRCC1,XRCC1,sp|P18887|XRCC1_HUMAN DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=2;tr|F5H8D7|F5H8D7_HUMAN DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=2;tr|M0QZ96|M0QZ96_HUMAN DNA repair protein XRCC1 (Fragment) OS=Homo sapiens,2,2,3.6,4.5103917704062,4.37962167650643,23.869289595086,24.3352453154457
P27540,P27540,2,2,2,Aryl hydrocarbon receptor nuclear translocator,ARNT,sp|P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,2,2,3.7,4.5103917704062,4.37962167650643,24.5999146577554,23.8311309294789
Q9NZT2;A0A087X028;A0A0A0MRN5,Q9NZT2;A0A087X028;A0A0A0MRN5,2;2;2,2;2;2,2;2;2,Opioid growth factor receptor,OGFR,sp|Q9NZT2|OGFR_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3;tr|A0A087X028|A0A087X028_HUMAN Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=1;tr|A0A0A0MRN5|A0A0A0MRN5_HUMAN Opioid growth factor receptor,2,2,3.7,4.5103917704062,4.37962167650643,25.0604393287893,24.8209934371124
Q9Y4G8;A0A2R8Y661;A0A2R8YGD3;H0Y8N8,Q9Y4G8;A0A2R8Y661;A0A2R8YGD3,4;4;4;1,2;2;2;1,2;2;2;1,Rap guanine nucleotide exchange factor 2,RAPGEF2,sp|Q9Y4G8|RPGF2_HUMAN Rap guanine nucleotide exchange factor 2 OS=Homo sapiens OX=9606 GN=RAPGEF2 PE=1 SV=1;tr|A0A2R8Y661|A0A2R8Y661_HUMAN Rap guanine nucleotide exchange factor 2 OS=Homo sapiens OX=9606 GN=RAPGEF2 PE=1 SV=1;tr|A0A2R8YGD3|A0A2R8YGD3_HUMAN,4,2,3.7,26.2967886683139,23.241661432704,23.0052517229406,22.5720361639829
Q9BW27;F5H0W7;J3QLH0;J3QL54;J3KT10;J3QS63;J3QL91;J3QLD4,Q9BW27;F5H0W7;J3QLH0;J3QL54;J3KT10;J3QS63;J3QL91;J3QLD4,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,2;2;2;2;2;1;1;1,Nuclear pore complex protein Nup85,NUP85,sp|Q9BW27|NUP85_HUMAN Nuclear pore complex protein Nup85 OS=Homo sapiens OX=9606 GN=NUP85 PE=1 SV=1;tr|F5H0W7|F5H0W7_HUMAN Nuclear pore complex protein Nup85 OS=Homo sapiens OX=9606 GN=NUP85 PE=1 SV=1;tr|J3QLH0|J3QLH0_HUMAN Nuclear pore complex protein Nup,2,2,3.8,22.9286802899993,23.4193916233233,4.4278525700598,4.37954704379713
Q9P215,Q9P215,2,2,2,Pogo transposable element with KRAB domain,POGK,sp|Q9P215|POGK_HUMAN Pogo transposable element with KRAB domain OS=Homo sapiens OX=9606 GN=POGK PE=1 SV=2,2,2,3.8,4.5103917704062,4.37962167650643,24.096274409507,24.098364340286
Q8IW52,Q8IW52,2,2,2,SLIT and NTRK-like protein 4,SLITRK4,sp|Q8IW52|SLIK4_HUMAN SLIT and NTRK-like protein 4 OS=Homo sapiens OX=9606 GN=SLITRK4 PE=1 SV=1,2,2,3.8,23.6516280960882,23.3173931741642,22.9181303430773,22.458138229822
P07237;I3L398;H0Y3Z3;H7BZ94;I3L4M2,P07237;I3L398;H0Y3Z3;H7BZ94;I3L4M2,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,Protein disulfide-isomerase,P4HB,sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3;tr|I3L398|I3L398_HUMAN Protein disulfide-isomerase (Fragment) OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=1;tr|H0Y3Z3|H0Y3Z3_HUMAN Protein disulfide-isomerase (Fragment,2,2,3.9,22.2305494026055,22.1500087807004,4.4278525700598,4.37954704379713
Q9ULR3,Q9ULR3,2,2,2,Protein phosphatase 1H,PPM1H,sp|Q9ULR3|PPM1H_HUMAN Protein phosphatase 1H OS=Homo sapiens OX=9606 GN=PPM1H PE=1 SV=2,2,2,3.9,23.1181008202726,25.030653330216,4.4278525700598,4.37954704379713
Q9H2H9;F8VX04,Q9H2H9;F8VX04,2;2,2;2,2;2,Sodium-coupled neutral amino acid transporter 1,SLC38A1,sp|Q9H2H9|S38A1_HUMAN Sodium-coupled neutral amino acid transporter 1 OS=Homo sapiens OX=9606 GN=SLC38A1 PE=1 SV=1;tr|F8VX04|F8VX04_HUMAN Sodium-coupled neutral amino acid transporter 1 OS=Homo sapiens OX=9606 GN=SLC38A1 PE=1 SV=1,2,2,3.9,24.208958268135,23.7240074993888,4.4278525700598,4.37954704379713
Q9H2K8;G3V1Q8,Q9H2K8;G3V1Q8,2;1,2;1,2;1,Serine/threonine-protein kinase TAO3,TAOK3,sp|Q9H2K8|TAOK3_HUMAN Serine/threonine-protein kinase TAO3 OS=Homo sapiens OX=9606 GN=TAOK3 PE=1 SV=2;tr|G3V1Q8|G3V1Q8_HUMAN Serine/threonine-protein kinase TAO3 OS=Homo sapiens OX=9606 GN=TAOK3 PE=1 SV=1,2,2,3.9,30.3711917068813,23.0615603936822,24.1068536328137,22.5231043797391
Q9H9C1;G3V4K3,Q9H9C1;G3V4K3,2;2,2;2,2;2,Spermatogenesis-defective protein 39 homolog,VIPAS39,sp|Q9H9C1|SPE39_HUMAN Spermatogenesis-defective protein 39 homolog OS=Homo sapiens OX=9606 GN=VIPAS39 PE=1 SV=1;tr|G3V4K3|G3V4K3_HUMAN Spermatogenesis-defective protein 39 homolog OS=Homo sapiens OX=9606 GN=VIPAS39 PE=1 SV=1,2,2,3.9,23.8598441309361,23.6001951379629,22.4665017027566,23.6425424367542
Q9Y4C1,Q9Y4C1,4,2,2,Lysine-specific demethylase 3A,KDM3A,sp|Q9Y4C1|KDM3A_HUMAN Lysine-specific demethylase 3A OS=Homo sapiens OX=9606 GN=KDM3A PE=1 SV=4,4,2,3.9,4.5103917704062,4.37962167650643,23.6651398402505,24.494970789913
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2,2,4.0,24.3466511521186,25.103647115911,23.7611137310158,22.8220930856658
